Time_da_casa;Gols_feitos_pelo_time_da_casa;Gols_feitos_pelo_time_de_fora_de_casa;Time_de_fora_de_casa;Liga
Inter Miami CF;2;0;Real Salt Lake;MLS
Columbus Crew;1;0;Atlanta United FC;MLS
LAFC;2;1;Seattle Sounders FC;MLS
D.C. United;3;1;New England Revolution;MLS
Orlando City SC;0;0;CF Montréal;MLS
Philadelphia Union;2;2;Chicago Fire FC;MLS
Charlotte FC;1;0;New York City FC;MLS
St. Louis CITY SC;1;1;Real Salt Lake;MLS
Houston Dynamo FC;1;1;Sporting Kansas City;MLS
FC Dallas;2;1;San Jose Earthquakes;MLS
Austin FC;1;2;Minnesota United FC;MLS
Portland Timbers;4;1;Colorado Rapids;MLS
FC Cincinnati;0;0;Toronto FC;MLS
Nashville SC;0;0;New York Red Bulls;MLS
LA Galaxy;1;1;Inter Miami CF;MLS
Minnesota United FC;1;1;Columbus Crew;MLS
Real Salt Lake;3;0;LAFC;MLS
Inter Miami CF;5;0;Orlando City SC;MLS
Vancouver Whitecaps FC;1;1;Charlotte FC;MLS
Chicago Fire FC;1;2;FC Cincinnati;MLS
Sporting Kansas City;1;1;Philadelphia Union;MLS
St. Louis CITY SC;2;0;New York City FC;MLS
FC Dallas;1;2;CF Montréal;MLS
Houston Dynamo FC;1;2;New York Red Bulls;MLS
Colorado Rapids;1;1;Nashville SC;MLS
Portland Timbers;2;2;D.C. United;MLS
Seattle Sounders FC;0;0;Austin FC;MLS
San Jose Earthquakes;1;3;LA Galaxy;MLS
New England Revolution;0;1;Toronto FC;MLS
New York City FC;1;2;Portland Timbers;MLS
Toronto FC;1;0;Charlotte FC;MLS
Columbus Crew;2;1;Chicago Fire FC;MLS
Orlando City SC;2;3;Minnesota United FC;MLS
Atlanta United FC;4;1;New England Revolution;MLS
New York Red Bulls;2;1;FC Dallas;MLS
Austin FC;2;2;St. Louis CITY SC;MLS
Real Salt Lake;1;2;Colorado Rapids;MLS
San Jose Earthquakes;0;2;Vancouver Whitecaps FC;MLS
LAFC;0;0;Sporting Kansas City;MLS
FC Cincinnati;0;0;D.C. United;MLS
Nashville SC;2;2;LA Galaxy;MLS
Inter Miami CF;2;3;CF Montréal;MLS
Chicago Fire FC;4;3;CF Montréal;MLS
D.C. United;1;3;Inter Miami CF;MLS
Seattle Sounders FC;1;1;Colorado Rapids;MLS
New York City FC;2;1;Toronto FC;MLS
Columbus Crew;3;0;New York Red Bulls;MLS
