Em casa / Fora de casa;ALA;ATH;ATM;BAR;CEL;ESP;GET;GIR;LPA;LEG;MLL;OSA;RAY;BET;RMA;RSO;SEV;VAL;VLL;VIL;Rating
Alaves;;1 x 1;0 x 0;0 x 3;1 x 1;0 x 1;0 x 1;0 x 1;2 x 0;1 x 1;1 x 0;1 x 1;0 x 2;0 x 0;0 x 1;1 x 0;2 x 1;1 x 0;2 x 3;1 x 0;83,9
Athletic Bilbao;1 x 0;;0 x 1;0 x 3;3 x 1;4 x 1;1 x 1;3 x 0;1 x 0;0 x 0;1 x 1;0 x 0;3 x 1;1 x 1;2 x 1;1 x 0;1 x 1;1 x 0;7 x 1;2 x 0;89,7
Atletico Madrid;2 x 1;1 x 0;;2 x 4;1 x 1;0 x 0;1 x 0;3 x 0;2 x 0;3 x 1;2 x 0;1 x 0;3 x 0;4 x 1;1 x 1;4 x 0;4 x 3;3 x 0;4 x 2;1 x 1;92,9
Barcelona;1 x 0;2 x 1;1 x 2;;4 x 3;3 x 1;1 x 0;4 x 1;1 x 2;0 x 1;1 x 0;3 x 0;1 x 0;1 x 1;4 x 3;4 x 0;5 x 1;7 x 1;7 x 0;2 x 3;97,5
Celta Vigo;2 x 1;1 x 2;0 x 1;2 x 2;;0 x 2;1 x 0;1 x 1;1 x 1;2 x 1;2 x 0;1 x 0;1 x 2;3 x 2;1 x 2;2 x 0;3 x 2;3 x 1;3 x 1;3 x 0;86,1
Espanyol;3 x 2;1 x 1;1 x 1;0 x 2;3 x 1;;1 x 0;1 x 1;2 x 0;1 x 1;2 x 1;0 x 0;2 x 1;1 x 2;1 x 0;0 x 1;0 x 2;1 x 1;2 x 1;1 x 2;83,3
Getafe;2 x 0;0 x 2;2 x 1;1 x 1;1 x 2;1 x 0;;0 x 1;1 x 3;1 x 1;0 x 1;1 x 1;0 x 0;1 x 2;0 x 1;0 x 0;0 x 0;1 x 1;2 x 0;1 x 2;82,9
Girona;0 x 1;2 x 1;0 x 4;1 x 4;2 x 2;4 x 1;1 x 2;;2 x 1;4 x 3;1 x 0;4 x 0;0 x 0;1 x 3;0 x 3;0 x 1;1 x 2;1 x 1;3 x 0;0 x 1;83,4
Las Palmas;2 x 2;2 x 3;1 x 0;0 x 2;0 x 1;1 x 0;1 x 2;1 x 0;;0 x 1;2 x 3;1 x 1;0 x 1;1 x 1;1 x 1;1 x 3;2 x 2;2 x 3;2 x 1;1 x 2;80,4
Leganes;3 x 3;0 x 2;1 x 0;0 x 1;3 x 0;3 x 2;1 x 0;1 x 1;2 x 1;;0 x 1;1 x 1;0 x 1;2 x 3;0 x 3;0 x 3;1 x 0;0 x 0;3 x 0;2 x 5;82,3
Mallorca;1 x 1;0 x 0;0 x 1;1 x 5;1 x 2;2 x 1;1 x 2;2 x 1;3 x 1;0 x 0;;1 x 1;1 x 0;0 x 1;1 x 1;1 x 0;0 x 0;2 x 1;2 x 1;1 x 2;83,8
Osasuna;2 x 2;1 x 2;2 x 0;4 x 2;3 x 2;2 x 0;1 x 2;2 x 1;2 x 1;1 x 1;1 x 0;;1 x 1;1 x 2;1 x 1;2 x 1;1 x 0;3 x 3;1 x 0;2 x 2;86,4
Rayo Vallecano;1 x 0;1 x 2;1 x 1;1 x 2;2 x 1;0 x 4;1 x 0;2 x 1;1 x 3;1 x 1;0 x 0;3 x 1;;2 x 2;3 x 3;2 x 2;1 x 1;1 x 1;1 x 0;0 x 1;84,7
Real Betis;1 x 3;2 x 2;1 x 0;2 x 2;2 x 2;1 x 0;2 x 1;1 x 1;1 x 0;2 x 0;1 x 2;1 x 1;1 x 1;;2 x 1;3 x 0;2 x 1;1 x 1;5 x 1;1 x 2;87,6
Real Madrid;3 x 2;1 x 0;1 x 1;0 x 4;3 x 2;4 x 1;2 x 0;2 x 0;4 x 1;3 x 2;2 x 1;4 x 0;2 x 1;2 x 0;;2 x 0;4 x 2;1 x 2;3 x 0;2 x 0;95,9
Real Sociedad;1 x 2;0 x 0;1 x 1;1 x 0;0 x 1;2 x 1;0 x 3;3 x 2;0 x 0;3 x 0;0 x 2;0 x 2;1 x 2;2 x 0;0 x 2;;0 x 1;3 x 0;2 x 1;1 x 0;85,6
Sevilla;1 x 1;0 x 1;1 x 2;1 x 4;1 x 0;1 x 1;1 x 0;0 x 2;1 x 0;2 x 2;1 x 1;1 x 1;1 x 0;1 x 0;0 x 2;0 x 2;;1 x 1;2 x 1;1 x 2;83,4
Valencia;2 x 2;0 x 1;0 x 3;1 x 2;2 x 1;1 x 1;3 x 0;2 x 0;2 x 3;2 x 0;1 x 0;0 x 0;0 x 1;4 x 2;1 x 2;1 x 0;1 x 0;;2 x 1;1 x 1;85,3
Valladolid;0 x 1;1 x 1;0 x 5;1 x 2;0 x 1;1 x 0;0 x 4;0 x 1;1 x 1;0 x 0;1 x 2;2 x 3;1 x 2;1 x 0;0 x 3;0 x 0;0 x 4;1 x 0;;1 x 2;76,1
Villarreal;3 x 0;0 x 0;2 x 2;1 x 5;4 x 3;1 x 0;1 x 1;2 x 2;3 x 1;3 x 0;4 x 0;4 x 2;1 x 1;1 x 2;1 x 2;2 x 2;4 x 2;1 x 1;5 x 1;;90,1
