Em casa / Fora de casa;AME;ATL;ASL;CAZ;GUA;JUA;LEO;MAZ;MON;NEC;PAC;PUE;QUE;SAN;TIJ;TOL;UNL;UNM;Rating
America;;3 x 0;;;1 x 0;;;;2 x 1;;2 x 1;0 x 1;3 x 1;3 x 0;;;;0 x 1;
Atlas;;;;1 x 1;;;;0 x 0;;;2 x 0;;0 x 1;1 x 0;0 x 0;;1 x 1;2 x 1;
Atletico San Luis;2 x 1;2 x 1;;3 x 1;;;;;1 x 0;;;2 x 0;4 x 0;3 x 1;1 x 1;;;;
Cruz Azul;4 x 1;;;;1 x 0;4 x 0;;1 x 0;;3 x 0;;;;2 x 0;3 x 0;1 x 1;1 x 1;;
Guadalajara;;2 x 3;0 x 1;;;5 x 0;2 x 0;2 x 0;1 x 1;3 x 2;;;;;;0 x 0;;0 x 0;
Juarez;1 x 2;2 x 2;2 x 4;;;;2 x 3;1 x 0;;;;;;;1 x 1;;0 x 1;1 x 2;
Leon;1 x 1;0 x 0;1 x 0;1 x 2;;;;0 x 0;;1 x 1;0 x 0;;4 x 0;1 x 1;;;;;
Mazatlan;0 x 5;;2 x 2;;;;;;;0 x 0;3 x 0;1 x 1;2 x 2;;;;2 x 0;0 x 1;
Monterrey;;4 x 0;;0 x 4;;3 x 2;2 x 1;0 x 0;;;;;2 x 1;;;1 x 2;4 x 2;0 x 0;
Necaxa;1 x 1;0 x 0;1 x 1;;;3 x 0;;;0 x 1;;;4 x 1;;;1 x 2;1 x 3;;2 x 0;
Pachuca;;;2 x 0;2 x 4;0 x 2;0 x 1;;;0 x 1;6 x 2;;;1 x 1;;;2 x 2;;;
Puebla;;1 x 2;;1 x 2;1 x 0;2 x 3;2 x 2;;1 x 2;;2 x 3;;2 x 1;1 x 0;;;;;
Queretaro;;;;0 x 2;0 x 2;1 x 2;;;;0 x 0;;;;3 x 2;1 x 2;0 x 1;1 x 0;;
Santos Laguna;;;;;0 x 2;0 x 2;;0 x 0;0 x 2;3 x 2;1 x 1;;;;;2 x 0;0 x 3;1 x 1;
Tijuana;2 x 2;;;;4 x 2;;2 x 1;1 x 0;2 x 2;;2 x 1;2 x 1;;3 x 1;;;0 x 3;;
Toluca;4 x 0;4 x 1;2 x 1;;;3 x 2;2 x 2;3 x 0;;;;5 x 0;;;4 x 0;;;1 x 1;
UANL;1 x 0;;1 x 0;;1 x 1;;2 x 2;;;1 x 0;2 x 1;1 x 0;;;;2 x 1;;;
UNAM;;;3 x 0;0 x 2;;;4 x 1;;;;2 x 0;1 x 0;2 x 0;;1 x 0;;1 x 3;;
