Em casa / Fora de casa;ANG;AUX;BRE;HAC;LEN;LIL;OL;OM;ASM;MON;FCN;NIC;PSG;REI;REN;STE;STR;TFC;Rating
Angers;;2 x 0;2 x 0;1 x 1;0 x 1;0 x 2;0 x 3;0 x 2;0 x 2;2 x 0;1 x 1;1 x 4;2 x 4;1 x 3;0 x 3;4 x 2;2 x 1;0 x 4;81
Auxerre;1 x 0;;3 x 0;1 x 2;2 x 2;0 x 0;1 x 3;3 x 0;0 x 3;1 x 0;1 x 1;2 x 1;0 x 0;2 x 1;4 x 0;1 x 1;0 x 1;2 x 2;83,7
Brest;2 x 0;2 x 2;;2 x 0;1 x 3;2 x 0;2 x 1;1 x 5;2 x 1;1 x 0;4 x 1;0 x 1;2 x 5;0 x 0;1 x 1;4 x 0;3 x 1;2 x 0;86
Le Havre;0 x 1;3 x 1;0 x 1;;1 x 2;0 x 3;0 x 4;1 x 3;1 x 1;1 x 0;3 x 2;1 x 3;1 x 4;0 x 3;1 x 5;1 x 1;0 x 3;1 x 4;80,2
Lens;1 x 0;0 x 4;2 x 0;3 x 4;;0 x 2;0 x 0;1 x 3;4 x 0;2 x 0;3 x 2;0 x 0;1 x 2;0 x 2;1 x 0;1 x 0;0 x 2;0 x 1;86,8
Lille;2 x 0;3 x 1;3 x 1;1 x 2;1 x 0;;1 x 1;1 x 1;2 x 1;1 x 0;1 x 1;2 x 1;1 x 3;2 x 1;1 x 0;4 x 1;3 x 3;2 x 1;90,6
Lyon;2 x 0;2 x 2;2 x 1;4 x 2;1 x 2;2 x 1;;2 x 3;0 x 2;1 x 0;2 x 0;4 x 1;2 x 3;4 x 0;4 x 1;1 x 0;4 x 3;0 x 0;89,7
Marseille;1 x 1;1 x 3;4 x 1;5 x 1;0 x 1;1 x 1;3 x 2;;2 x 1;5 x 1;2 x 0;2 x 0;0 x 3;2 x 2;4 x 2;5 x 1;1 x 1;3 x 2;89,5
Monaco;0 x 1;4 x 2;3 x 2;3 x 1;1 x 1;0 x 0;2 x 0;3 x 0;;2 x 1;7 x 1;2 x 1;2 x 4;3 x 0;3 x 2;1 x 0;0 x 0;2 x 0;90,1
Montpellier;1 x 3;3 x 2;3 x 1;0 x 2;0 x 2;2 x 2;1 x 4;0 x 5;2 x 1;;1 x 3;2 x 2;1 x 4;0 x 0;0 x 4;0 x 2;1 x 1;0 x 3;77,7
Nantes;0 x 1;2 x 0;0 x 2;0 x 2;3 x 1;1 x 0;1 x 1;1 x 2;2 x 2;3 x 0;;1 x 1;1 x 1;1 x 2;1 x 0;2 x 2;0 x 1;0 x 0;82
Nice;2 x 1;1 x 1;6 x 0;2 x 1;2 x 0;2 x 2;0 x 2;2 x 0;2 x 1;2 x 0;1 x 2;;1 x 1;1 x 0;3 x 2;8 x 0;2 x 1;1 x 1;87,8
Paris SG;1 x 0;3 x 1;3 x 1;2 x 1;1 x 0;4 x 1;3 x 1;3 x 1;4 x 1;6 x 0;1 x 1;1 x 3;;1 x 1;3 x 1;2 x 1;4 x 2;3 x 0;99,3
Reims;0 x 1;0 x 2;1 x 2;1 x 1;0 x 3;0 x 2;1 x 1;3 x 1;0 x 0;4 x 2;1 x 2;2 x 4;1 x 1;;2 x 1;0 x 2;0 x 1;1 x 0;82
Rennes;2 x 0;0 x 1;1 x 2;1 x 0;1 x 1;0 x 2;3 x 0;1 x 2;1 x 2;3 x 0;2 x 1;2 x 0;1 x 4;1 x 0;;5 x 0;1 x 0;0 x 2;85,5
Saint-Etienne;3 x 3;3 x 1;3 x 3;0 x 2;0 x 2;1 x 0;2 x 1;0 x 2;1 x 3;1 x 0;1 x 1;1 x 3;1 x 6;3 x 1;0 x 2;;2 x 0;2 x 3;79,5
Strasbourg;1 x 1;3 x 1;0 x 0;2 x 3;2 x 2;2 x 1;4 x 2;1 x 0;1 x 3;2 x 0;3 x 1;2 x 2;2 x 1;0 x 0;3 x 1;3 x 1;;2 x 1;87,2
Toulouse;1 x 1;2 x 0;2 x 4;2 x 0;1 x 1;1 x 2;1 x 2;1 x 3;1 x 1;1 x 2;0 x 0;1 x 1;0 x 1;1 x 0;2 x 1;2 x 1;1 x 2;;84,8
