Em casa / Fora de casa;ARO;AVS;BEN;BOA;BRA;CAS;EST;AMA;FAM;FAR;GIL;MOR;NAC;POR;RAV;STA;SPO;VSC;Rating
Arouca;;1 x 1;0 x 2;4 x 1;1 x 2;0 x 0;1 x 1;1 x 0;1 x 2;2 x 2;1 x 1;1 x 0;1 x 0;0 x 2;1 x 1;1 x 0;0 x 3;0 x 1;
AVS;0 x 1;;1 x 1;1 x 2;0 x 1;1 x 1;0 x 3;1 x 1;2 x 3;0 x 0;1 x 0;0 x 3;1 x 1;0 x 5;1 x 0;1 x 2;2 x 2;1 x 0;
Benfica;2 x 2;6 x 0;;3 x 0;1 x 2;3 x 0;3 x 0;1 x 0;4 x 0;3 x 2;5 x 1;3 x 2;3 x 0;4 x 1;5 x 0;4 x 1;1 x 1;1 x 0;
Boavista;1 x 3;0 x 0;0 x 3;;0 x 1;2 x 3;0 x 0;0 x 1;0 x 2;1 x 1;1 x 3;0 x 2;0 x 1;1 x 2;0 x 2;1 x 0;0 x 5;1 x 2;
Braga;2 x 1;4 x 1;1 x 1;3 x 0;;1 x 2;2 x 2;1 x 1;3 x 3;2 x 0;2 x 0;3 x 1;1 x 0;1 x 0;4 x 0;1 x 1;2 x 4;0 x 2;
Casa Pia;3 x 1;1 x 1;3 x 1;0 x 1;2 x 1;;1 x 3;1 x 0;1 x 1;1 x 1;1 x 0;3 x 1;1 x 0;0 x 1;2 x 1;0 x 2;1 x 3;1 x 1;
Estoril;4 x 1;0 x 0;1 x 2;2 x 1;0 x 2;0 x 2;;4 x 0;2 x 1;2 x 2;0 x 0;2 x 2;1 x 0;1 x 2;2 x 1;1 x 4;0 x 3;1 x 0;
Estrela da Amadora;2 x 1;0 x 1;2 x 3;2 x 2;0 x 1;0 x 1;2 x 4;;0 x 3;0 x 1;1 x 1;2 x 1;2 x 0;2 x 0;1 x 0;0 x 0;0 x 3;2 x 2;
Famalicao;0 x 0;4 x 1;2 x 0;1 x 0;1 x 1;2 x 1;3 x 0;0 x 0;;1 x 2;1 x 1;2 x 0;0 x 0;1 x 1;1 x 0;1 x 2;0 x 3;0 x 0;
Farense;0 x 1;0 x 1;1 x 2;0 x 1;0 x 1;0 x 0;1 x 0;1 x 0;2 x 1;;0 x 1;1 x 2;0 x 2;0 x 1;1 x 2;1 x 2;0 x 5;2 x 2;
Gil Vicente;1 x 1;4 x 2;0 x 3;1 x 2;0 x 0;1 x 1;1 x 2;3 x 0;0 x 2;1 x 0;;0 x 1;2 x 1;3 x 1;1 x 1;0 x 1;0 x 0;0 x 1;
Moreirense;3 x 1;1 x 1;1 x 1;1 x 0;1 x 2;3 x 2;2 x 2;1 x 1;0 x 0;0 x 0;3 x 2;;1 x 1;0 x 3;0 x 2;1 x 0;2 x 1;2 x 2;
Nacional;1 x 2;3 x 1;0 x 2;0 x 0;0 x 3;3 x 1;2 x 2;0 x 1;2 x 1;2 x 0;0 x 3;1 x 0;;2 x 0;3 x 3;2 x 0;1 x 6;1 x 2;
Porto;4 x 0;2 x 0;1 x 4;4 x 0;2 x 1;2 x 0;4 x 0;2 x 0;2 x 1;2 x 1;3 x 0;3 x 1;3 x 0;;2 x 0;1 x 1;1 x 1;1 x 1;
Rio Ave;1 x 0;1 x 1;2 x 3;0 x 2;2 x 1;2 x 2;2 x 2;2 x 0;1 x 1;1 x 0;1 x 1;3 x 2;2 x 1;2 x 2;;1 x 1;0 x 3;2 x 2;
Santa Clara;2 x 0;2 x 1;0 x 1;1 x 0;0 x 2;2 x 1;2 x 3;1 x 0;2 x 1;0 x 0;2 x 1;1 x 1;1 x 0;0 x 2;1 x 0;;0 x 1;1 x 0;
Sporting CP;2 x 2;3 x 0;1 x 0;3 x 2;1 x 1;2 x 0;3 x 1;5 x 1;3 x 1;3 x 1;2 x 1;3 x 1;2 x 0;2 x 0;3 x 1;0 x 1;;2 x 0;
Vitoria de Guimaraes;2 x 2;2 x 0;0 x 3;2 x 2;0 x 0;1 x 0;1 x 0;2 x 0;2 x 1;1 x 2;4 x 0;1 x 0;2 x 2;0 x 3;3 x 0;2 x 0;4 x 4;;
