Em casa / Fora de casa;AHL;ETT;FAT;FAY;HIL;ITT;KHJ;KHO;NSR;OKH;ORO;QAD;RAE;RIY;SHB;TWN;WHD;DAM;Rating
Al-Ahli;;1 x 3;2 x 0;5 x 0;1 x 2;2 x 2;2 x 2;4 x 1;2 x 3;1 x 1;2 x 0;4 x 1;2 x 0;5 x 0;3 x 2;2 x 0;1 x 0;4 x 2;
Al-Ettifaq;1 x 2;;1 x 2;0 x 2;1 x 1;0 x 4;2 x 1;2 x 3;0 x 3;1 x 0;2 x 3;0 x 2;0 x 1;1 x 0;3 x 1;1 x 0;2 x 1;0 x 0;
Al-Fateh;1 x 0;1 x 2;;1 x 1;3 x 4;2 x 0;1 x 2;1 x 1;3 x 2;2 x 4;1 x 0;1 x 1;3 x 1;1 x 2;3 x 1;1 x 2;1 x 2;2 x 1;
Al-Fayha;0 x 1;1 x 1;1 x 1;;0 x 2;1 x 1;0 x 0;1 x 0;1 x 4;2 x 0;0 x 1;2 x 1;0 x 5;2 x 0;0 x 2;0 x 0;0 x 0;2 x 1;
Al-Hilal;2 x 3;3 x 1;9 x 0;3 x 0;;3 x 1;3 x 0;5 x 1;1 x 3;4 x 0;4 x 0;2 x 0;3 x 2;1 x 1;2 x 2;2 x 0;4 x 1;3 x 2;
Al-Ittihad;1 x 0;3 x 2;2 x 0;3 x 0;4 x 1;;4 x 1;4 x 3;2 x 1;1 x 1;2 x 0;3 x 1;4 x 1;2 x 1;2 x 1;2 x 1;7 x 1;1 x 0;
Al-Khaleej;0 x 3;1 x 2;1 x 5;0 x 0;3 x 2;1 x 1;;1 x 0;1 x 3;2 x 3;3 x 0;1 x 1;4 x 0;1 x 2;0 x 1;0 x 1;0 x 2;1 x 1;
Al-Kholood;1 x 0;1 x 0;2 x 1;2 x 0;2 x 4;0 x 1;2 x 1;;3 x 3;0 x 1;3 x 3;0 x 3;2 x 1;3 x 2;0 x 2;0 x 2;1 x 0;1 x 3;
Al-Nassr;1 x 1;2 x 3;3 x 1;3 x 0;1 x 1;2 x 3;2 x 0;3 x 1;;3 x 1;3 x 0;1 x 2;1 x 1;2 x 1;2 x 2;1 x 1;2 x 0;2 x 0;
Al-Okhdood;2 x 1;0 x 2;1 x 3;1 x 2;0 x 3;1 x 2;1 x 2;1 x 2;0 x 9;;4 x 0;0 x 0;1 x 0;0 x 1;1 x 1;1 x 1;1 x 2;0 x 0;
Al-Orobah;0 x 2;1 x 2;1 x 0;2 x 2;0 x 5;0 x 2;1 x 2;2 x 0;0 x 3[a];0 x 1;;0 x 2;0 x 4;0 x 1;0 x 3;3 x 2;4 x 2;1 x 0;
Al-Qadsiah;1 x 0;1 x 1;3 x 0;2 x 0;2 x 1;1 x 1;1 x 0;4 x 1;2 x 1;2 x 0;3 x 1;;2 x 0;1 x 0;0 x 1;0 x 3;3 x 1;2 x 1;
Al-Raed;0 x 2;1 x 1;2 x 1;0 x 2;3 x 5;1 x 3;1 x 2;1 x 2;1 x 2;0 x 2;3 x 1;0 x 1;;1 x 2;1 x 2;0 x 1;2 x 2;0 x 2;
Al-Riyadh;0 x 1;0 x 0;2 x 2;0 x 0;0 x 3;0 x 1;2 x 2;3 x 1;0 x 1;1 x 0;2 x 4;2 x 1;1 x 3;;1 x 3;1 x 0;1 x 0;0 x 0;
Al-Shabab;3 x 1;0 x 1;2 x 2;2 x 1;1 x 2;2 x 3;5 x 1;2 x 0;1 x 2;0 x 0;6 x 0;2 x 3;2 x 1;2 x 1;;1 x 0;3 x 1;2 x 0;
Al-Taawoun;2 x 4;1 x 1;2 x 0;1 x 0;0 x 2;1 x 2;2 x 0;1 x 1;1 x 1;1 x 0;0 x 0;0 x 1;4 x 3;3 x 2;2 x 2;;0 x 2;3 x 0;
Al-Wehda;2 x 3;2 x 2;1 x 0;2 x 2;1 x 1;1 x 4;1 x 3;0 x 1;0 x 2;2 x 3;2 x 1;0 x 3;3 x 1;3 x 3;1 x 3;1 x 0;;2 x 3;
Damac;0 x 2;0 x 3;0 x 1;2 x 2;2 x 2;2 x 1;0 x 1;2 x 1;2 x 3;3 x 1;1 x 2;1 x 0;1 x 0;2 x 2;1 x 0;2 x 2;0 x 1;;
