Em casa / Fora de casa;ATA;BOL;CAG;COM;EMP;FIO;GEN;VER;INT;JUV;LAZ;LEC;MIL;MON;NAP;PAR;ROM;TOR;UDI;VEN;Rating
Atalanta;;2 x 0;0 x 0;2 x 3;3 x 2;3 x 2;5 x 1;6 x 1;0 x 2;1 x 1;0 x 1;1 x 1;2 x 1;2 x 0;2 x 3;2 x 3;2 x 1;1 x 1;2 x 1;0 x 0;92,4
Bologna;1 x 1;;2 x 1;2 x 0;1 x 1;1 x 0;1 x 3;2 x 3;1 x 0;1 x 1;5 x 0;1 x 0;2 x 1;3 x 1;1 x 1;0 x 0;2 x 2;3 x 2;1 x 1;3 x 0;89,4
Cagliari;0 x 1;0 x 2;;1 x 1;0 x 2;1 x 2;1 x 1;1 x 0;0 x 3;0 x 1;1 x 2;4 x 1;3 x 3;3 x 0;0 x 4;2 x 1;0 x 0;3 x 2;1 x 2;3 x 0;82,1
Como;1 x 2;2 x 2;3 x 1;;1 x 1;0 x 2;1 x 0;3 x 2;0 x 2;1 x 2;1 x 5;2 x 0;1 x 2;1 x 1;2 x 1;1 x 1;2 x 0;1 x 0;4 x 1;1 x 1;85,2
Empoli;0 x 5;1 x 1;0 x 0;1 x 0;;0 x 0;1 x 2;1 x 2;0 x 3;0 x 0;0 x 1;1 x 3;0 x 2;0 x 0;0 x 1;2 x 1;0 x 1;0 x 1;1 x 1;2 x 2;81,4
Fiorentina;1 x 0;3 x 2;1 x 0;0 x 2;2 x 1;;2 x 1;3 x 1;3 x 0;3 x 0;2 x 1;1 x 0;2 x 1;2 x 2;0 x 3;0 x 0;5 x 1;1 x 1;1 x 2;0 x 0;89
Genoa;2 x 3;2 x 2;2 x 2;1 x 1;1 x 1;0 x 1;;0 x 2;2 x 2;0 x 3;0 x 2;2 x 1;1 x 2;2 x 0;1 x 2;1 x 0;1 x 1;0 x 0;1 x 0;2 x 0;84,7
Hellas Verona;0 x 5;1 x 2;0 x 2;1 x 1;1 x 4;1 x 0;0 x 0;;0 x 5;0 x 3;0 x 3;1 x 1;0 x 1;0 x 3;3 x 0;0 x 0;3 x 2;2 x 3;0 x 0;2 x 1;81,7
Inter Milan;4 x 0;2 x 2;3 x 1;2 x 0;3 x 1;2 x 1;1 x 0;1 x 0;;4 x 4;2 x 2;2 x 0;1 x 2;3 x 2;1 x 1;3 x 1;0 x 1;3 x 2;2 x 1;1 x 0;96,2
Juventus;0 x 4;2 x 2;1 x 1;3 x 0;4 x 1;2 x 2;1 x 0;2 x 0;1 x 0;;1 x 0;2 x 1;2 x 0;2 x 0;0 x 0;2 x 2;0 x 0;2 x 0;2 x 0;2 x 2;91,7
Lazio;1 x 1;3 x 0;2 x 1;1 x 1;2 x 1;1 x 2;3 x 0;2 x 1;0 x 6;1 x 1;;0 x 1;2 x 2;5 x 1;2 x 2;2 x 2;1 x 1;1 x 1;1 x 1;3 x 1;90
Lecce;0 x 4;0 x 0;1 x 0;0 x 3;1 x 1;0 x 6;0 x 0;1 x 0;0 x 4;1 x 1;1 x 2;;2 x 3;2 x 1;0 x 1;2 x 2;0 x 1;1 x 0;0 x 1;1 x 1;81,5
AC Milan;0 x 1;3 x 1;1 x 1;2 x 1;3 x 0;2 x 2;0 x 0;1 x 0;1 x 1;0 x 0;1 x 2;3 x 0;;2 x 0;0 x 2;3 x 2;1 x 1;2 x 2;1 x 0;4 x 0;91
Monza;0 x 4;1 x 2;1 x 2;1 x 3;1 x 3;2 x 1;0 x 1;0 x 1;1 x 1;1 x 2;0 x 1;0 x 0;0 x 1;;0 x 1;1 x 1;1 x 1;0 x 2;1 x 2;2 x 2;78,7
Napoli;0 x 3;3 x 0;2 x 0;3 x 1;3 x 0;2 x 1;2 x 2;2 x 0;1 x 1;2 x 1;0 x 1;1 x 0;2 x 1;2 x 0;;2 x 1;1 x 0;2 x 0;1 x 1;1 x 0;92,6
Parma;1 x 3;2 x 0;2 x 3;0 x 1;1 x 1;1 x 1;0 x 1;2 x 3;2 x 2;1 x 0;3 x 1;1 x 3;2 x 1;2 x 1;0 x 0;;0 x 1;2 x 2;2 x 3;1 x 1;82,9
Roma;0 x 2;2 x 3;1 x 0;2 x 1;1 x 2;1 x 0;3 x 1;1 x 0;0 x 1;1 x 1;2 x 0;4 x 1;3 x 1;4 x 0;1 x 1;5 x 0;;1 x 0;3 x 0;2 x 1;91,9
Torino;2 x 1;0 x 2;2 x 0;1 x 0;1 x 0;0 x 1;1 x 1;1 x 1;0 x 2;1 x 1;2 x 3;0 x 0;2 x 1;1 x 1;0 x 1;0 x 0;0 x 2;;2 x 0;1 x 1;85,4
Udinese;0 x 0;0 x 0;2 x 0;1 x 0;3 x 0;2 x 3;0 x 2;0 x 1;2 x 3;0 x 2;2 x 1;1 x 0;0 x 4;1 x 2;1 x 3;1 x 0;1 x 2;2 x 2;;3 x 2;83,1
Venezia;0 x 2;0 x 1;2 x 1;2 x 2;1 x 1;2 x 1;2 x 0;1 x 1;0 x 1;2 x 3;0 x 0;0 x 1;0 x 2;1 x 0;0 x 0;1 x 2;0 x 1;0 x 1;3 x 2;;80,9
