Em casa / Fora de casa;AJM;AIN;BTH;JAZ;NAS;URO;WAH;WAS;YAS;DAH;KAL;KHF;SAD;SHR
Ajman;;4 x 2;2 x 1;1 x 1;2 x 1;2 x 3;4 x 3;0 x 0;2 x 3;5 x 1;2 x 3;4 x 1;1 x 2;0 x 1
Al Ain;0 x 0;;2 x 1;1 x 1;4 x 1;3 x 0;1 x 2;4 x 2;4 x 0;1 x 1;3 x 1;5 x 1;0 x 1;0 x 0
Al Bataeh;1 x 1;3 x 3;;0 x 3;3 x 4;1 x 0;1 x 3;1 x 3;1 x 0;2 x 2;0 x 0;1 x 3;1 x 3;0 x 2
Al Jazira;4 x 0;1 x 3;2 x 0;;3 x 1;2 x 0;0 x 0;0 x 5;0 x 1;1 x 0;1 x 2;4 x 2;1 x 2;1 x 1
Al Nasr;3 x 1;0 x 2;0 x 1;2 x 3;;2 x 1;0 x 0;0 x 1;4 x 1;3 x 2;3 x 2;3 x 1;1 x 1;2 x 1
Al Urooba;0 x 2;2 x 4;1 x 3;4 x 5;1 x 5;;1 x 1;1 x 2;1 x 0;1 x 2;2 x 1;1 x 2;1 x 4;0 x 1
Al Wahda;1 x 0;2 x 1;0 x 2;2 x 2;2 x 2;3 x 0;;2 x 2;2 x 2;4 x 2;3 x 1;3 x 1;2 x 2;3 x 0
Al Wasl;2 x 0;1 x 0;3 x 1;2 x 2;3 x 1;6 x 0;2 x 2;;3 x 1;1 x 0;2 x 2;3 x 4;2 x 1;0 x 1
Baniyas;3 x 1;0 x 3;1 x 1;2 x 0;0 x 0;0 x 1;0 x 3;0 x 0;;2 x 4;2 x 2;3 x 3;1 x 5;1 x 4
Dibba Al Hisn;0 x 1;3 x 2;1 x 2;1 x 6;0 x 1;1 x 2;0 x 2;2 x 3;1 x 0;;2 x 2;0 x 1;0 x 3;1 x 4
Kalba;3 x 2;3 x 3;3 x 0;1 x 1;2 x 3;3 x 0;0 x 1;2 x 2;0 x 1;2 x 1;;0 x 1;1 x 2;2 x 1
Khor Fakkan;0 x 2;2 x 2;1 x 1;1 x 0;3 x 3;3 x 0;0 x 1;2 x 1;5 x 2;1 x 1;0 x 2;;1 x 1;2 x 4
Shabab Al Ahli;3 x 1;0 x 0;2 x 1;2 x 1;2 x 0;2 x 0;5 x 4;3 x 0;2 x 0;3 x 2;0 x 0;4 x 0;;2 x 1
Sharjah;4 x 0;0 x 3;0 x 1;4 x 0;3 x 0;2 x 1;2 x 0;4 x 1;1 x 2;1 x 0;1 x 0;1 x 0;0 x 0;
