Em casa / Fora de casa;AMA;CTC;CHI;KZC;GDA;MAG;MDS;MRG;ORL;PLK;RBU;ROY;SEK;STL;SSU;TSG
AmaZulu;;2 x 0;2 x 0;1 x 3;0 x 0;3 x 0;0 x 1;2 x 0;1 x 1;1 x 1;1 x 0;2 x 1;0 x 2;0 x 5;2 x 1;1 x 2
Cape Town City;0 x 1;;0 x 2;1 x 0;1 x 1;0 x 0;0 x 2;0 x 1;1 x 0;1 x 0;2 x 1;;1 x 2;0 x 0;1 x 0;1 x 1
Chippa United;2 x 1;0 x 1;;0 x 0;2 x 0;2 x 0;0 x 3;2 x 2;0 x 1;2 x 0;1 x 0;;0 x 1;0 x 2;0 x 0;2 x 1
Kaizer Chiefs;2 x 2;0 x 0;1 x 0;;0 x 1;1 x 0;1 x 2;1 x 2;1 x 2;0 x 0;2 x 1;2 x 2;1 x 0;2 x 1;1 x 4;1 x 1
Golden Arrows;0 x 1;3 x 2;0 x 0;2 x 1;;0 x 1;1 x 1;2 x 0;1 x 2;0 x 0;0 x 1;;3 x 2;0 x 3;0 x 0;1 x 1
Magesi;0 x 1;2 x 0;1 x 4;2 x 2;1 x 0;;1 x 2;1 x 1;0 x 1;0 x 2;1 x 0;0 x 0;1 x 1;1 x 0;1 x 0;2 x 1
Mamelodi Sundowns;2 x 0;3 x 0;3 x 0;1 x 0;4 x 0;2 x 0;;4 x 1;4 x 1;2 x 0;3 x 0;2 x 1;3 x 0;3 x 0;2 x 0;4 x 1
Marumo Gallants;1 x 0;1 x 0;1 x 1;1 x 2;1 x 1;3 x 1;1 x 3;;2 x 0;0 x 0;0 x 0;;1 x 2;0 x 1;1 x 1;1 x 1
Orlando Pirates;2 x 1;2 x 1;2 x 1;1 x 0;3 x 0;1 x 1;2 x 1;8 x 1;;3 x 0;1 x 0;;0 x 1;0 x 1;2 x 0;1 x 1
Polokwane City;2 x 1;0 x 2;1 x 0;2 x 0;0 x 1;0 x 1;1 x 0;1 x 0;0 x 1;;3 x 1;;1 x 1;1 x 1;1 x 1;1 x 1
Richards Bay;1 x 3;1 x 0;0 x 0;2 x 0;0 x 0;0 x 0;0 x 2;2 x 1;0 x 1;2 x 0;;;2 x 1;0 x 0;0 x 1;1 x 0
Royal AM;;1 x 1;;;;;;;;0 x 1;0 x 0;;2 x 0;;;1 x 3
Sekhukhune United;4 x 2;1 x 0;1 x 1;1 x 1;2 x 0;1 x 0;2 x 4;1 x 0;1 x 2;2 x 0;2 x 0;;;1 x 2;1 x 1;1 x 3
Stellenbosch;1 x 0;3 x 0;1 x 0;0 x 1;0 x 2;2 x 1;0 x 1;1 x 0;0 x 0;1 x 1;1 x 1;;1 x 1;;2 x 1;1 x 1
SuperSport United;0 x 0;0 x 0;2 x 0;1 x 0;1 x 1;1 x 0;0 x 3;0 x 1;0 x 1;0 x 1;0 x 2;0 x 0;0 x 3;1 x 1;;1 x 0
TS Galaxy;1 x 0;2 x 0;1 x 0;1 x 1;2 x 0;0 x 0;1 x 0;1 x 2;0 x 2;0 x 0;0 x 1;;1 x 1;2 x 3;3 x 1;
