Em casa / Fora de casa;ALD;ARG;BAN;BAR;BEL;BOC;CCO;DYJ;EST;HUR;IRI;NOB;RAC;TIG;UNI
Aldosivi;;;2 x 1;1 x 3;;;;0 x 5;2 x 2;;;;0 x 2;0 x 2;2 x 1
Argentinos Juniors;0 x 2;;;3 x 0;;;;4 x 1;4 x 0;1 x 1;0 x 0;;;1 x 0;
Banfield;;1 x 2;;;1 x 1;0 x 1;3 x 1;;;0 x 0;1 x 1;3 x 0;;;
Barracas Central;;;1 x 0;;;;3 x 3;;2 x 1;;;2 x 0;1 x 3;1 x 0;2 x 1
Belgrano;2 x 0;1 x 1;;1 x 1;;1 x 3;;2 x 0;;1 x 1;0 x 3;;;;
Boca Juniors;2 x 1;0 x 0;;1 x 0;;;;4 x 0;2 x 0;2 x 1;2 x 0;;;;
Central Cordoba (SdE);1 x 0;1 x 1;;;4 x 0;0 x 3;;;;1 x 2;1 x 2;2 x 0;;;
Defensa y Justicia;;;0 x 1;1 x 1;;;2 x 1;;1 x 0;;;;1 x 2;1 x 2;0 x 0
Estudiantes (LP);;;1 x 0;;0 x 1;;3 x 2;;;;;1 x 1;2 x 0;0 x 0;3 x 1
Huracan;3 x 3;;;0 x 1;;;;1 x 1;0 x 0;;2 x 0;;;2 x 0;1 x 0
Independiente Rivadavia;1 x 0;;;0 x 0;;;;3 x 2;2 x 2;;;;2 x 1;1 x 4;2 x 0
Newell's Old Boys;1 x 0;0 x 0;;;0 x 0;2 x 0;;0 x 1;;2 x 0;0 x 1;;;;
Racing;;2 x 3;4 x 1;;4 x 0;2 x 0;1 x 0;;;0 x 1;;1 x 0;;;
Tigre;;;1 x 0;;0 x 0;1 x 1;1 x 2;;;;;0 x 2;1 x 0;;1 x 0
Union;;0 x 1;3 x 1;;1 x 1;1 x 1;1 x 0;;;;;1 x 1;0 x 1;;
