Em casa / Fora de casa;ATU;DRI;GLP;GOD;IND;INS;LAN;PLA;RIV;ROS;SLO;SMA;SAR;TAL;VEL
Atlético Tucuman;;0 x 3;0 x 1;;2 x 0;3 x 2;1 x 0;;;;;;5 x 0;;1 x 2
Deportivo Riestra;;;;3 x 0;;;;1 x 0;0 x 0;0 x 0;0 x 0;0 x 0;;0 x 0;
Gimnasia y Esgrima (LP);;1 x 1;;3 x 0;;;;1 x 0;0 x 3;;0 x 2;1 x 0;0 x 0;;
Godoy Cruz;1 x 0;;;;;;0 x 0;1 x 1;0 x 0;0 x 3;0 x 0;;;0 x 0;
Independiente;;0 x 0;2 x 0;4 x 0;;2 x 0;;;;;;2 x 0;2 x 1;;3 x 0
Instituto;;3 x 0;3 x 0;1 x 1;;;;;;;0 x 1;1 x 0;1 x 1;;2 x 0
Lanus;;0 x 2;0 x 0;;1 x 1;4 x 1;;;;;;1 x 0;2 x 0;;0 x 0
Platense;2 x 1;;;;1 x 1;1 x 0;0 x 0;;1 x 1;0 x 0;;;;2 x 1;
River Plate;1 x 0;;;;2 x 0;1 x 0;1 x 0;;;2 x 2;;;;1 x 1;4 x 1
Rosario Central;3 x 1;;2 x 1;;1 x 0;3 x 0;2 x 1;;;;;;1 x 0;;2 x 1
San Lorenzo;1 x 0;;;;1 x 2;;1 x 1;2 x 1;0 x 0;0 x 1;;;;1 x 0;
San Martin (SJ);0 x 1;;;1 x 0;;;;0 x 2;0 x 2;0 x 0;0 x 1;;;0 x 1;
Sarmiento (J);;2 x 1;;0 x 0;;;;0 x 1;1 x 1;;1 x 1;1 x 1;;0 x 0;
Talleres (C);1 x 1;;2 x 0;;2 x 3;1 x 2;0 x 1;;;0 x 0;;;;;0 x 1
Velez Sarsfield;;0 x 1;1 x 0;0 x 2;;;;0 x 1;;;0 x 0;1 x 0;0 x 1;;
