Em casa / Fora de casa;ATM;BAH;BOT;CEA;COR;CRU;FLA;FLU;FOR;GRE;INT;JUV;MIR;PAL;RBB;SAN;SPA;SPT;VAS;VIT;Rating
Atletico Mineiro;;;1 x 0;;0 x 0;;;3 x 2;;;2 x 0;;;;;;0 x 0;;;2 x 2;79,1
Bahia;;;1 x 0;1 x 0;1 x 1;;;;;;;;1 x 1;;;;2 x 1;;;2 x 1;79,7
Botafogo;;;;3 x 2;;;;2 x 0;;;4 x 0;2 x 0;;;;;2 x 2;;;;83,5
Ceara;0 x 1;;;;;;;;;2 x 0;;;;;;;1 x 1;2 x 0;2 x 1;1 x 0;77,5
Corinthians;;;;;;;;0 x 2;;;4 x 2;;;;;1 x 0;;2 x 1;3 x 0;0 x 0;80,7
Cruzeiro;0 x 0;3 x 0;;;;;2 x 1;;;;;;2 x 1;2 x 1;;;;;1 x 0;;80,2
Flamengo;;1 x 0;0 x 0;;4 x 0;;;;5 x 0;;1 x 1;6 x 0;;;;;;;;;85,9
Fluminense;;;;;;;;;;;;;;;2 x 1;1 x 0;;2 x 1;2 x 1;1 x 1;81,3
Fortaleza;;;;;;0 x 2;;2 x 0;;;0 x 0;5 x 0;;1 x 2;;2 x 3;;;;;77,3
Gremio;2 x 1;1 x 0;;;1 x 1;;0 x 2;;;;1 x 1;;;;1 x 1;1 x 0;;;;;77,9
Internacional;;;;;;3 x 0;;0 x 2;;;;3 x 1;1 x 1;0 x 1;;;;;;;80
Juventude;0 x 1;;;2 x 1;;;;1 x 1;;0 x 2;;;2 x 2;;;;;;;2 x 0;74,9
Mirassol;2 x 2;;;;2 x 1;;;;1 x 1;4 x 1;;;;;;;;1 x 0;;;79,2
Palmeiras;;0 x 1;0 x 0;;2 x 0;;0 x 2;;;;;;;;;;1 x 0;;;;85,7
Red Bull Bragantino;;0 x 3;1 x 0;2 x 2;;1 x 0;;;;;;1 x 0;1 x 0;1 x 2;;;;;;;78,9
Santos;2 x 0;2 x 2;0 x 1;0 x 0;;;;;;;;;;;1 x 2;;;;;;76,8
Sao Paulo;;;;;;1 x 1;;;0 x 0;2 x 1;;;0 x 2;;;2 x 1;;0 x 0;1 x 3;;79,8
Sport;;;;;;0 x 4;;;0 x 0;;1 x 1;;;1 x 2;0 x 1;;;;;;74,6
Vasco da Gama;;;;;;;0 x 0;;3 x 0;;;;;0 x 1;0 x 2;2 x 1;;3 x 1;;;76,8
Vitoria;;;;;;0 x 0;1 x 2;;2 x 1;1 x 1;;;;;;0 x 1;;;2 x 1;;76,5
