Em casa / Fora de casa;AYG;DGU;DHC;GWN;GCS;GJU;JSK;JHM;PHS;SEL;SWN;USH
FC Anyang;;2 x 2;1 x 1;2 x 0;1 x 3;;2 x 1;0 x 1;0 x 2;1 x 1;3 x 1;0 x 1
Daegu FC;0 x 1;;1 x 2;2 x 1;;1 x 1;3 x 1;0 x 4;1 x 1;0 x 1;3 x 1;0 x 1
Daejeon Hana Citizen;2 x 1;2 x 1;;1 x 0;0 x 0;1 x 1;1 x 1;0 x 2;1 x 3;0 x 0;1 x 0;0 x 2
Gangwon FC;1 x 3;3 x 0;;;0 x 4;1 x 0;0 x 0;0 x 3;2 x 1;0 x 1;0 x 0;1 x 1
Gimcheon Sangmu;1 x 0;2 x 0;0 x 2;1 x 0;;0 x 0;1 x 1;1 x 2;1 x 0;0 x 1;1 x 1;2 x 0
Gwangju FC;2 x 1;2 x 1;2 x 2;0 x 1;1 x 0;;1 x 0;0 x 1;2 x 3;1 x 3;0 x 0;1 x 1
Jeju SK;;2 x 1;1 x 3;0 x 3;2 x 3;0 x 1;;0 x 0;2 x 0;2 x 0;1 x 0;1 x 2
Jeonbuk Hyundai Motors;2 x 0;3 x 1;1 x 1;0 x 1;2 x 1;2 x 2;1 x 1;;2 x 2;1 x 1;3 x 2;3 x 1
Pohang Steelers;2 x 1;0 x 0;0 x 3;2 x 1;1 x 2;0 x 1;2 x 1;;;1 x 0;2 x 0;1 x 0
FC Seoul;2 x 1;3 x 2;2 x 2;1 x 1;0 x 0;1 x 2;1 x 3;0 x 1;;;1 x 1;
Suwon FC;1 x 2;2 x 1;3 x 0;;3 x 2;;0 x 1;1 x 2;1 x 1;0 x 0;;1 x 1
Ulsan HD;0 x 1;;2 x 3;1 x 2;3 x 2;3 x 0;2 x 0;1 x 0;1 x 1;0 x 0;;
