Em casa / Fora de casa;AKC;AFC;AKU;BAY;BIR;ECB;EAS;FEN;MRW;TGA;WCR;WSP
Auckland City;;0 x 1;1 x 0;1 x 0;;;;;5 x 2;2 x 1;2 x 1;0 x 1
Auckland FC Reserves;;;1 x 2;2 x 1;;1 x 2;0 x 0;2 x 3;;2 x 3;0 x 1;3 x 4
Auckland United;;5 x 2;;2 x 1;3 x 3;1 x 1;;;;;4 x 2;1 x 1
Bay Olympic;;;0 x 2;;;2 x 2;2 x 1;2 x 1;0 x 1;3 x 1;3 x 0;0 x 3
Birkenhead United;2 x 1;2 x 0;2 x 1;3 x 0;;0 x 1;;;5 x 0;0 x 1;3 x 3;
East Coast Bays;2 x 2;;;;2 x 4;;0 x 1;0 x 2;1 x 0;;;0 x 3
Eastern Suburbs;1 x 0;;2 x 1;3 x 3;0 x 2;;;3 x 1;1 x 4;4 x 1;;
Fencibles United;1 x 2;1 x 1;1 x 3;;3 x 5;1 x 2;1 x 3;;2 x 2;3 x 1;;
Manurewa;0 x 1;0 x 4;4 x 5;1 x 2;;;;;;;2 x 3;0 x 3
Tauranga City;;3 x 0;1 x 0;;;1 x 3;1 x 3;;7 x 0;;4 x 2;
West Coast Rangers;2 x 5;;;;3 x 3;1 x 2;1 x 2;2 x 2;;0 x 2;;
Western Springs;;;;;2 x 3;1 x 1;2 x 1;2 x 0;2 x 0;0 x 3;0 x 1;
