"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Aldosivi";"Ataque";0;0;"Argentine Primera División"
"Argentinos Juniors";"Ataque";0,403659845684237;0,353951259454457;"Argentine Primera División"
"Atlético Tucuman";"Ataque";0,030449872068818;0,485911691541709;"Argentine Primera División"
"Banfield";"Ataque";-0,0372315907885388;0,393438796339471;"Argentine Primera División"
"Barracas Central";"Ataque";0,276166445842252;0,365193877859215;"Argentine Primera División"
"Belgrano";"Ataque";-0,200501785943095;0,410849969419672;"Argentine Primera División"
"Boca Juniors";"Ataque";0,450364569353163;0,350883240088505;"Argentine Primera División"
"Central Cordoba (SdE)";"Ataque";0,363613378237695;0,361445252810674;"Argentine Primera División"
"Defensa y Justicia";"Ataque";0,18555009369539;0,374787850898442;"Argentine Primera División"
"Deportivo Riestra";"Ataque";-0,326262950542737;0,507308269029435;"Argentine Primera División"
"Estudiantes (LP)";"Ataque";0,106621061792962;0,380192072156288;"Argentine Primera División"
"Gimnasia y Esgrima (LP)";"Ataque";-0,674056775846782;0,546545781212677;"Argentine Primera División"
"Godoy Cruz";"Ataque";-1,14576690869979;0,611336663907741;"Argentine Primera División"
"Huracan";"Ataque";0,0794102770017933;0,379988314742899;"Argentine Primera División"
"Independiente";"Ataque";0,313609979351478;0,468256840134604;"Argentine Primera División"
"Independiente Rivadavia";"Ataque";0,276166445842252;0,365193877860662;"Argentine Primera División"
"Instituto";"Ataque";0,036940961797888;0,485869197048245;"Argentine Primera División"
"Lanus";"Ataque";-0,396001000557404;0,514628806152302;"Argentine Primera División"
"Newell's Old Boys";"Ataque";-0,432805508345746;0,434534922496781;"Argentine Primera División"
"Platense";"Ataque";-0,228318113560285;0,500848801142708;"Argentine Primera División"
"Racing";"Ataque";0,508838572971499;0,348173509037633;"Argentine Primera División"
"River Plate";"Ataque";0,134743680161236;0,476070328915543;"Argentine Primera División"
"Rosario Central";"Ataque";0,186258470057531;0,473295633164031;"Argentine Primera División"
"San Lorenzo";"Ataque";-0,413474679108061;0,514722903510068;"Argentine Primera División"
"San Martin (SJ)";"Ataque";-2,07520344740459;0,820861459316776;"Argentine Primera División"
"Sarmiento (J)";"Ataque";-0,674056775846782;0,546545781175871;"Argentine Primera División"
"Talleres (C)";"Ataque";-0,579693580942307;0,533810550107549;"Argentine Primera División"
"Tigre";"Ataque";-0,0685732245486997;0,39321500918598;"Argentine Primera División"
"Union";"Ataque";-0,3051694952929;0,421703480421039;"Argentine Primera División"
"Velez Sarsfield";"Ataque";-0,802150409383767;0,573245505546447;"Argentine Primera División"
"Argentinos Juniors";"Defesa";-1,02989652853228;0,387672411110431;"Argentine Primera División"
"Atlético Tucuman";"Defesa";0,0561954698147603;0,344295821390552;"Argentine Primera División"
"Banfield";"Defesa";-0,369963812928817;0,30753413355851;"Argentine Primera División"
"Barracas Central";"Defesa";-0,530345499034823;0,32526637795304;"Argentine Primera División"
"Belgrano";"Defesa";-0,32473892615986;0,302669393441706;"Argentine Primera División"
"Boca Juniors";"Defesa";-1,02535730156166;0,387702780747579;"Argentine Primera División"
"Central Cordoba (SdE)";"Defesa";-0,139790119300505;0,290930831119256;"Argentine Primera División"
"Defensa y Justicia";"Defesa";-0,200990639307701;0,294488553487609;"Argentine Primera División"
"Deportivo Riestra";"Defesa";-1,0154876796035;0,475545422225352;"Argentine Primera División"
"Estudiantes (LP)";"Defesa";-0,360800114985532;0,307611860266228;"Argentine Primera División"
"Gimnasia y Esgrima (LP)";"Defesa";-0,0548604035587177;0,349095182833588;"Argentine Primera División"
"Godoy Cruz";"Defesa";-0,0727808960237937;0,348927615569432;"Argentine Primera División"
"Huracan";"Defesa";-0,768107914509514;0,349834875205447;"Argentine Primera División"
"Independiente";"Defesa";-0,345066696738716;0,388379237162395;"Argentine Primera División"
"Independiente Rivadavia";"Defesa";-0,530345499034822;0,32526637787282;"Argentine Primera División"
"Instituto";"Defesa";0,114020262834892;0,339529984771229;"Argentine Primera División"
"Lanus";"Defesa";-0,614691338315513;0,412995804278354;"Argentine Primera División"
"Newell's Old Boys";"Defesa";-0,794508162279013;0,34964604858442;"Argentine Primera División"
"Platense";"Defesa";-0,602848221679668;0,413088906113353;"Argentine Primera División"
"Racing";"Defesa";-0,731653258336551;0,350105827188947;"Argentine Primera División"
"River Plate";"Defesa";-0,973949916252054;0,475830844106085;"Argentine Primera División"
"Rosario Central";"Defesa";-0,967860971374258;0,475873798455023;"Argentine Primera División"
"San Lorenzo";"Defesa";-1,02127289979479;0,475507403571438;"Argentine Primera División"
"San Martin (SJ)";"Defesa";-0,223989407071977;0,36133858119287;"Argentine Primera División"
"Sarmiento (J)";"Defesa";-0,0548604035587179;0,349095182836087;"Argentine Primera División"
"Talleres (C)";"Defesa";-0,337772972200659;0,377788962887681;"Argentine Primera División"
"Tigre";"Defesa";-0,864257870974685;0,360434174557798;"Argentine Primera División"
"Union";"Defesa";-0,440885173220683;0,312687551227048;"Argentine Primera División"
