"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Austria Klagenfurt";"Ataque";0;0;"Austrian Bundesliga"
"Austria Wien";"Ataque";0,421957968771463;0,271622234807976;"Austrian Bundesliga"
"Blau-Weiss Linz";"Ataque";0,267800132849543;0,28184283704466;"Austrian Bundesliga"
"Grazer AK";"Ataque";0,168680896238204;0,291082711392125;"Austrian Bundesliga"
"Hartberg";"Ataque";0,0489928703819629;0,296276262457043;"Austrian Bundesliga"
"LASK";"Ataque";0,344866031697991;0,278211997266912;"Austrian Bundesliga"
"Rapid Wien";"Ataque";0,318064556781029;0,278028742217213;"Austrian Bundesliga"
"Red Bull Salzburg";"Ataque";0,343181749064488;0,276283423855985;"Austrian Bundesliga"
"Rheindorf Altach";"Ataque";-0,122768749586769;0,310078166461905;"Austrian Bundesliga"
"Sturm Graz";"Ataque";0,8009429832778;0,256397769992175;"Austrian Bundesliga"
"WSG Tirol";"Ataque";-0,134365882449166;0,310008040633545;"Austrian Bundesliga"
"Wolfsberg";"Ataque";0,631236350901971;0,263407204170633;"Austrian Bundesliga"
"Austria Klagenfurt";"Defesa";0;0;"Austrian Bundesliga"
"Austria Wien";"Defesa";-0,804434088466668;0,275428735581847;"Austrian Bundesliga"
"Blau-Weiss Linz";"Defesa";-0,396385756826653;0,240146530515751;"Austrian Bundesliga"
"Grazer AK";"Defesa";0,0122202178554579;0,214238772027412;"Austrian Bundesliga"
"Hartberg";"Defesa";-0,346877705756863;0,235348831081298;"Austrian Bundesliga"
"LASK";"Defesa";-0,260083595137876;0,231341354397212;"Austrian Bundesliga"
"Rapid Wien";"Defesa";-0,581071168605688;0,254687669892444;"Austrian Bundesliga"
"Red Bull Salzburg";"Defesa";-0,665710135878931;0,262028345687411;"Austrian Bundesliga"
"Rheindorf Altach";"Defesa";-0,236449517487222;0,227306107734009;"Austrian Bundesliga"
"Sturm Graz";"Defesa";-0,367352423184364;0,243165333902582;"Austrian Bundesliga"
"WSG Tirol";"Defesa";-0,358479159435689;0,235266629070192;"Austrian Bundesliga"
"Wolfsberg";"Defesa";-0,356967645594654;0,240434422215293;"Austrian Bundesliga"
