"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Atletico Mineiro";"Ataque";0;0;"Brasileirão"
"Bahia";"Ataque";0,289692010929296;0,390082020186152;"Brasileirão"
"Botafogo";"Ataque";0,253880842492508;0,391799944233426;"Brasileirão"
"Ceara";"Ataque";0,0997156201252544;0,400431104270189;"Brasileirão"
"Corinthians";"Ataque";0,0840825364127945;0,400166966695409;"Brasileirão"
"Cruzeiro";"Ataque";0,358480924697869;0,380492089583253;"Brasileirão"
"Flamengo";"Ataque";0,729143279037038;0,352514061957787;"Brasileirão"
"Fluminense";"Ataque";0,173992488285013;0,387308989515554;"Brasileirão"
"Fortaleza";"Ataque";-0,0652797287023106;0,405139515621994;"Brasileirão"
"Gremio";"Ataque";-0,0254543867622927;0,404367593589956;"Brasileirão"
"Internacional";"Ataque";-0,0053550925220749;0,406997710429212;"Brasileirão"
"Juventude";"Ataque";-0,27988714837473;0,455310804178568;"Brasileirão"
"Mirassol";"Ataque";0,323822923448056;0,376862186391346;"Brasileirão"
"Palmeiras";"Ataque";0,119148413010629;0,411643216039468;"Brasileirão"
"Red Bull Bragantino";"Ataque";0,106908241200549;0,390643213011874;"Brasileirão"
"Santos";"Ataque";-0,0885065017895244;0,416738307511529;"Brasileirão"
"Sao Paulo";"Ataque";-0,159150083693321;0,429477473031189;"Brasileirão"
"Sport";"Ataque";-0,826308924617708;0,531281121788143;"Brasileirão"
"Vasco da Gama";"Ataque";0,183220956102602;0,392722394551785;"Brasileirão"
"Vitoria";"Ataque";-0,218708927273948;0,426304883544587;"Brasileirão"
"Atletico Mineiro";"Defesa";0;0;"Brasileirão"
"Bahia";"Defesa";-0,00665376672343409;0,440966467717264;"Brasileirão"
"Botafogo";"Defesa";-0,331319562354284;0,500570973732368;"Brasileirão"
"Ceara";"Defesa";0,275087246921605;0,446320118541116;"Brasileirão"
"Corinthians";"Defesa";0,355632479441233;0,417287847754025;"Brasileirão"
"Cruzeiro";"Defesa";-0,259661346334086;0,484372504490531;"Brasileirão"
"Flamengo";"Defesa";-0,847894615751705;0,596566533198335;"Brasileirão"
"Fluminense";"Defesa";0,375728594889755;0,436963049172329;"Brasileirão"
"Fortaleza";"Defesa";0,558330162297217;0,400907207485268;"Brasileirão"
"Gremio";"Defesa";0,356827589864675;0,414962213549514;"Brasileirão"
"Internacional";"Defesa";0,519520632644979;0,400888357254381;"Brasileirão"
"Juventude";"Defesa";0,869226878184325;0,383653802695041;"Brasileirão"
"Mirassol";"Defesa";0,33974660957573;0,436770389718531;"Brasileirão"
"Palmeiras";"Defesa";-0,220856915855344;0,48244130592649;"Brasileirão"
"Red Bull Bragantino";"Defesa";0,0673458638777461;0,441842417571212;"Brasileirão"
"Santos";"Defesa";0,328108802001526;0,421310046990832;"Brasileirão"
"Sao Paulo";"Defesa";0,309201227452254;0,421580087993383;"Brasileirão"
"Sport";"Defesa";0,616463613302534;0,400916749514886;"Brasileirão"
"Vasco da Gama";"Defesa";0,447544708985145;0,410467940762293;"Brasileirão"
"Vitoria";"Defesa";0,244976401065629;0,421119512120647;"Brasileirão"
