"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"1. FC Heidenheim";"Ataque";0;0;"Bundesliga"
"Bayer Leverkusen";"Ataque";0,644708184694041;0,202598902640725;"Bundesliga"
"Bayern Munich";"Ataque";0,952005299152007;0,192991200853014;"Bundesliga"
"Borussia Dortmund";"Ataque";0,639672278797197;0,203109331738601;"Bundesliga"
"Borussia Monchengladbach";"Ataque";0,389984546752231;0,212971085984399;"Bundesliga"
"Eintracht Frankfurt";"Ataque";0,590688448688281;0,204614422551823;"Bundesliga"
"FC Augsburg";"Ataque";-0,069899848325354;0,236081972619719;"Bundesliga"
"FC St. Pauli";"Ataque";-0,304127034971591;0,250723281601861;"Bundesliga"
"Holstein Kiel";"Ataque";0,299924565514309;0,218209475806725;"Bundesliga"
"Mainz 05";"Ataque";0,374478560701099;0,212924877475807;"Bundesliga"
"RB Leipzig";"Ataque";0,342827532013247;0,214545462390047;"Bundesliga"
"SC Freiburg";"Ataque";0,269624833547206;0,218120065854174;"Bundesliga"
"TSG Hoffenheim";"Ataque";0,222896428062055;0,22119679694501;"Bundesliga"
"Union Berlin";"Ataque";-0,0698998481652851;0,236081120529423;"Bundesliga"
"VfB Stuttgart";"Ataque";0,537670304991645;0,206871097377823;"Bundesliga"
"VfL Bochum";"Ataque";-0,111424588624877;0,239765714835574;"Bundesliga"
"VfL Wolfsburg";"Ataque";0,404724156905608;0,212197757500885;"Bundesliga"
"Werder Bremen";"Ataque";0,371564611801568;0,213759667536573;"Bundesliga"
"1. FC Heidenheim";"Defesa";0;0;"Bundesliga"
"Bayer Leverkusen";"Defesa";-0,36018963703747;0,197519762586811;"Bundesliga"
"Bayern Munich";"Defesa";-0,626303633018228;0,216892138355531;"Bundesliga"
"Borussia Dortmund";"Defesa";-0,189967910201612;0,188059624033515;"Bundesliga"
"Borussia Monchengladbach";"Defesa";-0,0962566047697244;0,182432205088331;"Bundesliga"
"Eintracht Frankfurt";"Defesa";-0,296967433351843;0,193629850584206;"Bundesliga"
"FC Augsburg";"Defesa";-0,229797595328755;0,187931643970225;"Bundesliga"
"FC St. Pauli";"Defesa";-0,455912474029793;0,200228047857963;"Bundesliga"
"Holstein Kiel";"Defesa";0,237460621953198;0,168026647666983;"Bundesliga"
"Mainz 05";"Defesa";-0,379049178870397;0,19746201911334;"Bundesliga"
"RB Leipzig";"Defesa";-0,270922566129702;0,19122428835003;"Bundesliga"
"SC Freiburg";"Defesa";-0,175933577055425;0,186002380147123;"Bundesliga"
"TSG Hoffenheim";"Defesa";0,0708245872742625;0,174450342993391;"Bundesliga"
"Union Berlin";"Defesa";-0,229797595355095;0,187931890697409;"Bundesliga"
"VfB Stuttgart";"Defesa";-0,159226041955664;0,186056982008559;"Bundesliga"
"VfL Bochum";"Defesa";0,0415332790345074;0,175028233635285;"Bundesliga"
"VfL Wolfsburg";"Defesa";-0,149414457018264;0,185086589325606;"Bundesliga"
"Werder Bremen";"Defesa";-0,0973732211807285;0,182428343197738;"Bundesliga"
