"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Al Ahly";"Ataque";0;0;"Egyptian Premier League"
"Al Ittihad";"Ataque";-0,982465169849711;0,35287094366364;"Egyptian Premier League"
"Al Masry";"Ataque";-0,451259066559727;0,29358261372904;"Egyptian Premier League"
"Ceramica Cleopatra";"Ataque";-0,22535614656675;0,277790104613583;"Egyptian Premier League"
"ENPPI";"Ataque";-1,06143965153646;0,365584835290946;"Egyptian Premier League"
"El Gouna";"Ataque";-1,0812137914903;0,365497376751024;"Egyptian Premier League"
"Ghazl El Mahalla";"Ataque";-0,579723875973339;0,310180962608244;"Egyptian Premier League"
"Haras El Hodoud";"Ataque";-0,535959818520095;0,304100119593498;"Egyptian Premier League"
"Ismaily";"Ataque";-0,965896176067053;0,352941821774471;"Egyptian Premier League"
"Modern Sport";"Ataque";-1,15702414420475;0,380522693730916;"Egyptian Premier League"
"National Bank of Egypt";"Ataque";-0,280474479294118;0,28125266850433;"Egyptian Premier League"
"Petrojet";"Ataque";-0,539349673627374;0,304079922641728;"Egyptian Premier League"
"Pharco";"Ataque";-0,535959817063521;0,304095226392164;"Egyptian Premier League"
"Pyramids";"Ataque";0,0682107053685464;0,254574503085694;"Egyptian Premier League"
"Smouha";"Ataque";-0,794994645893913;0,332574764876845;"Egyptian Premier League"
"Tala'ea El Gaish";"Ataque";-0,808423029205842;0,332496071994549;"Egyptian Premier League"
"ZED";"Ataque";-0,681555504160183;0,316615854099619;"Egyptian Premier League"
"Zamalek";"Ataque";0,0243476906101665;0,258781264115617;"Egyptian Premier League"
"Al Ahly";"Defesa";0;0;"Egyptian Premier League"
"Al Ittihad";"Defesa";0,513214562152138;0,417206021140882;"Egyptian Premier League"
"Al Masry";"Defesa";0,164123624179612;0,450066260953962;"Egyptian Premier League"
"Ceramica Cleopatra";"Defesa";0,826828788222718;0,399192938544992;"Egyptian Premier League"
"ENPPI";"Defesa";0,782413738013448;0,398963445852047;"Egyptian Premier League"
"El Gouna";"Defesa";0,445291056088548;0,422152302560088;"Egyptian Premier League"
"Ghazl El Mahalla";"Defesa";0,936724446888464;0,391543306302759;"Egyptian Premier League"
"Haras El Hodoud";"Defesa";0,705569750261468;0,405309249031758;"Egyptian Premier League"
"Ismaily";"Defesa";0,78575091666808;0,398980277923293;"Egyptian Premier League"
"Modern Sport";"Defesa";0,912920435553014;0,391418036913065;"Egyptian Premier League"
"National Bank of Egypt";"Defesa";0,668388793672477;0,408985917335659;"Egyptian Premier League"
"Petrojet";"Defesa";0,65130787966889;0,408900566524275;"Egyptian Premier League"
"Pharco";"Defesa";0,705569749285696;0,405311312812014;"Egyptian Premier League"
"Pyramids";"Defesa";0,11262194736606;0,460258100266871;"Egyptian Premier League"
"Smouha";"Defesa";0,839131485710539;0,39629392398945;"Egyptian Premier League"
"Tala'ea El Gaish";"Defesa";0,637876443778475;0,40883404212452;"Egyptian Premier League"
"ZED";"Defesa";0,318316282097553;0,434203753834056;"Egyptian Premier League"
"Zamalek";"Defesa";0,57789345711399;0,417525222058002;"Egyptian Premier League"
