"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Arsenal";"Ataque";0;0;"English Premier League"
"Aston Villa";"Ataque";-0,158042679187789;0,178351970012212;"English Premier League"
"Bournemouth";"Ataque";-0,162762465750835;0,178338584455757;"English Premier League"
"Brentford";"Ataque";-0,0227183203199417;0,172412784766624;"English Premier League"
"Brighton & Hove Albion";"Ataque";-0,0207949341217306;0,172418554672475;"English Premier League"
"Chelsea";"Ataque";-0,0669142745963019;0,173740884179619;"English Premier League"
"Crystal Palace";"Ataque";-0,286976744998841;0,184865527174527;"English Premier League"
"Everton";"Ataque";-0,488027100209604;0,195881504525783;"English Premier League"
"Fulham";"Ataque";-0,226851179221401;0,181904004233316;"English Premier League"
"Ipswich Town";"Ataque";-0,606814296241106;0,205847320372641;"English Premier League"
"Leicester City";"Ataque";-0,695949492113626;0,211886450048513;"English Premier League"
"Liverpool";"Ataque";0,227480365380401;0,161828736099836;"English Premier League"
"Manchester City";"Ataque";0,0521298718467268;0,168675334754693;"English Premier League"
"Manchester United";"Ataque";-0,432122197302118;0,193123486683845;"English Premier League"
"Newcastle United";"Ataque";-0,00233508846303905;0,171087542984958;"English Premier League"
"Nottingham Forest";"Ataque";-0,162762465750846;0,178338611032053;"English Premier League"
"Southampton";"Ataque";-0,929189931610402;0,230345866586528;"English Premier League"
"Tottenham Hotspur";"Ataque";-0,0458924631776512;0,173802692265432;"English Premier League"
"West Ham United";"Ataque";-0,380044003895399;0,19056891683297;"English Premier League"
"Wolverhampton Wanderers";"Ataque";-0,212556417546763;0,181944085377005;"English Premier League"
"Arsenal";"Defesa";0;0;"English Premier League"
"Aston Villa";"Defesa";0,396046961976112;0,221657658953734;"English Premier League"
"Bournemouth";"Defesa";0,292604963676022;0,226413049500038;"English Premier League"
"Brentford";"Defesa";0,51523782484239;0,216972562380303;"English Premier League"
"Brighton & Hove Albion";"Defesa";0,549845652455528;0,215598303692681;"English Premier League"
"Chelsea";"Defesa";0,230658729588762;0,229750405568667;"English Premier League"
"Crystal Palace";"Defesa";0,389445901805861;0,221641658554976;"English Premier League"
"Everton";"Defesa";0,233140095106113;0,228549777018259;"English Premier League"
"Fulham";"Defesa";0,449571467578764;0,21917814354231;"English Premier League"
"Ipswich Town";"Defesa";0,851337352201248;0,204204941947096;"English Premier League"
"Leicester City";"Defesa";0,823726183113943;0,204942260334679;"English Premier League"
"Liverpool";"Defesa";0,203883875320903;0,232254084287871;"English Premier League"
"Manchester City";"Defesa";0,261298980533628;0,228615344010836;"English Premier League"
"Manchester United";"Defesa";0,440165844502558;0,219155285861428;"English Premier League"
"Newcastle United";"Defesa";0,323636114973723;0,225411919932868;"English Premier League"
"Nottingham Forest";"Defesa";0,292604963706412;0,226412715868506;"English Premier League"
"Southampton";"Defesa";0,889564710377366;0,202786710238077;"English Premier League"
"Tottenham Hotspur";"Defesa";0,64512747468634;0,211935746275348;"English Premier League"
"West Ham United";"Defesa";0,580514922939168;0,213640397494222;"English Premier League"
"Wolverhampton Wanderers";"Defesa";0,6954273573528;0,209797130051375;"English Premier League"
