"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Albirex Niigata";"Ataque";0;0;"J1 League"
"Avispa Fukuoka";"Ataque";-0,226995721065853;0,313793999413259;"J1 League"
"Cerezo Osaka";"Ataque";0,338001077016655;0,268001579342881;"J1 League"
"FC Tokyo";"Ataque";-0,0675297203530401;0,296373102488079;"J1 League"
"Fagiano Okayama";"Ataque";-0,364459462440782;0,318306561994877;"J1 League"
"Gamba Osaka";"Ataque";0,0546837478775596;0,287007921661737;"J1 League"
"Kashima Antlers";"Ataque";0,241722997253665;0,272854447257472;"J1 League"
"Kashiwa Reysol";"Ataque";0,172281174193366;0,279339721445909;"J1 League"
"Kawasaki Frontale";"Ataque";0,403987477356771;0,266265598211285;"J1 League"
"Kyoto Sanga";"Ataque";0,405151890763526;0,270027589797213;"J1 League"
"Machida Zelvia";"Ataque";0,11449039517617;0,284244197582181;"J1 League"
"Nagoya Grampus";"Ataque";0,112345263691245;0,284301386834717;"J1 League"
"Sanfrecce Hiroshima";"Ataque";0,104165714353499;0,287031662301781;"J1 League"
"Shimizu S-Pulse";"Ataque";0,13266715589605;0,281799679291471;"J1 League"
"Shonan Bellmare";"Ataque";-0,396538313271862;0,330050495066374;"J1 League"
"Tokyo Verdy";"Ataque";-0,520326276301056;0,337273613943055;"J1 League"
"Urawa Red Diamonds";"Ataque";0,0835479671719557;0,284242393185033;"J1 League"
"Vissel Kobe";"Ataque";0,162253297306416;0,281896336457355;"J1 League"
"Yokohama F. Marinos";"Ataque";-0,256409584296318;0,313513086438213;"J1 League"
"Yokohama FC";"Ataque";-0,571083040079223;0,345302221680848;"J1 League"
"Albirex Niigata";"Defesa";0;0;"J1 League"
"Avispa Fukuoka";"Defesa";-0,470196529897364;0,283743894283305;"J1 League"
"Cerezo Osaka";"Defesa";-0,156726942421969;0,254052840074328;"J1 League"
"FC Tokyo";"Defesa";-0,136853011563007;0,251652545206376;"J1 League"
"Fagiano Okayama";"Defesa";-0,627483309462041;0,292630531719319;"J1 League"
"Gamba Osaka";"Defesa";-0,219311123505181;0,258891438670194;"J1 League"
"Kashima Antlers";"Defesa";-0,603946621599015;0,287330061542406;"J1 League"
"Kashiwa Reysol";"Defesa";-0,514130394827377;0,282865114894533;"J1 League"
"Kawasaki Frontale";"Defesa";-0,387680571495498;0,274729830324724;"J1 League"
"Kyoto Sanga";"Defesa";-0,287957546713354;0,268320745433675;"J1 League"
"Machida Zelvia";"Defesa";-0,28722870668833;0,264555044371284;"J1 League"
"Nagoya Grampus";"Defesa";-0,156047230022857;0,253966341870048;"J1 League"
"Sanfrecce Hiroshima";"Defesa";-0,737135400247509;0,311117163886683;"J1 League"
"Shimizu S-Pulse";"Defesa";-0,219903480696952;0,258926960427469;"J1 League"
"Shonan Bellmare";"Defesa";-0,269603559363351;0,264341426501731;"J1 League"
"Tokyo Verdy";"Defesa";-0,423576381826664;0,271001623673524;"J1 League"
"Urawa Red Diamonds";"Defesa";-0,55531981562447;0,2829204320571;"J1 League"
"Vissel Kobe";"Defesa";-0,438366894755062;0,278940034791734;"J1 League"
"Yokohama F. Marinos";"Defesa";-0,0765648145228627;0,249765623803523;"J1 League"
"Yokohama FC";"Defesa";-0,342255600401153;0,264517910529326;"J1 League"
