"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Daegu FC";"Ataque";0;0;"K League 1"
"Daejeon Hana Citizen";"Ataque";0,248687671564629;0,295134741938548;"K League 1"
"FC Anyang";"Ataque";0,116462446988206;0,308499331345998;"K League 1"
"FC Seoul";"Ataque";-0,115648826561442;0,322325814684534;"K League 1"
"Gangwon FC";"Ataque";-0,139737108517647;0,327364421771942;"K League 1"
"Gimcheon Sangmu";"Ataque";0,222676824686007;0,295617808964102;"K League 1"
"Gwangju FC";"Ataque";-0,0324454631944483;0,318775320616595;"K League 1"
"Jeju SK";"Ataque";-0,0218146172221563;0,314792393189865;"K League 1"
"Jeonbuk Hyundai Motors";"Ataque";0,471134233236683;0,281102589177763;"K League 1"
"Pohang Steelers";"Ataque";0,158753891794126;0,302509597375616;"K League 1"
"Suwon FC";"Ataque";-0,0920699089688979;0,327398700924293;"K League 1"
"Ulsan HD";"Ataque";0,161992210426871;0,306769837257262;"K League 1"
"Daegu FC";"Defesa";0;0;"K League 1"
"Daejeon Hana Citizen";"Defesa";-0,421310438473171;0,267272527192268;"K League 1"
"FC Anyang";"Defesa";-0,307719420022811;0,261456650109302;"K League 1"
"FC Seoul";"Defesa";-0,624250987875255;0,286705194023285;"K League 1"
"Gangwon FC";"Defesa";-0,441935886324458;0,270691535395892;"K League 1"
"Gimcheon Sangmu";"Defesa";-0,600822583668876;0,280891205341605;"K League 1"
"Gwangju FC";"Defesa";-0,484691696155921;0,274383340029816;"K League 1"
"Jeju SK";"Defesa";-0,318788754842974;0,258280275767641;"K League 1"
"Jeonbuk Hyundai Motors";"Defesa";-0,785008972277293;0,304074155510661;"K League 1"
"Pohang Steelers";"Defesa";-0,445446698430795;0,274652692743289;"K League 1"
"Suwon FC";"Defesa";-0,317571726413188;0,264037588148494;"K League 1"
"Ulsan HD";"Defesa";-0,577233941498895;0,285930289648694;"K League 1"
