"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"America";"Ataque";0;0;"Liga MX"
"Atlas";"Ataque";-0,369426766678711;0,202286108815017;"Liga MX"
"Atletico San Luis";"Ataque";-0,234889941402979;0,194432366847289;"Liga MX"
"Cruz Azul";"Ataque";0,0430805373043433;0,179196081640748;"Liga MX"
"Guadalajara";"Ataque";-0,367924377381383;0,20076910409857;"Liga MX"
"Juarez";"Ataque";-0,426617856964987;0,203829748888113;"Liga MX"
"Leon";"Ataque";-0,288711619229465;0,196812321349185;"Liga MX"
"Mazatlan";"Ataque";-0,837342990292985;0,234460257911779;"Liga MX"
"Monterrey";"Ataque";-0,0365748485415222;0,18372031187948;"Liga MX"
"Necaxa";"Ataque";-0,0550042209316776;0,18545118410658;"Liga MX"
"Pachuca";"Ataque";-0,193046551486966;0,192187280145976;"Liga MX"
"Puebla";"Ataque";-0,748437513967197;0,225893317018046;"Liga MX"
"Queretaro";"Ataque";-0,681492852031948;0,223297969209375;"Liga MX"
"Santos Laguna";"Ataque";-0,77325329576292;0,23148160884269;"Liga MX"
"Tijuana";"Ataque";-0,103822877880737;0,18817920597151;"Liga MX"
"Toluca";"Ataque";0,268644188634967;0,170782148231519;"Liga MX"
"UANL";"Ataque";-0,222132097665913;0,192083423028812;"Liga MX"
"UNAM";"Ataque";-0,317541589703881;0,198069088312901;"Liga MX"
"America";"Defesa";0;0;"Liga MX"
"Atlas";"Defesa";0,531455697487778;0,225698608513938;"Liga MX"
"Atletico San Luis";"Defesa";0,501240717260579;0,227295100310471;"Liga MX"
"Cruz Azul";"Defesa";-0,134749530534305;0,263618658924303;"Liga MX"
"Guadalajara";"Defesa";0,126068866771318;0,245351779990251;"Liga MX"
"Juarez";"Defesa";0,565021845945273;0,223530559064742;"Liga MX"
"Leon";"Defesa";0,331047223754294;0,234849101799737;"Liga MX"
"Mazatlan";"Defesa";0,329866170685112;0,233698434306745;"Liga MX"
"Monterrey";"Defesa";0,300916502834954;0,237192554254246;"Liga MX"
"Necaxa";"Defesa";0,569227032344634;0,225016215699941;"Liga MX"
"Pachuca";"Defesa";0,503808211478565;0,227303506533854;"Liga MX"
"Puebla";"Defesa";0,562726507619079;0,222815043220129;"Liga MX"
"Queretaro";"Defesa";0,535945556724921;0,22490652427292;"Liga MX"
"Santos Laguna";"Defesa";0,714977606842285;0,218056303689377;"Liga MX"
"Tijuana";"Defesa";0,652780810903753;0,221613583470518;"Liga MX"
"Toluca";"Defesa";0,22765395160211;0,242500354496302;"Liga MX"
"UANL";"Defesa";-0,0819364005098372;0,258676712381906;"Liga MX"
"UNAM";"Defesa";0,208809632942749;0,240966559764569;"Liga MX"
