"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Angers";"Ataque";0;0;"Ligue 1"
"Auxerre";"Ataque";0,404261940667392;0,228519776724956;"Ligue 1"
"Brest";"Ataque";0,49399803809965;0,2250153722024;"Ligue 1"
"Le Havre";"Ataque";0,244742839542354;0,237523185462718;"Ligue 1"
"Lens";"Ataque";0,280139079769087;0,233720147372051;"Ligue 1"
"Lille";"Ataque";0,467191682135996;0,22493724492547;"Ligue 1"
"Lyon";"Ataque";0,7027105503318;0,216258478083153;"Ligue 1"
"Marseille";"Ataque";0,834170326515482;0,211895646957798;"Ligue 1"
"Monaco";"Ataque";0,665450456878987;0,217366101670158;"Ligue 1"
"Montpellier";"Ataque";-0,300998215318165;0,273668659561484;"Ligue 1"
"Nantes";"Ataque";0,197160872087456;0,238807286054836;"Ligue 1"
"Nice";"Ataque";0,712139451315154;0,215701082542138;"Ligue 1"
"Paris SG";"Ataque";1,03851962435438;0,205521488194406;"Ligue 1"
"Reims";"Ataque";0,0251332481255043;0,248361111195918;"Ligue 1"
"Rennes";"Ataque";0,463925725568267;0,225820269403024;"Ligue 1"
"Saint-Etienne";"Ataque";0,22643952101957;0,238888153370515;"Ligue 1"
"Strasbourg";"Ataque";0,550769305771593;0,221891233323266;"Ligue 1"
"Toulouse";"Ataque";0,307754830693941;0,232599604660059;"Ligue 1"
"Angers";"Defesa";0;0;"Ligue 1"
"Auxerre";"Defesa";-0,020107737064817;0,196422271319514;"Ligue 1"
"Brest";"Defesa";0,130848962886373;0,189553062138114;"Ligue 1"
"Le Havre";"Defesa";0,302564590118435;0,181795343029643;"Ligue 1"
"Lens";"Defesa";-0,294854605707807;0,21120047848087;"Ligue 1"
"Lille";"Defesa";-0,364788841163199;0,216228979606451;"Ligue 1"
"Lyon";"Defesa";-0,103724780160231;0,201835059445874;"Ligue 1"
"Marseille";"Defesa";-0,0714014954671457;0,200721025654043;"Ligue 1"
"Monaco";"Defesa";-0,221591043759001;0,208289074730147;"Ligue 1"
"Montpellier";"Defesa";0,389709986464394;0,17776087077168;"Ligue 1"
"Nantes";"Defesa";-0,0110585417307341;0,195427189935858;"Ligue 1"
"Nice";"Defesa";-0,218068372935174;0,20829997884462;"Ligue 1"
"Paris SG";"Defesa";-0,345980744681668;0,218193487769336;"Ligue 1"
"Reims";"Defesa";-0,0981611298489011;0,199462832500504;"Ligue 1"
"Rennes";"Defesa";-0,0364789355886649;0,197428812106661;"Ligue 1"
"Saint-Etienne";"Defesa";0,382835966925016;0,178749445138267;"Ligue 1"
"Strasbourg";"Defesa";-0,158913413153483;0,204234335303357;"Ligue 1"
"Toulouse";"Defesa";-0,195846067140306;0,20548173270653;"Ligue 1"
