"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Atlanta United FC";"Ataque";0;0;"MLS"
"Austin FC";"Ataque";-0,10287948153561;0,222544060099339;"MLS"
"CF Montréal";"Ataque";0,0437992177177033;0,207018896072284;"MLS"
"Charlotte FC";"Ataque";-0,012369277219289;0,208958801720661;"MLS"
"Chicago Fire FC";"Ataque";-0,135064030438758;0,216632733836728;"MLS"
"Colorado Rapids";"Ataque";0,34453166001947;0,200064512043707;"MLS"
"Columbus Crew";"Ataque";0,43879722000545;0,189263765054586;"MLS"
"D.C. United";"Ataque";0,144395453882355;0,202982421896107;"MLS"
"FC Cincinnati";"Ataque";0,203912502273959;0,197959512892469;"MLS"
"FC Dallas";"Ataque";0,193936675557479;0,205088041433848;"MLS"
"Houston Dynamo FC";"Ataque";0,0465903381473845;0,212083115884368;"MLS"
"Inter Miami CF";"Ataque";0,521350953065087;0,186010222132177;"MLS"
"LA Galaxy";"Ataque";0,46366100519528;0,196346724887044;"MLS"
"LAFC";"Ataque";0,363435717929242;0,199869031720249;"MLS"
"Minnesota United FC";"Ataque";0,286996929119675;0,202763104165566;"MLS"
"Nashville SC";"Ataque";-0,207667928602436;0,219764378560605;"MLS"
"New England Revolution";"Ataque";-0,187714838344823;0,221360645907584;"MLS"
"New York City FC";"Ataque";0,129629929349662;0,201218329166701;"MLS"
"New York Red Bulls";"Ataque";0,170930339474897;0,200407286078123;"MLS"
"Orlando City SC";"Ataque";0,229575635708257;0,197311577845862;"MLS"
"Philadelphia Union";"Ataque";0,303718873302308;0,195214602826779;"MLS"
"Portland Timbers";"Ataque";0,426206023149079;0,198217226388593;"MLS"
"Real Salt Lake";"Ataque";0,377550598907794;0,197829332864596;"MLS"
"San Jose Earthquakes";"Ataque";-0,031235735722474;0,219480335726874;"MLS"
"Seattle Sounders FC";"Ataque";0,112365011281272;0,208231197785161;"MLS"
"Sporting Kansas City";"Ataque";0,174201920594049;0,208468110204711;"MLS"
"St. Louis CITY SC";"Ataque";0,124811424627262;0,209146870553394;"MLS"
"Toronto FC";"Ataque";-0,137977585765349;0,216845875431079;"MLS"
"Vancouver Whitecaps FC";"Ataque";0,171882926376738;0,207473702306389;"MLS"
"Atlanta United FC";"Defesa";0;0;"MLS"
"Austin FC";"Defesa";-0,0690874325040405;0,207938057920491;"MLS"
"CF Montréal";"Defesa";0,285498457364847;0,190613884869389;"MLS"
"Charlotte FC";"Defesa";-0,27124017765073;0,218305457038866;"MLS"
"Chicago Fire FC";"Defesa";0,24613279112112;0,191607887257222;"MLS"
"Colorado Rapids";"Defesa";0,160760649316146;0,197134360046919;"MLS"
"Columbus Crew";"Defesa";-0,176778187916636;0,213695473338476;"MLS"
"D.C. United";"Defesa";0,380312649745734;0,186925838524162;"MLS"
"FC Cincinnati";"Defesa";0,00355458774557784;0,203668871492472;"MLS"
"FC Dallas";"Defesa";0,10517747583905;0,20029441421159;"MLS"
"Houston Dynamo FC";"Defesa";-0,248427050459395;0,219279690311754;"MLS"
"Inter Miami CF";"Defesa";0,0356195578370779;0,202690699367499;"MLS"
"LA Galaxy";"Defesa";-0,000317899114855498;0,206269906185621;"MLS"
"LAFC";"Defesa";-0,175185754380678;0,213837425116638;"MLS"
"Minnesota United FC";"Defesa";-0,052718258731938;0,206618267865808;"MLS"
"Nashville SC";"Defesa";0,0917326826230092;0,197910122828098;"MLS"
"New England Revolution";"Defesa";0,424784654825361;0,184774519580184;"MLS"
"New York City FC";"Defesa";0,0186898054507706;0,202697554622995;"MLS"
"New York Red Bulls";"Defesa";0,0425703781214187;0,201716687283517;"MLS"
"Orlando City SC";"Defesa";0,057684992143766;0,201696989515379;"MLS"
"Philadelphia Union";"Defesa";0,145385964763082;0,197165590982258;"MLS"
"Portland Timbers";"Defesa";0,100363569565116;0,200551783567801;"MLS"
"Real Salt Lake";"Defesa";-0,0679258754508891;0,20773276319251;"MLS"
"San Jose Earthquakes";"Defesa";0,403074940555823;0,187703683183364;"MLS"
"Seattle Sounders FC";"Defesa";-0,394661276032595;0,225808637229825;"MLS"
"Sporting Kansas City";"Defesa";0,223226590268718;0,193283903734512;"MLS"
"St. Louis CITY SC";"Defesa";0,204009049220531;0,19551635006426;"MLS"
"Toronto FC";"Defesa";0,239003595643158;0,192615816579027;"MLS"
"Vancouver Whitecaps FC";"Defesa";-0,0484331918192141;0,206994128857316;"MLS"
