"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Auckland City";"Ataque";0;0;"New Zealand National League"
"Auckland FC Reserves";"Ataque";-0,121828629495333;0,315944965650872;"New Zealand National League"
"Auckland United";"Ataque";0,344532519177807;0,283626804890243;"New Zealand National League"
"Bay Olympic";"Ataque";-0,151189180018854;0,31470759399769;"New Zealand National League"
"Birkenhead United";"Ataque";0,535563577514941;0,271183385580293;"New Zealand National League"
"East Coast Bays";"Ataque";-0,112785200018863;0,31576300536142;"New Zealand National League"
"Eastern Suburbs";"Ataque";0,132038368531975;0,295148979057014;"New Zealand National League"
"Fencibles United";"Ataque";0,0762692884864395;0,304330958414654;"New Zealand National League"
"Manurewa";"Ataque";-0,170842693923816;0,333176873585321;"New Zealand National League"
"Tauranga City";"Ataque";0,321337380641848;0,282650196012799;"New Zealand National League"
"West Coast Rangers";"Ataque";0,0980615829103469;0,305956988510745;"New Zealand National League"
"Western Springs";"Ataque";0,124441734772215;0,296386297948054;"New Zealand National League"
"Auckland City";"Defesa";0;0;"New Zealand National League"
"Auckland FC Reserves";"Defesa";0,524239874324373;0,331707374099904;"New Zealand National League"
"Auckland United";"Defesa";0,378537307427592;0,344400991628096;"New Zealand National League"
"Bay Olympic";"Defesa";0,391591268230132;0,340606258410097;"New Zealand National League"
"Birkenhead United";"Defesa";0,305621862523995;0,350306122509534;"New Zealand National League"
"East Coast Bays";"Defesa";0,22154527022142;0,350727960530047;"New Zealand National League"
"Eastern Suburbs";"Defesa";0,223269395292931;0,354520339897976;"New Zealand National League"
"Fencibles United";"Defesa";0,701797782895521;0,326063172557872;"New Zealand National League"
"Manurewa";"Defesa";0,994166058987247;0,313317737096936;"New Zealand National League"
"Tauranga City";"Defesa";0,397553621202004;0,343547603102811;"New Zealand National League"
"West Coast Rangers";"Defesa";0,754757626149923;0,321547576927843;"New Zealand National League"
"Western Springs";"Defesa";-0,0500262814576309;0,386437834164509;"New Zealand National League"
