"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Al-Ahli";"Ataque";0;0;"Saudi Pro League"
"Al-Ettifaq";"Ataque";-0,440737299839165;0,193212558264395;"Saudi Pro League"
"Al-Fateh";"Ataque";-0,355725044418445;0,189486748198608;"Saudi Pro League"
"Al-Fayha";"Ataque";-0,925537914497527;0,227251974971426;"Saudi Pro League"
"Al-Hilal";"Ataque";0,327291467133957;0,15853031556631;"Saudi Pro League"
"Al-Ittihad";"Ataque";0,134651647362344;0,165080885773081;"Saudi Pro League"
"Al-Khaleej";"Ataque";-0,52230231867261;0,199050386206932;"Saudi Pro League"
"Al-Kholood";"Ataque";-0,465073166413566;0,19606555297826;"Saudi Pro League"
"Al-Nassr";"Ataque";0,156914509836832;0,166186445534456;"Saudi Pro League"
"Al-Okhdood";"Ataque";-0,716380940537814;0,211946075471726;"Saudi Pro League"
"Al-Orobah";"Ataque";-0,732830906087556;0,216621687276812;"Saudi Pro League"
"Al-Qadsiah";"Ataque";-0,270399512428112;0,182899847829485;"Saudi Pro League"
"Al-Raed";"Ataque";-0,486883714563954;0,197548000426959;"Saudi Pro League"
"Al-Riyadh";"Ataque";-0,606328811306127;0,204058957825464;"Saudi Pro League"
"Al-Shabab";"Ataque";-0,0539982468212757;0,173163259583391;"Saudi Pro League"
"Al-Taawoun";"Ataque";-0,54320249800515;0,198983519061548;"Saudi Pro League"
"Al-Wehda";"Ataque";-0,461500446886563;0,196077487039753;"Saudi Pro League"
"Damac";"Ataque";-0,608650737589906;0,20405143359265;"Saudi Pro League"
"Al-Ahli";"Defesa";0;0;"Saudi Pro League"
"Al-Ettifaq";"Defesa";0,194479809653021;0,223952851803762;"Saudi Pro League"
"Al-Fateh";"Defesa";0,503228371948052;0,21055562024591;"Saudi Pro League"
"Al-Fayha";"Defesa";0,260226864687181;0,219806665587999;"Saudi Pro League"
"Al-Hilal";"Defesa";0,162151343197487;0,228927208666683;"Saudi Pro League"
"Al-Ittihad";"Defesa";-0,0163422957850732;0,237821182425425;"Saudi Pro League"
"Al-Khaleej";"Defesa";0,426880398049182;0,213241620329735;"Saudi Pro League"
"Al-Kholood";"Defesa";0,545474556256587;0,20870426702061;"Saudi Pro League"
"Al-Nassr";"Defesa";0,0881017708864949;0,233086217721814;"Saudi Pro League"
"Al-Okhdood";"Defesa";0,400952681741412;0,213948507589523;"Saudi Pro League"
"Al-Orobah";"Defesa";0,684518352479197;0,205035379594379;"Saudi Pro League"
"Al-Qadsiah";"Defesa";-0,16867586396637;0,245361231075457;"Saudi Pro League"
"Al-Raed";"Defesa";0,57517387046127;0,207563620442148;"Saudi Pro League"
"Al-Riyadh";"Defesa";0,331305345529632;0,217148336641469;"Saudi Pro League"
"Al-Shabab";"Defesa";0,125773904497688;0,22881433330968;"Saudi Pro League"
"Al-Taawoun";"Defesa";0,0464225355908707;0,231444457572038;"Saudi Pro League"
"Al-Wehda";"Defesa";0,591462101188805;0,207022521854448;"Saudi Pro League"
"Damac";"Defesa";0,291985144899962;0,218911814539776;"Saudi Pro League"
