"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"AS Gabès";"Ataque";0;0;"Tunisian Ligue 1"
"AS Soliman";"Ataque";-3,04189202789685e-10;0,3338626532404;"Tunisian Ligue 1"
"CA Bizertin";"Ataque";0,456822556963196;0,300576322110747;"Tunisian Ligue 1"
"CS Sfaxien";"Ataque";0,504232302005876;0,296772540009689;"Tunisian Ligue 1"
"Club Africain";"Ataque";0,596869744425226;0,291940103737679;"Tunisian Ligue 1"
"EGS Gafsa";"Ataque";0,299906627835876;0,312429366825937;"Tunisian Ligue 1"
"ES Métlaoui";"Ataque";0,553465995143576;0,295145002078588;"Tunisian Ligue 1"
"Espérance de Tunis";"Ataque";1,12260700894331;0,270907163369229;"Tunisian Ligue 1"
"Espérance de Zarzis";"Ataque";0,73057713987912;0,286691707622678;"Tunisian Ligue 1"
"JS El Omrane";"Ataque";0,347707323900573;0,309781467041515;"Tunisian Ligue 1"
"Olympique Béja";"Ataque";0,0520661197720913;0,329449881227485;"Tunisian Ligue 1"
"Stade Tunisien";"Ataque";0,441653485538382;0,300513741362678;"Tunisian Ligue 1"
"US Ben Guerdane";"Ataque";0,432567817865001;0,302664754400023;"Tunisian Ligue 1"
"US Monastir";"Ataque";0,791445041229688;0,282109663491185;"Tunisian Ligue 1"
"US Tataouine";"Ataque";0,0876055749917378;0,329590854326008;"Tunisian Ligue 1"
"Étoile du Sahel";"Ataque";0,889352069849209;0,279416827069319;"Tunisian Ligue 1"
"AS Gabès";"Defesa";0;0;"Tunisian Ligue 1"
"AS Soliman";"Defesa";4,77004116311682e-10;0,229784486030518;"Tunisian Ligue 1"
"CA Bizertin";"Defesa";-0,282490855420271;0,249503156926564;"Tunisian Ligue 1"
"CS Sfaxien";"Defesa";-0,667186012881149;0,281376964470748;"Tunisian Ligue 1"
"Club Africain";"Defesa";-0,660718965205945;0,281402727527225;"Tunisian Ligue 1"
"EGS Gafsa";"Defesa";0,137376732442584;0,223104959611186;"Tunisian Ligue 1"
"ES Métlaoui";"Defesa";-0,312430976257364;0,252169518348891;"Tunisian Ligue 1"
"Espérance de Tunis";"Defesa";-0,462060655990228;0,268585869525965;"Tunisian Ligue 1"
"Espérance de Zarzis";"Defesa";-0,227316148814997;0,247118922321528;"Tunisian Ligue 1"
"JS El Omrane";"Defesa";0,207440021683953;0,219696156321945;"Tunisian Ligue 1"
"Olympique Béja";"Defesa";-0,024577271973216;0,231338570185351;"Tunisian Ligue 1"
"Stade Tunisien";"Defesa";-0,571123060742603;0,272308520216912;"Tunisian Ligue 1"
"US Ben Guerdane";"Defesa";-0,119699740480111;0,23840826353433;"Tunisian Ligue 1"
"US Monastir";"Defesa";-1,19138626157357;0,342774996677284;"Tunisian Ligue 1"
"US Tataouine";"Defesa";0,336290485977501;0,21299195042065;"Tunisian Ligue 1"
"Étoile du Sahel";"Defesa";-0,401874505751212;0,261316927086349;"Tunisian Ligue 1"
