"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"Ajman";"Ataque";0;0;"UAE Pro League"
"Al Ain";"Ataque";0,312333818620173;0,207677282361098;"UAE Pro League"
"Al Bataeh";"Ataque";-0,291093243317307;0,242166464618934;"UAE Pro League"
"Al Jazira";"Ataque";0,107283883344425;0,217996156777586;"UAE Pro League"
"Al Nasr";"Ataque";0,116700824218264;0,218044394010435;"UAE Pro League"
"Al Urooba";"Ataque";-0,483841381692276;0,258925096497108;"UAE Pro League"
"Al Wahda";"Ataque";0,220115219688718;0,211854356533103;"UAE Pro League"
"Al Wasl";"Ataque";0,24528264994656;0,21099337204494;"UAE Pro League"
"Baniyas";"Ataque";-0,34566856107531;0,247095398279765;"UAE Pro League"
"Dibba Al Hisn";"Ataque";-0,270704257040069;0,242258874534804;"UAE Pro League"
"Kalba";"Ataque";-0,0130399536409112;0,224261337025721;"UAE Pro League"
"Khor Fakkan";"Ataque";0,036216414601865;0,223021038890647;"UAE Pro League"
"Shabab Al Ahli";"Ataque";0,311485540534158;0,206823452354821;"UAE Pro League"
"Sharjah";"Ataque";0,0516786228876325;0,21898717041522;"UAE Pro League"
"Ajman";"Defesa";0;0;"UAE Pro League"
"Al Ain";"Defesa";-0,33517512795126;0,230922124890283;"UAE Pro League"
"Al Bataeh";"Defesa";-0,0406443154100505;0,210240145117058;"UAE Pro League"
"Al Jazira";"Defesa";-0,131277508375039;0,216877524934286;"UAE Pro League"
"Al Nasr";"Defesa";-0,0127017000773366;0,210384000828998;"UAE Pro League"
"Al Urooba";"Defesa";0,270278784419275;0,19516765085452;"UAE Pro League"
"Al Wahda";"Defesa";-0,313594847498172;0,228819470518197;"UAE Pro League"
"Al Wasl";"Defesa";-0,22416673610947;0,223247681158308;"UAE Pro League"
"Baniyas";"Defesa";0,12008252274725;0,202094036437385;"UAE Pro League"
"Dibba Al Hisn";"Defesa";0,179172840282997;0,199600996519712;"UAE Pro League"
"Kalba";"Defesa";-0,166045757678328;0,218302878434081;"UAE Pro League"
"Khor Fakkan";"Defesa";0,125357402433597;0,203120005413611;"UAE Pro League"
"Shabab Al Ahli";"Defesa";-0,709957449477544;0,259856485077727;"UAE Pro League"
"Sharjah";"Defesa";-0,733634479301816;0,259757157108353;"UAE Pro League"
