Time_da_casa;Gols_feitos_pelo_time_da_casa;Gols_feitos_pelo_time_de_fora_de_casa;Time_de_fora_de_casa
Al Ahly;0;0;Inter Miami CF
Bayern Munich;10;0;Auckland City
Paris SG;4;0;Atletico Madrid
Palmeiras;0;0;Porto
Botafogo;2;1;Seattle Sounders FC
Chelsea;2;0;LAFC
Boca Juniors;2;2;Benfica
Flamengo;2;0;Espérance de Tunis
Fluminense;0;0;Borussia Dortmund
River Plate;3;1;Urawa Red Diamonds
Ulsan HD;0;1;Mamelodi Sundowns
Monterrey;1;1;Inter Milan
Manchester City;2;0;Wydad Casablanca
Real Madrid;1;1;Al-Hilal
Pachuca;1;2;Red Bull Salzburg
Al Ain;0;5;Juventus
Palmeiras;2;0;Al Ahly
Inter Miami CF;2;1;Porto
Seattle Sounders FC;1;3;Atletico Madrid
Paris SG;0;1;Botafogo
Benfica;6;0;Auckland City
Flamengo;3;1;Chelsea
LAFC;0;1;Espérance de Tunis
Bayern Munich;2;1;Boca Juniors
Mamelodi Sundowns;3;4;Borussia Dortmund
Inter Milan;2;1;Urawa Red Diamonds
Fluminense;4;2;Ulsan HD
River Plate;0;0;Monterrey
Juventus;4;1;Wydad Casablanca
Real Madrid;3;1;Pachuca
Red Bull Salzburg;0;0;Al-Hilal
Manchester City;6;0;Al Ain
Seattle Sounders FC;0;2;Paris SG
Atletico Madrid;1;0;Botafogo
Inter Miami CF;2;2;Palmeiras
Porto;4;4;Al Ahly
Auckland City;1;1;Boca Juniors
Benfica;1;0;Bayern Munich
LAFC;1;1;Flamengo
Espérance de Tunis;0;3;Chelsea
Borussia Dortmund;1;0;Ulsan HD
Mamelodi Sundowns;0;0;Fluminense
Inter Milan;2;0;River Plate
Urawa Red Diamonds;0;4;Monterrey
Juventus;2;5;Manchester City
Wydad Casablanca;1;2;Al Ain
Al-Hilal;2;0;Pachuca
Red Bull Salzburg;0;3;Real Madrid
Palmeiras;1;0;Botafogo
Benfica;1;4;Chelsea
Inter Milan;0;2;Fluminense
Manchester City;3;4;Al-Hilal
Paris SG;4;0;Inter Miami CF
Flamengo;2;4;Bayern Munich
Real Madrid;1;0;Juventus
Borussia Dortmund;2;1;Monterrey
Palmeiras;1;2;Chelsea
Fluminense;2;1;Al-Hilal
Paris SG;2;0;Bayern Munich
Real Madrid;3;2;Borussia Dortmund
Fluminense;0;2;Chelsea
Paris SG;4;0;Real Madrid
