RedTeamName;most_common_abbreviation_number_of_occurences;Abbr_1
100 Thieves;55;100T
One More Esports ;55;1M
5M Esports;5;5M
Seven Dark;15;7D
Malvinas Gaming;2;ACE
Austrian Force willhaben;85;AFW
Anyone's Legend;16;ALFlandre
Anyone's Legend;16;ALHope
Anyone's Legend;16;ALKael
Anyone's Legend;16;ALShanks
Anyone's Legend;16;ALTarzan
Apex Mission Impossible;35;AMI
Anubis Gaming;70;ANB
aNc Legends;15;ANC
Connect Arena Esports;5;ANK
A One Man Army;55;AOMA
Actions Per Minute;30;APM
Aurora;40;ARA
Axolotl Esports;35;AXL
Back2TheGame;65;B2TG
BAAM Esports;50;BAM
Barça Esports;85;BAR
Burning Core Toyama;55;BCT
Bulldog Esports;60;BDG
Team BDS;45;BDS
Team BDS Academy;10;BDSA
BeFive;50;BE5
Berimbados;5;BER
BNK FEARX;75;BFX
BNK FEARX Youth;80;BFX
BoostGate Espor;55;BGT
Berlin International Gaming;115;BIG
Beşiktaş Esports;75;BJK
Black dog;5;BKD
BK ROG Esports;65;BKR
BBL Dark Passage;50;BLDP
BILIBILI GAMING DREAMSMART;2;BLGBeichuan
BILIBILI GAMING DREAMSMART;18;BLGBin
BILIBILI GAMING DREAMSMART;18;BLGElk
BILIBILI GAMING DREAMSMART;18;BLGKnight
BILIBILI GAMING DREAMSMART;18;BLGON
BILIBILI GAMING DREAMSMART;16;BLGWei
Blue Otter;25;BLUE
BRO Challengers;65;BRO
OKSavingsBank BRION;95;BRO
BRUTE;30;BRT
BraVeLY;25;BVL
Bushido Wildcats;55;BW
BWE Esports;5;BWE
Cloud9 Kia;45;C9
Saigon CyberCore Esports;15;CBC
CCG Esports;30;CCG
CTBC Flying Oyster;90;CFO
CTBC Flying Oyster Academy;65;CFOA
Colossal Gaming;35;CG
CGN Esports;20;CGN
The Chiefs Esports Club;30;CHF
Clocks;15;CK
CITA Kaizen;20;CKZ
Connect Arena Esports;25;CNA
Conviction;25;CNV
Crusaders;5;CRZ
Crvena zvezda Esports;30;CZV
Deep Cross Gaming;45;DCG
DetonatioN FocusMe;55;DFM
DetonatioN FocusMe Academy;40;DFMA
DeltanGaming;5;DG
Dignitas;35;DIG
Saigon Dino;15;DINO
DK Challengers;85;DK
Dplus KIA;100;DK
Dream in 24;20;DM
DMG Esports;25;DMG
CGN Esports;45;DND
Dynamo Eclot;25;DNE
Dynamo Eclot Talents;10;DNET
DN FREECS;105;DNF
DNF Challengers;70;DNF
DOCISK;15;DOC
Dopamina E-Sport;35;DPM
