"";"Champion";"Role";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end";"Side"
"1";"Aatrox";"top";6;1,5;2;2,33333333333333;117,166666666667;192,166666666667;4676;8624,66666666667;"Blue"
"2";"Ahri";"mid";19;2;1,31578947368421;4,26315789473684;135,263157894737;252;5221,36842105263;10627,3684210526;"Blue"
"3";"Akali";"mid";2;5;1,5;1;131;219;5371,5;9756,5;"Blue"
"4";"Alistar";"support";21;0,380952380952381;2,42857142857143;6,33333333333333;18,1428571428571;28,0952380952381;3267,14285714286;6696,71428571429;"Blue"
"5";"Ambessa";"mid";4;1,75;2,25;3,5;130;266,5;4790,75;12381,75;"Blue"
"6";"Ambessa";"top";18;2,11111111111111;2,44444444444444;2,27777777777778;114,222222222222;235,222222222222;4721,66666666667;10493,2222222222;"Blue"
"7";"Anivia";"top";2;2;1;1,5;117;251,5;4839,5;11469,5;"Blue"
"8";"Aphelios";"bottom";1;3;3;1;140;275;4875;11582;"Blue"
"9";"Ashe";"bottom";20;2,4;1,65;3,65;128;249,8;5232,8;10712,3;"Blue"
"10";"Aurora";"mid";12;3,41666666666667;1,25;4,08333333333333;135,333333333333;274,666666666667;5342,16666666667;12391,4166666667;"Blue"
"11";"Aurora";"top";6;2,66666666666667;1;2,66666666666667;119,5;255,666666666667;4699,33333333333;11776,6666666667;"Blue"
"12";"Azir";"mid";27;2,62962962962963;2,11111111111111;3,33333333333333;131,592592592593;279,666666666667;4939,85185185185;12249,2592592593;"Blue"
"13";"Bard";"support";1;1;2;4;19;29;3151;6590;"Blue"
"14";"Blitzcrank";"support";3;0,666666666666667;2;9,33333333333333;14,6666666666667;25,6666666666667;3447;8183;"Blue"
"15";"Braum";"support";13;0,230769230769231;2,15384615384615;7,92307692307692;18,4615384615385;26;3327,38461538462;6681,61538461538;"Blue"
"16";"Caitlyn";"bottom";6;2;1;1,83333333333333;143,333333333333;271,333333333333;5602;11444;"Blue"
"17";"Camille";"support";1;1;7;1;25;46;3285;6268;"Blue"
"18";"Camille";"top";8;2,75;2,375;3,625;104,375;232,5;4331,5;11512,5;"Blue"
"19";"Chogath";"mid";1;4;1;6;106;224;5111;11250;"Blue"
"20";"Chogath";"support";1;2;5;0;101;172;4359;7573;"Blue"
"21";"Corki";"bottom";7;2,42857142857143;2;3;129,571428571429;266,857142857143;5022,85714285714;10921,8571428571;"Blue"
"22";"Corki";"mid";9;2,11111111111111;2;2,33333333333333;141,888888888889;245;5330,88888888889;10062,5555555556;"Blue"
"23";"Diana";"jungle";1;3;5;8;112;199;5007;11993;"Blue"
"24";"Diana";"top";1;0;2;0;106;206;4241;7568;"Blue"
"25";"Draven";"bottom";2;2,5;2,5;2;127,5;255;5442;11123,5;"Blue"
"26";"Elise";"support";9;1,11111111111111;4,33333333333333;3,66666666666667;18,1111111111111;32,7777777777778;3785,55555555556;7077,33333333333;"Blue"
"27";"Ezreal";"bottom";31;2,38709677419355;1,12903225806452;3,45161290322581;130,258064516129;276,741935483871;5068,29032258064;11826,6451612903;"Blue"
"28";"Fiora";"top";3;3,66666666666667;2;1,66666666666667;113,666666666667;254;5228,33333333333;12316;"Blue"
"29";"Galio";"mid";11;1,63636363636364;2,63636363636364;5,63636363636364;128;236,090909090909;5102,54545454545;10573,2727272727;"Blue"
"30";"Galio";"top";1;0;1;2;140;294;5019;12209;"Blue"
"31";"Gangplank";"top";3;2;1;5;108,333333333333;225,666666666667;4665;11342;"Blue"
"32";"Gnar";"top";11;1,09090909090909;3,36363636363636;3,36363636363636;117,181818181818;220,090909090909;4831;9718;"Blue"
"33";"Gragas";"top";3;1;1,33333333333333;5;105;237;4098;10946;"Blue"
"34";"Gwen";"top";5;2,6;2,4;2,4;118,2;243,6;4841,6;10642;"Blue"
"35";"Hwei";"mid";5;2;1,6;2;132;256;5009,4;10447,4;"Blue"
"36";"Irelia";"top";1;3;4;3;100;235;4683;10961;"Blue"
"37";"Ivern";"jungle";2;0;0,5;9;97;152,5;4956,5;8781;"Blue"
"38";"JarvanIV";"jungle";1;0;0;4;93;154;4301;7475;"Blue"
"39";"Jax";"top";9;2,55555555555556;1,55555555555556;3,11111111111111;96,6666666666667;230,777777777778;4423,66666666667;11541,1111111111;"Blue"
"40";"Jayce";"mid";2;2;2;4,5;143;274,5;5397,5;11729;"Blue"
"41";"Jayce";"top";19;1,68421052631579;2,73684210526316;3,73684210526316;123,368421052632;250,789473684211;5015;11281,4210526316;"Blue"
"42";"Jhin";"bottom";10;2,6;1,4;5,3;131,4;261,3;5105,3;11060,8;"Blue"
"43";"Jinx";"bottom";5;3;1,2;3,2;136,6;307,8;5838,6;13266,2;"Blue"
"44";"KSante";"top";14;1,21428571428571;1,92857142857143;2,92857142857143;116,785714285714;220,285714285714;4575,14285714286;9670,92857142857;"Blue"
"45";"Kaisa";"bottom";16;3,125;2,0625;3,5;120,6875;281,5625;4914,3125;12570,875;"Blue"
"46";"Kalista";"bottom";8;2,5;2,375;2,875;128,5;255;4982,25;11153,625;"Blue"
"47";"Karma";"support";6;0,333333333333333;2,16666666666667;7;23;34,6666666666667;3633,5;7816,83333333333;"Blue"
"48";"Kennen";"top";1;3;3;3;133;273;5326;12226;"Blue"
"49";"KogMaw";"bottom";1;2;0;4;140;308;5253;12635;"Blue"
"50";"Leblanc";"mid";1;1;0;4;139;314;4914;14123;"Blue"
"51";"Leblanc";"support";1;1;2;2;25;33;3452;6520;"Blue"
"52";"LeeSin";"jungle";7;1,28571428571429;2;3,71428571428571;101;194,714285714286;4628,57142857143;9635,57142857143;"Blue"
"53";"Leona";"support";19;1;3,26315789473684;5,68421052631579;22,5263157894737;33,2105263157895;3412,31578947368;6744,05263157895;"Blue"
"54";"Lillia";"jungle";10;2,4;1,7;5,1;111,6;221,4;4982,2;10755,4;"Blue"
"55";"Lucian";"bottom";3;3,66666666666667;2;5;131;308,333333333333;5497,33333333333;14027,6666666667;"Blue"
"56";"Lulu";"support";3;1,33333333333333;1,66666666666667;8,33333333333333;17,3333333333333;22,6666666666667;4054;6501,66666666667;"Blue"
"57";"Lux";"support";1;0;1;4;17;36;3229;8003;"Blue"
"58";"Maokai";"jungle";8;2,25;2;5,375;95,875;164,875;4685,375;9171,875;"Blue"
"59";"Maokai";"support";2;1;4;5;19,5;29;3498,5;6423;"Blue"
"60";"Mel";"mid";1;2;1;2;126;239;5396;10007;"Blue"
"61";"MissFortune";"bottom";23;2,30434782608696;1,65217391304348;3,08695652173913;128,478260869565;280,521739130435;5160,73913043478;11853,2608695652;"Blue"
"62";"MonkeyKing";"jungle";12;2,08333333333333;3,08333333333333;3,41666666666667;98,25;183,416666666667;4740,5;9690,75;"Blue"
"63";"Mordekaiser";"top";1;3;6;4;86;182;4818;10856;"Blue"
"64";"Naafiri";"jungle";11;2,18181818181818;1,81818181818182;3,36363636363636;109;208,272727272727;5073,36363636364;10084,4545454545;"Blue"
"65";"Nautilus";"support";12;0,583333333333333;3,16666666666667;6,25;21;31,3333333333333;3298,41666666667;6783,16666666667;"Blue"
"66";"Neeko";"support";3;1;3,33333333333333;4;22;37,6666666666667;3391,33333333333;6459;"Blue"
"67";"Nidalee";"jungle";5;1,6;1,8;3,8;113,2;226,8;4865,6;10832,4;"Blue"
"68";"Nidalee";"top";3;4,33333333333333;2,66666666666667;4,66666666666667;129,333333333333;274;6151,33333333333;15112;"Blue"
"69";"Nocturne";"jungle";5;2,2;3,8;7;109,2;207,8;4913,2;10855,4;"Blue"
"70";"Orianna";"mid";5;1;2,4;3,6;129,8;251,6;4900,8;10098,4;"Blue"
"71";"Ornn";"top";2;1;1,5;6;105,5;213;4403,5;9807,5;"Blue"
"72";"Pantheon";"jungle";9;2,66666666666667;1,66666666666667;4,44444444444444;104,777777777778;187,777777777778;4884;9716,44444444445;"Blue"
"73";"Pantheon";"mid";1;1;2;4;103;204;4157;9317;"Blue"
"74";"Pantheon";"support";4;1,5;4,5;3,25;19,25;32,75;3202,5;6842,25;"Blue"
"75";"Poppy";"jungle";5;1,2;1,4;4,4;99,6;186,6;4656,6;10006,2;"Blue"
"76";"Poppy";"support";17;0,941176470588235;3;6,29411764705882;21;32,6470588235294;3361,23529411765;7021,88235294118;"Blue"
"77";"Pyke";"support";1;0;2;1;24;30;3234;4988;"Blue"
"78";"Rakan";"support";26;0,384615384615385;1,92307692307692;5,73076923076923;18,5384615384615;30,1153846153846;3280,5;6544,38461538462;"Blue"
"79";"Rell";"support";12;0,666666666666667;3,58333333333333;6;21,1666666666667;28,5833333333333;3215,91666666667;6131,16666666667;"Blue"
"80";"Renata";"support";12;0,166666666666667;3,16666666666667;6,41666666666667;21,9166666666667;35,3333333333333;3323,33333333333;6939,16666666667;"Blue"
"81";"Renekton";"mid";1;2;5;5;118;187;4403;9401;"Blue"
"82";"Renekton";"top";10;1,7;2,1;2,8;126,6;239,3;4948,1;10405,7;"Blue"
"83";"Rumble";"top";31;2;2,29032258064516;3,64516129032258;118,161290322581;236,387096774194;4733,12903225806;10536,7096774194;"Blue"
"84";"Ryze";"mid";9;2;2,66666666666667;4,44444444444444;131,888888888889;267,111111111111;5108,77777777778;11463;"Blue"
"85";"Ryze";"top";1;1;1;1;117;263;4951;11308;"Blue"
"86";"Sejuani";"jungle";19;1,42105263157895;2,21052631578947;4,63157894736842;98,3684210526316;177,105263157895;4721,42105263158;9409,84210526316;"Blue"
"87";"Senna";"bottom";1;0;2;6;40;58;4021;6399;"Blue"
"88";"Seraphine";"support";1;0;0;3;23;28;3287;5860;"Blue"
"89";"Shen";"support";3;2;2,66666666666667;5,33333333333333;26,6666666666667;34;3442,66666666667;6400;"Blue"
"90";"Sion";"top";11;1,36363636363636;1,18181818181818;2,54545454545455;115,818181818182;228,545454545455;4627,81818181818;10375,2727272727;"Blue"
"91";"Skarner";"jungle";16;1,6875;2,3125;5,75;101,0625;175,5;4769,3125;9440,25;"Blue"
"92";"Swain";"mid";1;0;4;2;95;172;4137;7165;"Blue"
"93";"Sylas";"mid";14;2,14285714285714;2,35714285714286;3,14285714285714;125,642857142857;256,785714285714;5068,57142857143;11415,1428571429;"Blue"
"94";"Sylas";"top";1;0;3;4;126;205;4703;9107;"Blue"
"95";"Syndra";"mid";1;3;0;6;141;298;4908;13275;"Blue"
