"";"Player";"Role";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end";"Side"
"1";"BFX Clear";"top";15;1,6;2,66666666666667;2,8;113,333333333333;222,866666666667;4624,93333333333;10234,4666666667;"Blue"
"2";"BFX Diable";"bottom";15;2,46666666666667;2,06666666666667;3;127,466666666667;263,866666666667;5135,8;11295,8;"Blue"
"3";"BFX Kellin";"support";15;0,666666666666667;2,86666666666667;5,33333333333333;16,8666666666667;26,2666666666667;3309,86666666667;6506,06666666667;"Blue"
"4";"BFX Raptor";"jungle";15;2,4;2,26666666666667;4,2;101,2;180,333333333333;4775,26666666667;9698,33333333333;"Blue"
"5";"BFX VicLa";"mid";15;2,06666666666667;2,4;3,2;130,666666666667;243,866666666667;4905,4;10660;"Blue"
"6";"BRO Bull";"bottom";2;2;3;5,5;123,5;297,5;4850;13021;"Blue"
"7";"BRO Clozer";"mid";14;2,5;1,14285714285714;2,78571428571429;135,857142857143;281,5;5133,28571428571;11869,5;"Blue"
"8";"BRO Croco";"jungle";2;1;4;5;106;209;4886,5;10087,5;"Blue"
"9";"BRO Ellim";"jungle";2;1;2,5;4,5;115,5;212,5;4755;10604;"Blue"
"10";"BRO HamBak";"jungle";10;1,3;2,7;3,7;98,8;184,4;4662,8;9361,9;"Blue"
"11";"BRO Hype ";"bottom";12;1,83333333333333;1,08333333333333;3;135,333333333333;294,333333333333;5102,5;11738,5;"Blue"
"12";"BRO Morgan";"top";14;1,92857142857143;2,57142857142857;2,42857142857143;118,142857142857;249,642857142857;4739,92857142857;11047,7857142857;"Blue"
"13";"BRO Pollu";"support";14;0,285714285714286;2,57142857142857;5,64285714285714;18,2142857142857;28,2142857142857;3278,92857142857;6661,14285714286;"Blue"
"14";"DK Aiming";"bottom";24;2,75;1,125;3,91666666666667;132,416666666667;276,916666666667;5203,25;12003,5833333333;"Blue"
"15";"DK BeryL";"support";24;0,916666666666667;3,70833333333333;5,29166666666667;24,7083333333333;40,375;3421,79166666667;6943,66666666667;"Blue"
"16";"DK Lucid";"jungle";24;2,375;1,91666666666667;4,95833333333333;100,458333333333;184,625;4845,75;9870;"Blue"
"17";"DK ShowMaker";"mid";24;2,08333333333333;1,83333333333333;4,54166666666667;128,541666666667;249,208333333333;5052,625;10997,5833333333;"Blue"
"18";"DK Siwoo";"top";24;1,58333333333333;1,95833333333333;3;112,666666666667;231,375;4633,79166666667;10334,2916666667;"Blue"
"19";"DNF Berserker";"bottom";11;1,81818181818182;1,18181818181818;2,27272727272727;139,727272727273;262;5461,63636363636;10825,2727272727;"Blue"
"20";"DNF BuLLDoG";"mid";6;1,83333333333333;2,5;2;129,5;237,666666666667;5146,66666666667;10536;"Blue"
"21";"DNF DDoiV";"jungle";1;1;4;2;115;170;4788;7828;"Blue"
"22";"DNF DuDu";"top";11;0,727272727272727;2,54545454545455;2;120,909090909091;230,090909090909;4757,09090909091;9270;"Blue"
"23";"DNF Life";"support";11;0,545454545454545;2,72727272727273;3,90909090909091;20,7272727272727;29,2727272727273;3430,45454545455;6086,81818181818;"Blue"
"24";"DNF Pungyeon";"mid";5;0,6;2,8;2;134,2;240,6;4864,2;9076;"Blue"
"25";"DNF Pyosik";"jungle";10;1,1;1,7;3,6;102,9;174,1;4744,5;8744,7;"Blue"
"26";"DRX Andil";"support";11;0,363636363636364;2,81818181818182;6,81818181818182;21,9090909090909;31,8181818181818;3197,36363636364;6805,81818181818;"Blue"
"27";"DRX LazyFeel";"bottom";8;2,625;2,25;4,125;126,375;287,5;5004,125;12437,75;"Blue"
"28";"DRX Pleata";"support";3;0,333333333333333;3,66666666666667;3,66666666666667;19;30,6666666666667;3328,66666666667;6243;"Blue"
"29";"DRX Rich";"top";14;2,14285714285714;2,07142857142857;2,78571428571429;117,428571428571;230,428571428571;4703,28571428571;10798,7857142857;"Blue"
"30";"DRX Sponge";"jungle";14;1,85714285714286;3,14285714285714;5;100,928571428571;196,5;4798,35714285714;10116,7142857143;"Blue"
"31";"DRX Teddy";"bottom";6;1;1,66666666666667;3,5;126,333333333333;274;4886,33333333333;11029,8333333333;"Blue"
"32";"DRX Ucal";"mid";14;3,07142857142857;1,57142857142857;4;135,071428571429;282,642857142857;5294,71428571429;12483,2857142857;"Blue"
"33";"GEN Canyon";"jungle";20;2,4;1,6;5,15;107,25;201,25;4881,15;10316,5;"Blue"
"34";"GEN Chovy";"mid";20;2,7;1,45;4,65;138,35;270,1;5340,05;11847,15;"Blue"
"35";"GEN Duro";"support";20;0,55;2,3;6,85;14,6;22;3379,4;6650,45;"Blue"
"36";"GEN Kiin";"top";20;2,25;2,65;4,2;112,75;219,75;4773,5;10483,4;"Blue"
"37";"GEN Ruler";"bottom";20;3,2;1,4;4,35;133,55;291,2;5456,1;12659,9;"Blue"
"38";"HLE Delight";"support";23;0,739130434782609;2,8695652173913;7,08695652173913;23,6086956521739;36,8695652173913;3489,34782608696;7232,60869565217;"Blue"
"39";"HLE Peanut";"jungle";23;2;2,60869565217391;6,17391304347826;102,434782608696;196,739130434783;4885,86956521739;10327,0434782609;"Blue"
"40";"HLE Viper";"bottom";23;3,08695652173913;1,91304347826087;4,08695652173913;128,478260869565;279,782608695652;5202,4347826087;12258,3913043478;"Blue"
