"";"Parameter";"Parameter_type";"Role";"Side";"Kills above expected per game";"Deaths above expected per game";"Assists above expected per game";"CSAt15Min above expected per game";"CSAtEnd above expected per game";"GoldAt15Min above expected per game";"GoldAtEnd above expected per game";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end"
"1";"(Intercept)";"(Intercept)";"bottom";"(Intercept)";-2,26258543658345;2,39115474755122;-7,4088518127384;18,9285862635977;-4,51908399245078;634,501102847706;-1914,64233139754;NA;NA;NA;NA;NA;NA;NA;NA
"2";"(Intercept)";"(Intercept)";"jungle";"(Intercept)";-1,07384119902405;4,67354403935097;-4,83884984128166;-22,3719859689509;-37,6339277089682;-1091,23555529491;-297,332354852282;NA;NA;NA;NA;NA;NA;NA;NA
"3";"(Intercept)";"(Intercept)";"mid";"(Intercept)";-1,14750953859854;-0,329572976004389;-0,865363638662699;-1,14927019117421;14,8510715465838;57,1802709933654;301,164599040803;NA;NA;NA;NA;NA;NA;NA;NA
"4";"(Intercept)";"(Intercept)";"support";"(Intercept)";0,373947952583654;-3,02092349996299;3,23663340735442;0,00238222044496919;3,70883824456726;181,704025164801;482,280074795701;NA;NA;NA;NA;NA;NA;NA;NA
"5";"(Intercept)";"(Intercept)";"top";"(Intercept)";1,35071942821731;-0,651360320476724;-0,328844842753383;-21,0729823924017;7,02379493909364;-776,726673217513;-745,627527361002;NA;NA;NA;NA;NA;NA;NA;NA
"6";"Aatrox";"Champion";"top";"Blue";0;0;0;0;0;0;0;6;1,5;2;2,33333333333333;117,166666666667;192,166666666667;4676;8624,66666666667
"7";"Aatrox";"Champion";"top";"Red";0;0;0;0;0;0;0;9;1,88888888888889;2;3,11111111111111;118,111111111111;229,555555555556;4841,11111111111;10454,5555555556
"8";"Ahri";"Champion";"mid";"Blue";0;0;0;0;0;0;0;19;2;1,31578947368421;4,26315789473684;135,263157894737;252;5221,36842105263;10627,3684210526
"9";"Ahri";"Champion";"mid";"Red";0;0;0;0;0;0;0;24;3,375;1,29166666666667;4,875;135,625;259,708333333333;5308,75;11773,7083333333
"10";"Akali";"Champion";"mid";"Blue";3,18166010237555;2,05912982190823;-4,73898573195021;4,2092427954924;10,7079086263685;215,342429621614;1068,4701860946;2;5;1,5;1;131;219;5371,5;9756,5
"11";"Akali";"Champion";"mid";"Red";1,67253339487165;2,20308380119722;-4,74100915030213;11,4147211836733;-35,8117620154944;924,058758951821;-605,958762723278;3;5,66666666666667;1,66666666666667;1,66666666666667;122,333333333333;252,666666666667;5631,33333333333;12539,6666666667
"12";"Alistar";"Champion";"support";"Blue";0;0;0;0;0;0;0;21;0,380952380952381;2,42857142857143;6,33333333333333;18,1428571428571;28,0952380952381;3267,14285714286;6696,71428571429
"13";"Alistar";"Champion";"support";"Red";0;0;0;0;0;0;0;15;0,266666666666667;2,33333333333333;7,26666666666667;17,5333333333333;25,9333333333333;3215,26666666667;6561,13333333333
"14";"Ambessa";"Champion";"mid";"Blue";-2,60240975172327;2,32580616422843;-6,09040580961607;6,26580161058349;-34,8492974458779;-26,1269168770734;-2189,44171279385;4;1,75;2,25;3,5;130;266,5;4790,75;12381,75
"15";"Ambessa";"Champion";"top";"Blue";-0,397002427039156;1,70595915573788;-0,619835496515161;0,626378124841793;-3,66396216595947;47,5279486546169;-32,9170412797414;18;2,11111111111111;2,44444444444444;2,27777777777778;114,222222222222;235,222222222222;4721,66666666667;10493,2222222222
