"";"ChampionID";"Role";"OpposingChampionID";"games_played"
"1";"Aatrox";"mid";"Taliyah";1
"2";"Aatrox";"top";"Ambessa";30
"3";"Aatrox";"top";"Aurora";1
"4";"Aatrox";"top";"Camille";3
"5";"Aatrox";"top";"Chogath";2
"6";"Aatrox";"top";"Darius";1
"7";"Aatrox";"top";"Draven";1
"8";"Aatrox";"top";"Fiora";4
"9";"Aatrox";"top";"Galio";1
"10";"Aatrox";"top";"Garen";1
"11";"Aatrox";"top";"Gnar";19
"12";"Aatrox";"top";"Gragas";8
"13";"Aatrox";"top";"Jax";8
"14";"Aatrox";"top";"Jayce";4
"15";"Aatrox";"top";"KSante";10
"16";"Aatrox";"top";"Kennen";2
"17";"Aatrox";"top";"Malphite";1
"18";"Aatrox";"top";"Nautilus";1
"19";"Aatrox";"top";"Olaf";3
"20";"Aatrox";"top";"Ornn";4
"21";"Aatrox";"top";"Pantheon";1
"22";"Aatrox";"top";"Poppy";1
"23";"Aatrox";"top";"Renekton";25
"24";"Aatrox";"top";"Rumble";22
"25";"Aatrox";"top";"Sett";1
"26";"Aatrox";"top";"Sion";19
"27";"Aatrox";"top";"Udyr";2
"28";"Aatrox";"top";"Vayne";1
"29";"Aatrox";"top";"Yorick";1
"30";"Ahri";"mid";"Akali";5
"31";"Ahri";"mid";"Ambessa";1
"32";"Ahri";"mid";"Anivia";1
"33";"Ahri";"mid";"Annie";2
"34";"Ahri";"mid";"Aurora";24
"35";"Ahri";"mid";"Azir";48
"36";"Ahri";"mid";"Cassiopeia";2
"37";"Ahri";"mid";"Chogath";1
"38";"Ahri";"mid";"Corki";23
"39";"Ahri";"mid";"Galio";17
"40";"Ahri";"mid";"Hwei";10
"41";"Ahri";"mid";"Irelia";3
"42";"Ahri";"mid";"Jayce";7
"43";"Ahri";"mid";"Karma";3
"44";"Ahri";"mid";"Kassadin";1
"45";"Ahri";"mid";"Kayle";1
"46";"Ahri";"mid";"Leblanc";4
"47";"Ahri";"mid";"LeeSin";1
"48";"Ahri";"mid";"Lissandra";3
"49";"Ahri";"mid";"Mel";2
"50";"Ahri";"mid";"Neeko";1
"51";"Ahri";"mid";"Orianna";22
"52";"Ahri";"mid";"Ryze";38
"53";"Ahri";"mid";"Swain";7
"54";"Ahri";"mid";"Sylas";44
"55";"Ahri";"mid";"Syndra";3
"56";"Ahri";"mid";"Taliyah";78
"57";"Ahri";"mid";"Tristana";8
"58";"Ahri";"mid";"Veigar";1
"59";"Ahri";"mid";"Vex";1
"60";"Ahri";"mid";"Viktor";24
"61";"Ahri";"mid";"Vladimir";3
"62";"Ahri";"mid";"Yasuo";1
"63";"Ahri";"mid";"Yone";51
"64";"Ahri";"mid";"Zoe";1
"65";"Akali";"mid";"Ahri";5
"66";"Akali";"mid";"Ambessa";2
"67";"Akali";"mid";"Aurora";12
"68";"Akali";"mid";"Azir";23
"69";"Akali";"mid";"Corki";5
"70";"Akali";"mid";"Galio";5
"71";"Akali";"mid";"Hwei";3
"72";"Akali";"mid";"Irelia";1
"73";"Akali";"mid";"Jayce";3
"74";"Akali";"mid";"Karma";1
"75";"Akali";"mid";"Leblanc";1
"76";"Akali";"mid";"Lissandra";1
"77";"Akali";"mid";"Mel";1
"78";"Akali";"mid";"Neeko";1
"79";"Akali";"mid";"Orianna";15
"80";"Akali";"mid";"Ryze";1
"81";"Akali";"mid";"Sylas";6
"82";"Akali";"mid";"Syndra";6
"83";"Akali";"mid";"Taliyah";11
"84";"Akali";"mid";"Tristana";2
"85";"Akali";"mid";"Vex";1
"86";"Akali";"mid";"Viktor";20
"87";"Akali";"mid";"Vladimir";1
"88";"Akali";"mid";"Yasuo";1
"89";"Akali";"mid";"Yone";30
"90";"Akali";"top";"Gnar";1
"91";"Akali";"top";"Gwen";9
"92";"Akali";"top";"Jax";1
"93";"Akali";"top";"KSante";2
"94";"Akali";"top";"Rumble";2
"95";"Akshan";"mid";"Galio";1
"96";"Alistar";"support";"Bard";7
"97";"Alistar";"support";"Blitzcrank";4
"98";"Alistar";"support";"Braum";32
"99";"Alistar";"support";"Elise";6
"100";"Alistar";"support";"FiddleSticks";3
"101";"Alistar";"support";"Galio";2
"102";"Alistar";"support";"Gragas";4
"103";"Alistar";"support";"Janna";1
"104";"Alistar";"support";"Karma";9
"105";"Alistar";"support";"Leona";76
"106";"Alistar";"support";"Lulu";9
"107";"Alistar";"support";"Lux";1
"108";"Alistar";"support";"Maokai";4
"109";"Alistar";"support";"Milio";1
"110";"Alistar";"support";"Nautilus";89
"111";"Alistar";"support";"Neeko";10
"112";"Alistar";"support";"Pantheon";5
"113";"Alistar";"support";"Poppy";23
"114";"Alistar";"support";"Pyke";6
"115";"Alistar";"support";"Rakan";84
"116";"Alistar";"support";"Rell";163
"117";"Alistar";"support";"Renata";11
"118";"Alistar";"support";"Seraphine";2
"119";"Alistar";"support";"Shen";1
"120";"Alistar";"support";"Soraka";1
"121";"Alistar";"support";"TahmKench";1
"122";"Alistar";"support";"Taric";3
"123";"Alistar";"support";"Yuumi";1
"124";"Ambessa";"jungle";"Kayn";1
"125";"Ambessa";"jungle";"Sejuani";3
"126";"Ambessa";"jungle";"Skarner";2
"127";"Ambessa";"jungle";"Vi";3
"128";"Ambessa";"jungle";"XinZhao";1
"129";"Ambessa";"mid";"Ahri";1
"130";"Ambessa";"mid";"Akali";2
"131";"Ambessa";"mid";"Azir";1
"132";"Ambessa";"mid";"Galio";2
"133";"Ambessa";"mid";"Hwei";1
"134";"Ambessa";"mid";"Lissandra";1
"135";"Ambessa";"mid";"Orianna";4
"136";"Ambessa";"mid";"Renekton";2
"137";"Ambessa";"mid";"Ryze";3
"138";"Ambessa";"mid";"Sylas";1
"139";"Ambessa";"mid";"Viktor";1
"140";"Ambessa";"mid";"Yasuo";1
"141";"Ambessa";"mid";"Yone";12
"142";"Ambessa";"mid";"Zilean";1
"143";"Ambessa";"mid";"Zoe";1
"144";"Ambessa";"top";"Aatrox";30
"145";"Ambessa";"top";"Aurora";3
"146";"Ambessa";"top";"Camille";41
"147";"Ambessa";"top";"Cassiopeia";3
"148";"Ambessa";"top";"Chogath";3
"149";"Ambessa";"top";"Darius";5
"150";"Ambessa";"top";"Fiora";2
"151";"Ambessa";"top";"Gangplank";2
"152";"Ambessa";"top";"Garen";2
"153";"Ambessa";"top";"Gnar";12
"154";"Ambessa";"top";"Gragas";7
"155";"Ambessa";"top";"Gwen";42
"156";"Ambessa";"top";"Irelia";3
"157";"Ambessa";"top";"Jax";33
"158";"Ambessa";"top";"Jayce";112
"159";"Ambessa";"top";"KSante";96
"160";"Ambessa";"top";"Karma";1
"161";"Ambessa";"top";"Kennen";2
"162";"Ambessa";"top";"Maokai";3
"163";"Ambessa";"top";"MonkeyKing";6
"164";"Ambessa";"top";"Nautilus";1
"165";"Ambessa";"top";"Nidalee";3
"166";"Ambessa";"top";"Olaf";3
"167";"Ambessa";"top";"Ornn";6
"168";"Ambessa";"top";"Pantheon";1
"169";"Ambessa";"top";"Poppy";17
"170";"Ambessa";"top";"Renekton";80
"171";"Ambessa";"top";"Rumble";85
"172";"Ambessa";"top";"Ryze";1
"173";"Ambessa";"top";"Sett";3
"174";"Ambessa";"top";"Shen";2
"175";"Ambessa";"top";"Singed";1
"176";"Ambessa";"top";"Sion";29
"177";"Ambessa";"top";"Udyr";4
"178";"Ambessa";"top";"Urgot";1
"179";"Ambessa";"top";"Vex";2
"180";"Ambessa";"top";"Vi";1
"181";"Ambessa";"top";"Volibear";6
"182";"Ambessa";"top";"Warwick";9
"183";"Ambessa";"top";"Yone";1
"184";"Ambessa";"top";"Yorick";2
"185";"Amumu";"jungle";"Belveth";1
"186";"Amumu";"jungle";"Lillia";1
"187";"Amumu";"jungle";"Maokai";1
"188";"Amumu";"jungle";"MonkeyKing";10
"189";"Amumu";"jungle";"Sejuani";1
"190";"Amumu";"jungle";"Skarner";3
"191";"Amumu";"jungle";"Viego";1
"192";"Amumu";"jungle";"XinZhao";1
"193";"Amumu";"jungle";"Zyra";1
"194";"Amumu";"support";"Leona";2
"195";"Amumu";"support";"Rakan";3
