"";"ChampionID";"Role";"games_played";"kills";"deaths";"assists";"cs_at_15_min";"cs_at_end";"gold_at_15_min";"gold_at_end"
"1";"Aatrox";"all";178;2,26404494382022;2,38202247191011;3,48314606741573;108,325842696629;233,14606741573;4482,2191011236;10841,5449438202
"2";"Ahri";"all";442;3,13122171945701;1,61764705882353;5,53619909502262;119,622171945701;251,33257918552;4804,19230769231;11551,9004524887
"3";"Akali";"all";173;4,09248554913295;2,27167630057803;3,19075144508671;113,462427745665;236,485549132948;4727,51445086705;11351,9248554913
"4";"Akshan";"all";1;7;2;1;107;208;5055;12908
"5";"Alistar";"all";559;0,574239713774597;3,06797853309481;7,65831842576029;17,8336314847943;27,8318425760286;3045,02325581395;6810,78890876565
"6";"Ambessa";"all";710;2,62253521126761;2,40985915492958;3,56338028169014;105,018309859155;233,945070422535;4406,47183098592;11052,6732394366
"7";"Amumu";"all";27;1,62962962962963;3,74074074074074;5,88888888888889;71,3703703703704;129,518518518519;4013;8479,07407407407
"8";"Anivia";"all";14;2,07142857142857;2;3,64285714285714;114,285714285714;238,785714285714;4624,07142857143;10953,2142857143
"9";"Annie";"all";19;2,73684210526316;2,57894736842105;5,21052631578947;100,368421052632;185;4524,42105263158;9770,73684210526
"10";"Aphelios";"all";23;3,1304347826087;2,34782608695652;4,1304347826087;107,173913043478;246,086956521739;4662,5652173913;11244,8695652174
"11";"Ashe";"all";318;2,88993710691824;2,22327044025157;5,52830188679245;114,22641509434;249,012578616352;4772,76100628931;11348,5817610063
"12";"AurelionSol";"all";22;4,40909090909091;2,40909090909091;5,13636363636364;108,454545454545;241,590909090909;4555,54545454545;11543,5909090909
"13";"Aurora";"all";400;3,07;2,1025;4,1325;117,315;237,7625;4792,675;11017,71
"14";"Azir";"all";555;2,64684684684685;2,13153153153153;4,03243243243243;122,012612612613;270,055855855856;4754,73153153153;12082,4504504505
"15";"Bard";"all";84;0,821428571428571;2,63095238095238;7,96428571428571;15,7261904761905;30,2380952380952;3271,92857142857;7118,08333333333
"16";"Belveth";"all";12;3,91666666666667;2,5;5,08333333333333;95,5;210,75;4717,91666666667;11104,4166666667
"17";"Blitzcrank";"all";49;0,612244897959184;3,22448979591837;7,71428571428571;16,9591836734694;26,265306122449;3102,10204081633;6566,51020408163
"18";"Brand";"all";23;2,78260869565217;3,34782608695652;4,8695652173913;89,8695652173913;197,565217391304;4344,4347826087;10364,6956521739
"19";"Braum";"all";365;0,361643835616438;2,57260273972603;8,44931506849315;17,9643835616438;27,8767123287671;3137,15342465753;6888,55068493151
"20";"Caitlyn";"all";97;2,7319587628866;1,74226804123711;3,39175257731959;122,60824742268;277,649484536082;5026,22680412371;12262,5257731959
"21";"Camille";"all";122;3,14754098360656;2,5655737704918;3,4344262295082;90,5901639344262;216,05737704918;4128,18852459016;10979,2540983607
"22";"Cassiopeia";"all";33;3,06060606060606;2,24242424242424;4,57575757575758;120,272727272727;238,484848484848;4920,9696969697;11065,2424242424
"23";"Chogath";"all";58;2,51724137931034;2,94827586206897;3,56896551724138;105,913793103448;218,51724137931;4397,91379310345;10414,7586206897
"24";"Corki";"all";694;3,48126801152738;1,98847262247839;4,13832853025937;118,28818443804;273,521613832853;4841,71757925072;12306,4178674352
"25";"Darius";"all";30;4,33333333333333;2,83333333333333;4,43333333333333;95,5666666666667;228,5;4404,4;11718,3333333333
"26";"Diana";"all";18;2,11111111111111;3,33333333333333;5,11111111111111;92,9444444444444;191,777777777778;4401,38888888889;9873,22222222222
"27";"DrMundo";"all";34;2,08823529411765;2,08823529411765;4,35294117647059;86,5588235294118;208,852941176471;4059,44117647059;10381,2352941176
"28";"Draven";"all";46;3,21739130434783;2,17391304347826;3,06521739130435;118,478260869565;246,065217391304;5255,13043478261;11885,8260869565
"29";"Ekko";"all";2;4;2;4;118,5;277;5044,5;12871
"30";"Elise";"all";87;1,95402298850575;3,39080459770115;5,86206896551724;20;36,5172413793103;3568,34482758621;7779,88505747126
"31";"Ezreal";"all";785;3,02292993630573;1,62802547770701;3,99490445859873;115,745222929936;268,484076433121;4709,50828025478;11940,2624203822
"32";"FiddleSticks";"all";15;0,866666666666667;2,6;7,33333333333333;20,7333333333333;39,9333333333333;3245,6;7497,86666666667
"33";"Fiora";"all";32;2,90625;2,4375;2,03125;98,84375;240,34375;4402,625;11668,40625
"34";"Galio";"all";254;1,75984251968504;2,31889763779528;5,72047244094488;105,228346456693;208,826771653543;4452,48031496063;9917,48818897638
"35";"Gangplank";"all";23;2,91304347826087;2,04347826086957;4,08695652173913;109,782608695652;247,565217391304;5004,78260869565;12569,6956521739
"36";"Garen";"all";28;2,89285714285714;2,03571428571429;2,32142857142857;107,535714285714;250,214285714286;4482,82142857143;11641
"37";"Gnar";"all";278;2,2410071942446;2,10791366906475;3,39208633093525;110,190647482014;249,334532374101;4555,3309352518;11609,5467625899
"38";"Gragas";"all";123;1,60975609756098;2,2520325203252;4,56910569105691;92,4959349593496;194,861788617886;4158,86178861789;9623,86178861789
"39";"Graves";"all";2;7,5;3,5;4,5;103;176;5819,5;11525
"40";"Gwen";"all";250;2,852;2,672;3,368;109,208;242,328;4660,416;11614,204
"41";"Hecarim";"all";6;4,16666666666667;2,16666666666667;8,33333333333333;93,1666666666667;226,833333333333;4408,5;11663,1666666667
"42";"Hwei";"all";182;2,91758241758242;2,01648351648352;5,26373626373626;117,928571428571;254,417582417582;4679,12637362637;11833,978021978
"43";"Irelia";"all";24;3,41666666666667;3,91666666666667;2,20833333333333;113,041666666667;239;4869,5;11110,7083333333
"44";"Ivern";"all";104;1,13461538461538;1,82692307692308;8,50961538461539;78,625;162,259615384615;4275,31730769231;9836,5
"45";"Janna";"all";13;0,769230769230769;1,84615384615385;8,84615384615385;16,6923076923077;29,6153846153846;3110,69230769231;6952,84615384615
"46";"JarvanIV";"all";90;2,11111111111111;3,03333333333333;8,52222222222222;88,6111111111111;177,288888888889;4384,03333333333;10051,0444444444
"47";"Jax";"all";275;2,35636363636364;2,32363636363636;2,99636363636364;99,5890909090909;223,567272727273;4399,50545454545;11003,6945454545
"48";"Jayce";"all";549;2,61930783242259;2,52094717668488;3,98178506375228;112,737704918033;252,482695810565;4662,68306010929;11726,9216757741
"49";"Jhin";"all";331;3,66465256797583;1,66163141993958;4,77341389728097;113,725075528701;260,480362537764;4664,28096676737;11909,2749244713
"50";"Jinx";"all";155;3,3741935483871;1,94193548387097;3,91612903225806;115,541935483871;264,651612903226;4828,06451612903;11809,7161290323
"51";"KSante";"all";499;1,8997995991984;1,94589178356713;3,67334669338677;106,509018036072;219,733466933868;4383,03406813627;10301,5130260521
"52";"Kaisa";"all";474;4,25738396624473;1,75738396624473;4,08016877637131;115,660337552743;269,850210970464;4835,21308016878;12547,8924050633
"53";"Kalista";"all";221;3,76018099547511;2,37556561085973;3,6289592760181;116,52036199095;264,076923076923;4921,33484162896;12273,1176470588
"54";"Karma";"all";131;1,16793893129771;2,22137404580153;7,41221374045802;41,030534351145;75,4732824427481;3667,82442748092;8013,41221374046
"55";"Karthus";"all";16;4,0625;3,75;8,5;109,4375;236,25;5479,4375;12212,25
"56";"Kassadin";"all";5;2,6;1,6;1,8;106;244,2;4464,2;11073,8
"57";"Katarina";"all";2;3,5;3,5;3;103,5;199;4605;10394,5
"58";"Kayle";"all";4;2,5;1,5;4,25;118;248;4772,75;11315
"59";"Kayn";"all";7;3;3,28571428571429;3,14285714285714;94,1428571428571;182,714285714286;4543,28571428571;9219,42857142857
"60";"Kennen";"all";24;2,91666666666667;3,41666666666667;4,54166666666667;112,291666666667;216,666666666667;4805,58333333333;10766,625
"61";"Khazix";"all";3;5,33333333333333;1,66666666666667;6,33333333333333;100,333333333333;213,666666666667;5090;11438,6666666667
"62";"Kindred";"all";36;3,11111111111111;2,47222222222222;4,83333333333333;92,25;212,277777777778;4425,19444444444;10838,6944444444
"63";"Kled";"all";3;1;2,33333333333333;2;68,3333333333333;151,333333333333;3541,33333333333;7110
"64";"KogMaw";"all";13;3,53846153846154;2,76923076923077;2,84615384615385;118,923076923077;262,384615384615;4934,38461538462;12204,3076923077
"65";"Leblanc";"all";38;3,65789473684211;2,28947368421053;3,71052631578947;104,789473684211;225,763157894737;4683,57894736842;11284,8421052632
"66";"LeeSin";"all";97;3,08247422680412;2,78350515463918;5,02061855670103;93,5360824742268;190,958762886598;4705,56701030928;10347,3608247423
"67";"Leona";"all";618;0,681229773462783;3,61003236245955;7,30258899676375;19,6731391585761;32,8834951456311;3088,87216828479;6936,66181229773
"68";"Lillia";"all";194;3,14432989690722;2,08762886597938;5,32474226804124;101,613402061856;220,458762886598;4795,01546391753;11143,4432989691
"69";"Lissandra";"all";12;1,83333333333333;2,83333333333333;4,08333333333333;108,333333333333;225,416666666667;4473,08333333333;9938,75
"70";"Lucian";"all";34;3,64705882352941;2,17647058823529;4,64705882352941;120,647058823529;262,529411764706;4978,82352941176;12203,2647058824
"71";"Lulu";"all";108;0,759259259259259;1,91666666666667;8,28703703703704;18,2777777777778;28,1388888888889;3329,33333333333;7006,46296296296
"72";"Lux";"all";11;2,09090909090909;1,54545454545455;4,45454545454545;104,454545454545;227,909090909091;4650,18181818182;11537,3636363636
"73";"Malphite";"all";23;1,52173913043478;1,8695652173913;3,82608695652174;90,695652173913;207,434782608696;3927,73913043478;9719,86956521739
