"";"x"
"1";"100T"
"2";"1M"
"3";"5M"
"4";"7D"
"5";"ACE"
"6";"AFW"
"7";"AL"
"8";"AMI"
"9";"ANB"
"10";"ANC"
"11";"ANK"
"12";"AOMA"
"13";"APM"
"14";"ARA"
"15";"AXL"
"16";"B2TG"
"17";"BAM"
"18";"BAR"
"19";"BCT"
"20";"BDG"
"21";"BDS"
"22";"BDSA"
"23";"BE5"
"24";"BER"
"25";"BFX"
"26";"BGT"
"27";"BIG"
"28";"BJK"
"29";"BKD"
"30";"BKR"
"31";"BLDP"
"32";"BLG"
"33";"BLUE"
"34";"BRO"
"35";"BRT"
"36";"BVL"
"37";"BW"
"38";"BWE"
"39";"C9"
"40";"CBC"
"41";"CCG"
"42";"CFO"
"43";"CFOA"
"44";"CG"
"45";"CGN"
"46";"CHF"
"47";"CK"
"48";"CKZ"
"49";"CNA"
"50";"CNV"
"51";"CRZ"
"52";"CZV"
"53";"DCG"
"54";"DFM"
"55";"DFMA"
"56";"DG"
"57";"DIG"
"58";"DINO"
"59";"DK"
"60";"DM"
"61";"DMG"
"62";"DND"
"63";"DNE"
"64";"DNET"
"65";"DNF"
"66";"DOC"
"67";"DPM"
"68";"DRX"
"69";"DSG"
"70";"DVG"
"71";"DVKM"
"72";"DVX"
"73";"DZ"
"74";"EDG"
"75";"EE"
"76";"EF"
"77";"EINS"
"78";"EIQ"
"79";"EKO"
"80";"ELO"
"81";"ESB"
"82";"ESBA"
"83";"ET"
"84";"EWI"
"85";"EXE"
"86";"F0X"
"87";"FAK"
"88";"FES"
"89";"FLA"
"90";"FLH"
"91";"FLY"
"92";"FMS"
"93";"FNC"
"94";"FOG"
"95";"FPX"
"96";"FSK"
"97";"FTW"
"98";"FUE"
"99";"FUR"
"100";"FVN"
"101";"FX"
"102";"FXW7"
"103";"G2"
"104";"GAM"
"105";"GEN"
"106";"GK"
"107";"GL"
"108";"GLR"
"109";"GMB"
"110";"GNG"
"111";"GOAL"
"112";"GSMC"
"113";"GSNS"
"114";"GTZ"
"115";"GUP"
"116";"GW"
"117";"GX"
"118";"GXP"
"119";"GZ"
"120";"HELL"
"121";"HKUF"
"122";"HLE"
"123";"HOF"
"124";"HPS"
"125";"HRK"
"126";"HRTS"
"127";"HVE"
"128";"ICON"
"129";"IE"
"130";"IG"
"131";"IJC"
"132";"IN5"
"133";"INF"
"134";"ING"
"135";"JDG"
"136";"JL"
"137";"JMGG"
"138";"KAOS"
"139";"KBM"
"140";"KC"
"141";"KCB"
"142";"KCBS"
"143";"KCH"
"144";"KHK"
"145";"KMF"
"146";"KOI"
"147";"KT"
"148";"KYP"
"149";"LDS"
"150";"LEV"
"151";"LG"
"152";"LGD"
"153";"LLS"
"154";"LNG"
"155";"LOS"
"156";"LOUD"
"157";"LPS"
"158";"LR"
"159";"LUA"
"160";"LUP"
"161";"LYON"
"162";"M8"
"163";"MAZ"
"164";"MCK"
"165";"MCON"
"166";"MGZ"
"167";"MIE"
"168";"MISA"
"169";"MKF"
"170";"MKOI"
"171";"MVE"
"172";"MVG"
"173";"MVKE"
"174";"MYTH"
"175";"NA"
"176";"NBS"
"177";"NCP"
"178";"NF"
"179";"NGU"
"180";"NGX"
"181";"NIP"
"182";"NORD"
"183";"NS"
"184";"NT"
"185";"OAE"
"186";"ODD"
"187";"OMG"
"188";"OSC"
"189";"OUAT"
"190";"PAIN"
"191";"PK"
"192";"PLS"
"193";"PXS"
"194";"QTD"
"195";"RATZ"
"196";"RBT"
"197";"RC"
"198";"RED"
"199";"RFS"
"200";"RG"
"201";"RGE"
"202";"RISE"
"203";"RNG"
"204";"ROSS"
"205";"RS"
"206";"S7N"
"207";"SCCP"
"208";"SDM"
"209";"SG"
"210";"SGE"
"211";"SHG"
"212";"SIC"
"213";"SK"
"214";"SLY"
"215";"SN"
"216";"SNSH"
"217";"SPK"
"218";"SQG"
"219";"SR"
"220";"SSE"
"221";"ST1"
"222";"STAR"
"223";"STE"
"224";"SUP"
"225";"T1"
"226";"TES"
"227";"TF"
"228";"TH"
"229";"TL"
"230";"TLN"
"231";"TLNA"
"232";"TML"
"233";"TNI"
"234";"TOG"
"235";"TP"
"236";"TPX"
"237";"TS"
"238";"TSC"
"239";"TSW"
"240";"TT"
"241";"UCAM"
"242";"ULF"
"243";"UNIT"
"244";"UP"
"245";"USE"
"246";"UW"
"247";"V3"
"248";"VEL"
"249";"VER"
"250";"VIT"
"251";"VITB"
"252";"VK"
"253";"VKS"
"254";"VLY"
"255";"VNC"
"256";"VVV"
"257";"WAP"
"258";"WBG"
"259";"WD"
"260";"WE"
"261";"WIN"
"262";"WLG"
"263";"WP"
"264";"WT"
"265";"WU"
"266";"YYG"
"267";"Z10"
"268";"Z5"
"269";"ZENA"
"270";"ZNT"
"271";"ZTA"
"272";"ZZG"
