"";"RedTeamName";"most_common_abbreviation_number_of_occurences";"Abbr_1"
"1";"100 Thieves";55;"100T"
"2";"A One Man Army";55;"AOMA"
"3";"Actions Per Minute";30;"APM"
"4";"aNc Legends";15;"ANC"
"5";"Anubis Gaming";70;"ANB"
"6";"Anyone's Legend";16;"ALKael"
"7";"Anyone's Legend";16;"ALFlandre"
"8";"Anyone's Legend";16;"ALHope"
"9";"Anyone's Legend";16;"ALTarzan"
"10";"Anyone's Legend";16;"ALShanks"
"11";"Apex Mission Impossible";35;"AMI"
"12";"Aurora";40;"ARA"
"13";"Austrian Force willhaben";85;"AFW"
"14";"Axolotl Esports";35;"AXL"
"15";"BAAM Esports";50;"BAM"
"16";"Back2TheGame";65;"B2TG"
"17";"Barça Esports";85;"BAR"
"18";"BBL Dark Passage";50;"BLDP"
"19";"BeFive";50;"BE5"
"20";"Beijing JDG Intel Esports";14;"JDGXun"
"21";"Beijing JDG Intel Esports";14;"JDGScout"
"22";"Beijing JDG Intel Esports";14;"JDGAle"
"23";"Beijing JDG Intel Esports";14;"JDGMISSING"
"24";"Beijing JDG Intel Esports";14;"JDGPeyz"
"25";"Berimbados";5;"FTW"
"26";"Berimbados";5;"BER"
"27";"Berlin International Gaming";115;"BIG"
"28";"Beşiktaş Esports";75;"BJK"
"29";"BILIBILI GAMING DREAMSMART";18;"BLGKnight"
"30";"BILIBILI GAMING DREAMSMART";18;"BLGBin"
"31";"BILIBILI GAMING DREAMSMART";18;"BLGElk"
"32";"BILIBILI GAMING DREAMSMART";18;"BLGON"
"33";"BK ROG Esports";65;"BKR"
"34";"Black dog";5;"BKD"
"35";"Black dog";5;"BVL"
"36";"Blue Otter";25;"BLUE"
"37";"BNK FEARX Youth";80;"BFX"
"38";"BNK FEARX";75;"BFX"
"39";"BoostGate Espor";55;"BGT"
"40";"BraVeLY";25;"BVL"
"41";"BRO Challengers";65;"BRO"
"42";"BRUTE";30;"BRT"
"43";"Bulldog Esports";60;"BDG"
"44";"Burning Core Toyama";55;"BCT"
"45";"Bushido Wildcats";55;"BW"
"46";"BWE Esports";5;"LPS"
"47";"BWE Esports";5;"BWE"
"48";"CCG Esports";30;"CCG"
"49";"CGN Esports";45;"DND"
"50";"CITA Kaizen";20;"CKZ"
"51";"Clocks";15;"CK"
"52";"Cloud9 Kia";45;"C9"
"53";"Colossal Gaming";35;"CG"
"54";"Connect Arena Esports";25;"CNA"
"55";"Conviction";25;"CNV"
"56";"Corinthians E-Sports";30;"SCCP"
"57";"Crusaders";5;"CRZ"
"58";"Crusaders";5;"NF"
"59";"Crvena zvezda Esports";30;"CZV"
"60";"CTBC Flying Oyster Academy";65;"CFOA"
"61";"CTBC Flying Oyster";90;"CFO"
"62";"DarkZero Dragonsteel";20;"DZ"
"63";"Deep Cross Gaming";45;"DCG"
"64";"DeltanGaming";5;"DG"
"65";"DeltanGaming";5;"VLY"
"66";"DetonatioN FocusMe Academy";40;"DFMA"
"67";"DetonatioN FocusMe";55;"DFM"
"68";"devils.one x KMT";45;"DVKM"
"69";"Dignitas";35;"DIG"
"70";"Disguised";40;"DSG"
"71";"Divernex";30;"DVX"
"72";"Diversion Gaming";20;"DVG"
