"";"Abbr_1";"most_common_name_number_of_occurences";"RedTeamName"
"1";"100T";55;"100 Thieves"
"2";"1M";55;"One More Esports "
"3";"5M";5;"ZeroZone Gaming"
"4";"7D";15;"Seven Dark"
"5";"ACE";2;"Malvinas Gaming"
"6";"AFW";85;"Austrian Force willhaben"
"7";"ALFlandre";16;"Anyone's Legend"
"8";"ALHope";16;"Anyone's Legend"
"9";"ALKael";16;"Anyone's Legend"
"10";"ALShanks";16;"Anyone's Legend"
"11";"ALTarzan";16;"Anyone's Legend"
"12";"AMI";35;"Apex Mission Impossible"
"13";"ANB";70;"Anubis Gaming"
"14";"ANC";15;"aNc Legends"
"15";"ANK";5;"Connect Arena Esports"
"16";"AOMA";55;"A One Man Army"
"17";"APM";30;"Actions Per Minute"
"18";"ARA";40;"Aurora"
"19";"AXL";35;"Axolotl Esports"
"20";"B2TG";65;"Back2TheGame"
"21";"BAM";50;"BAAM Esports"
"22";"BAR";85;"Barça Esports"
"23";"BCT";55;"Burning Core Toyama"
"24";"BDG";60;"Bulldog Esports"
"25";"BDS";45;"Team BDS"
"26";"BDSA";10;"Team BDS Academy"
"27";"BDSA";10;"Galions"
"28";"BDSA";10;"BK ROG Esports"
"29";"BE5";50;"BeFive"
"30";"BER";5;"GrowUp Esports"
"31";"BER";5;"Berimbados"
"32";"BFX";80;"BNK FEARX Youth"
"33";"BGT";55;"BoostGate Espor"
"34";"BIG";115;"Berlin International Gaming"
"35";"BJK";75;"Beşiktaş Esports"
"36";"BKD";5;"VeLocitY"
"37";"BKD";5;"REJECT"
"38";"BKD";5;"Black dog"
"39";"BKR";65;"BK ROG Esports"
"40";"BLDP";50;"BBL Dark Passage"
"41";"BLGBeichuan";2;"BILIBILI GAMING DREAMSMART"
"42";"BLGBin";18;"BILIBILI GAMING DREAMSMART"
"43";"BLGElk";18;"BILIBILI GAMING DREAMSMART"
"44";"BLGKnight";18;"BILIBILI GAMING DREAMSMART"
"45";"BLGON";18;"BILIBILI GAMING DREAMSMART"
"46";"BLGWei";16;"BILIBILI GAMING DREAMSMART"
"47";"BLUE";25;"Blue Otter"
"48";"BRO";95;"OKSavingsBank BRION"
"49";"BRT";30;"BRUTE"
"50";"BVL";25;"BraVeLY"
"51";"BW";55;"Bushido Wildcats"
"52";"BWE";5;"Str1ve Esports"
"53";"BWE";5;"BWE Esports"
"54";"C9";45;"Cloud9 Kia"
"55";"CBC";15;"Saigon CyberCore Esports"
"56";"CCG";30;"CCG Esports"
"57";"CFO";90;"CTBC Flying Oyster"
"58";"CFOA";65;"CTBC Flying Oyster Academy"
"59";"CG";35;"Colossal Gaming"
"60";"CGN";20;"CGN Esports"
"61";"CHF";30;"The Chiefs Esports Club"
"62";"CK";15;"Clocks"
"63";"CKZ";20;"CITA Kaizen"
"64";"CNA";25;"Connect Arena Esports"
"65";"CNV";25;"Conviction"
"66";"CRZ";5;"Odivelas Sports Club"
"67";"CRZ";5;"White Dragons"
"68";"CRZ";5;"Crusaders"
"69";"CRZ";5;"HOF Esports"
"70";"CZV";30;"Crvena zvezda Esports"
"71";"DCG";45;"Deep Cross Gaming"
"72";"DFM";55;"DetonatioN FocusMe"
"73";"DFMA";40;"DetonatioN FocusMe Academy"
"74";"DG";10;"QT DIG"
"75";"DIG";35;"Dignitas"
"76";"DINO";35;"Saigon Team Flash"
"77";"DK";100;"Dplus KIA"
"78";"DM";20;"Dream in 24"
"79";"DMG";25;"DMG Esports"
"80";"DND";45;"CGN Esports"
"81";"DNE";25;"Dynamo Eclot"
"82";"DNET";10;"Divernex"
"83";"DNET";10;"Dynamo Eclot Talents"
"84";"DNF";105;"DN FREECS"
"85";"DOC";15;"DOCISK"
"86";"DPM";35;"Dopamina E-Sport"
"87";"DRX";95;"DRX"
"88";"DSG";40;"Disguised"
"89";"DVG";20;"KIA.eSuba Academy"
"90";"DVG";20;"Diversion Gaming"
"91";"DVKM";45;"devils.one x KMT"
"92";"DVX";30;"Divernex"
"93";"DZ";20;"DarkZero Dragonsteel"
"94";"EDGAhn";8;"SHANGHAI EDWARD GAMING HYCAN"
"95";"EDGAngel";14;"SHANGHAI EDWARD GAMING HYCAN"
"96";"EDGAssum";6;"SHANGHAI EDWARD GAMING HYCAN"
"97";"EDGWink";14;"SHANGHAI EDWARD GAMING HYCAN"
"98";"EDGXiaohao";14;"SHANGHAI EDWARD GAMING HYCAN"
"99";"EDGZdz";14;"SHANGHAI EDWARD GAMING HYCAN"
"100";"EE";10;"KIA.eSuba Academy"
"101";"EE";10;"Ethereal Enigmas"
"102";"EF";65;"Eternal Fire"
"103";"EINS";50;"Eintracht Spandau"
"104";"EIQ";35;"Entropiq"
"105";"EKO";20;"EKO Esports"
"106";"EKO";20;"GMBLERS Esports"
"107";"ELO";1;"GOAL"
"108";"ELO";1;"Hell ZeroLag"
"109";"ELO";1;"Gamespace MC"
"110";"ESB";20;"eSuba"
"111";"ESBA";35;"KIA.eSuba Academy"
"112";"ET";15;"Evermeet"
"113";"EWI";65;"E Wie Einfach E-Sports"
"114";"EXE";10;"EXILE Esports"
"115";"F0X";45;"Fox Gaming"
"116";"FAK";50;"FRANK Esports"
"117";"FAK";50;"West Point Esports"
"118";"FES";5;"BeFive"
"119";"FES";5;"Fantastic Esports"
"120";"FLA";25;"FLAMENGO MDL"
"121";"FLH";35;"Flame hard"
"122";"FLY";25;"100 Thieves"
"123";"FLY";25;"FlyQuest"
"124";"FMS";20;"Fajnie Mieć Skład"
"125";"FNC";80;"Fnatic"
"126";"FOG";60;"FOG Esports"
"127";"FPXAssum";12;"FunPlus Phoenix"
"128";"FPXbat";3;"FunPlus Phoenix"
"129";"FPXCare";15;"FunPlus Phoenix"
"130";"FPXJwei";15;"FunPlus Phoenix"
"131";"FPXshad0w";14;"FunPlus Phoenix"
"132";"FPXsheer";15;"FunPlus Phoenix"
"133";"FPXsorrow";1;"FunPlus Phoenix"
"134";"FPXsorrow";1;"Royal Never Give Up"
