"";"Role";"BlueTeamChampion";"RedTeamChampion";"PatchVersion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage";"blue_side_kills_advantage_advantage";"blue_side_deaths_advantage_advantage";"blue_side_assists_advantage_advantage";"blue_side_cs_at_15_min_advantage_advantage";"blue_side_cs_at_end_advantage_advantage";"blue_side_gold_at_15_min_advantage_advantage";"blue_side_gold_at_end_advantage_advantage"
"1";"bottom";"Aphelios";"Ashe";"15.2.653.8382";1;1;6;4;90;234;4029;9717;2;4;7;118;214;5354;11132;-1;2;-3;-28;20;-1325;-1415;-1;2;-3;-28;20;-1325;-1415
"2";"bottom";"Aphelios";"Ashe";"15.8.675.448";1;3;1;1;130;304;5835;12895;5;1;6;142;277;5617;13924;-2;0;-5;-12;27;218;-1029;-2;0;-5;-12;27;218;-1029
"3";"bottom";"Aphelios";"Corki";"15.1.649.4112";1;1;2;0;137;256;5248;9466;0;1;3;130;217;4816;8749;1;1;-3;7;39;432;717;1;1;-3;7;39;432;717
"4";"bottom";"Aphelios";"Ezreal";"15.1.649.4112";1;3;2;5;120;284;5300;12497;3;0;6;125;294;4856;13284;0;2;-1;-5;-10;444;-787;0;2;-1;-5;-10;444;-787
"5";"bottom";"Aphelios";"Ezreal";"15.2.650.9216";1;2;4;0;125;235;5284;9426;7;0;1;128;243;6477;12719;-5;4;-1;-3;-8;-1193;-3293;-5;4;-1;-3;-8;-1193;-3293
"6";"bottom";"Aphelios";"Ezreal";"15.2.653.8382";1;1;5;6;110;232;4441;10911;7;3;10;133;245;5660;14972;-6;2;-4;-23;-13;-1219;-4061;-6;2;-4;-23;-13;-1219;-4061
"7";"bottom";"Aphelios";"Jinx";"15.1.645.7528";1;3;1;3;113;206;4533;9765;1;2;2;143;231;5915;9495;2;-1;1;-30;-25;-1382;270;2;-1;1;-30;-25;-1382;270
"8";"bottom";"Aphelios";"Lucian";"15.8.675.448";1;4;5;3;86;172;5510;9221;3;2;6;122;228;5183;10597;1;3;-3;-36;-56;327;-1376;1;3;-3;-36;-56;327;-1376
"9";"bottom";"Aphelios";"Varus";"15.3.655.330";1;3;3;1;140;275;4875;11582;7;0;7;144;284;5266;13786;-4;3;-6;-4;-9;-391;-2204;-4;3;-6;-4;-9;-391;-2204
"10";"bottom";"Aphelios";"Xayah";"15.1.649.4112";1;1;0;1;85;258;3291;9700;1;0;2;84;254;3226;10276;0;0;-1;1;4;65;-576;0;0;-1;1;4;65;-576
