"";"Role";"BlueTeamChampion";"RedTeamChampion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage"
"1";"bottom";"Aphelios";"Ashe";2;2;3,5;2,5;110;269;4932;11306;3,5;2,5;6,5;130;245,5;5485,5;12528;-1,5;1;-4;-20;23,5;-553,5;-1222
"2";"bottom";"Aphelios";"Corki";1;1;2;0;137;256;5248;9466;0;1;3;130;217;4816;8749;1;1;-3;7;39;432;717
"3";"bottom";"Aphelios";"Ezreal";3;2;3,66666666666667;3,66666666666667;118,333333333333;250,333333333333;5008,33333333333;10944,6666666667;5,66666666666667;1;5,66666666666667;128,666666666667;260,666666666667;5664,33333333333;13658,3333333333;-3,66666666666667;2,66666666666667;-2;-10,3333333333333;-10,3333333333333;-656;-2713,66666666667
"4";"bottom";"Aphelios";"Jinx";1;3;1;3;113;206;4533;9765;1;2;2;143;231;5915;9495;2;-1;1;-30;-25;-1382;270
"5";"bottom";"Aphelios";"Lucian";1;4;5;3;86;172;5510;9221;3;2;6;122;228;5183;10597;1;3;-3;-36;-56;327;-1376
"6";"bottom";"Aphelios";"Varus";1;3;3;1;140;275;4875;11582;7;0;7;144;284;5266;13786;-4;3;-6;-4;-9;-391;-2204
"7";"bottom";"Aphelios";"Xayah";3;2,66666666666667;1;4,66666666666667;106;233,333333333333;4571,33333333333;10988,6666666667;3;2,66666666666667;1,33333333333333;109;250;4375,33333333333;11419;-0,333333333333333;-1,66666666666667;3,33333333333333;-3;-16,6666666666667;196;-430,333333333334
"8";"bottom";"Ashe";"Aphelios";1;1;1;14;78;193;3333;10202;4;5;3;64;192;2932;10094;-3;-4;11;14;1;401;108
"9";"bottom";"Ashe";"Caitlyn";2;4;3;3,5;139;248,5;5595,5;11092;1,5;1,5;4;116,5;247,5;4565,5;10144,5;2,5;1,5;-0,5;22,5;1;1030;947,5
"10";"bottom";"Ashe";"Corki";15;2,33333333333333;2,73333333333333;5,13333333333333;105,4;256,666666666667;4352,33333333333;11489,0666666667;3,46666666666667;1,93333333333333;5,46666666666667;112,733333333333;268,133333333333;4813,06666666667;12409,5333333333;-1,13333333333333;0,8;-0,333333333333333;-7,33333333333333;-11,4666666666666;-460,733333333334;-920,466666666665
"11";"bottom";"Ashe";"Ezreal";19;2,52631578947368;1,31578947368421;5,94736842105263;119,157894736842;264,631578947368;4850,1052631579;11534,2105263158;1,78947368421053;1,84210526315789;3,47368421052632;115,473684210526;256,736842105263;4724,68421052632;10976,4210526316;0,736842105263158;-0,526315789473684;2,47368421052632;3,68421052631579;7,89473684210526;125,421052631579;557,789473684212
"12";"bottom";"Ashe";"Jhin";27;3,7037037037037;2,44444444444444;5,96296296296296;104,481481481481;237,333333333333;4347,88888888889;11077,2222222222;3,03703703703704;1,81481481481481;5,14814814814815;107;244,518518518519;4564,81481481481;11261,8148148148;0,666666666666667;0,62962962962963;0,814814814814815;-2,51851851851852;-7,18518518518516;-216,925925925926;-184,592592592593
"13";"bottom";"Ashe";"Jinx";7;4;2,71428571428571;7,71428571428571;116,571428571429;267,142857142857;5122,71428571429;13117,4285714286;4,14285714285714;2;4,57142857142857;105,714285714286;287,142857142857;4547,71428571429;13609,5714285714;-0,142857142857143;0,714285714285714;3,14285714285714;10,8571428571429;-20;575;-492,142857142859
"14";"bottom";"Ashe";"Kaisa";14;1,78571428571429;2;5,14285714285714;116,857142857143;257,571428571429;4722,35714285714;11042,9285714286;3,71428571428571;1,28571428571429;4,57142857142857;114,357142857143;261,714285714286;4695,71428571429;12114,5714285714;-1,92857142857143;0,714285714285714;0,571428571428572;2,5;-4,14285714285717;26,6428571428578;-1071,64285714286
"15";"bottom";"Ashe";"Kalista";13;4,30769230769231;2,46153846153846;5,92307692307692;115,538461538462;242,307692307692;4868,38461538462;11537,1538461538;4,46153846153846;2,92307692307692;3,84615384615385;116,076923076923;242,692307692308;5325,92307692308;12144,2307692308;-0,153846153846154;-0,461538461538461;2,07692307692308;-0,538461538461547;-0,384615384615358;-457,538461538462;-607,076923076924
"16";"bottom";"Ashe";"MissFortune";22;3,40909090909091;2,04545454545455;5;115,227272727273;238,727272727273;4965,45454545455;11103,4545454545;3,04545454545455;2,09090909090909;3,90909090909091;116;253,136363636364;5037,77272727273;11403,8636363636;0,363636363636364;-0,0454545454545454;1,09090909090909;-0,772727272727266;-14,4090909090909;-72,318181818182;-300,40909090909
"17";"bottom";"Ashe";"Sivir";5;3;1,4;2,4;102,6;220;4393,8;9733,8;2;2;3,4;95;220,4;4208,2;9779,6;1;-0,6;-1;7,59999999999999;-0,400000000000006;185,6;-45,8000000000011
"18";"bottom";"Ashe";"Smolder";1;6;0;9;108;187;4525;9739;0;2;0;113;199;4256;7512;6;-2;9;-5;-12;269;2227
"19";"bottom";"Ashe";"Swain";1;3;1;5;122;287;4473;11814;1;2;6;107;215;4319;9478;2;-1;-1;15;72;154;2336
"20";"bottom";"Ashe";"Tristana";3;5,66666666666667;1,66666666666667;7;119,666666666667;194,666666666667;5553,66666666667;10359,6666666667;2,33333333333333;2;2;92;164,333333333333;4643;8440,66666666667;3,33333333333333;-0,333333333333333;5;27,6666666666667;30,3333333333333;910,666666666667;1919
"21";"bottom";"Ashe";"Varus";24;2,54166666666667;2,125;4,70833333333333;111,583333333333;265,25;4659,33333333333;11693,625;4,875;1,70833333333333;5,16666666666667;114,375;257,833333333333;4844,75;12539,4583333333;-2,33333333333333;0,416666666666667;-0,458333333333334;-2,79166666666667;7,41666666666669;-185,416666666667;-845,833333333334
"22";"bottom";"Ashe";"Xayah";4;1,5;2,5;2;121,75;271;4769,75;11474;1,75;1;3,25;125;279,75;4773,75;12014;-0,25;1,5;-1,25;-3,25;-8,75;-4;-540
"23";"bottom";"Ashe";"Zeri";2;3;1,5;9,5;128,5;270,5;5235,5;13170;2;4;3;134,5;295;5781,5;13056;1;-2,5;6,5;-6;-24,5;-546;114
"24";"bottom";"Ashe";"Ziggs";4;1,75;1;8,25;129,5;271,5;5218,75;11816,25;0,75;1,75;3,75;126,75;264;4954,25;10632,25;1;-0,75;4,5;2,75;7,5;264,5;1184
"25";"bottom";"Brand";"Jhin";1;7;2;5;86;138;4727;8000;1;2;1;79;113;3762;5155;6;0;4;7;25;965;2845
"26";"bottom";"Caitlyn";"Aphelios";1;1;2;1;102;208;4129;7998;7;0;3;96;187;4107;9769;-6;2;-2;6;21;22;-1771
"27";"bottom";"Caitlyn";"Ashe";6;4,16666666666667;1,33333333333333;6,33333333333333;122;249;5851,5;12176,5;1,66666666666667;3,16666666666667;4,66666666666667;110,166666666667;225;4847,5;10283,1666666667;2,5;-1,83333333333333;1,66666666666667;11,8333333333333;24;1004;1893,33333333333
"28";"bottom";"Caitlyn";"Corki";10;2,3;2,1;3,5;120,9;268,4;5062,9;11592,5;3,5;1,4;3,8;115,5;265,8;4714,6;11881,4;-1,2;0,7;-0,3;5,40000000000001;2,59999999999997;348,299999999999;-288,9
"29";"bottom";"Caitlyn";"Draven";2;0;0,5;1;127;199;4719,5;7569,5;3;0,5;1;122;201;5577;9258,5;-3;0;0;5;-2;-857,5;-1689
"30";"bottom";"Caitlyn";"Ezreal";1;3;2;2;104;194;4387;9430;3;1;4;103;183;5253;8571;0;1;-2;1;11;-866;859
"31";"bottom";"Caitlyn";"Jhin";9;2,66666666666667;1,44444444444444;4,22222222222222;135,111111111111;289,222222222222;5290,33333333333;12588,5555555556;3;1;3,44444444444444;128,777777777778;271,111111111111;5207,11111111111;12028,3333333333;-0,333333333333333;0,444444444444444;0,777777777777778;6,33333333333334;18,1111111111111;83,2222222222217;560,222222222221
"32";"bottom";"Caitlyn";"Kaisa";1;2;2;4;131;380;5104;17829;3;1;1;130;478;4702;21624;-1;1;3;1;-98;402;-3795
"33";"bottom";"Caitlyn";"Kalista";6;2,33333333333333;3;3,5;106,166666666667;245,833333333333;4568,5;10956,5;4,16666666666667;2,5;4,5;105,5;239,166666666667;4687,83333333333;11368,3333333333;-1,83333333333333;0,5;-1;0,666666666666671;6,66666666666669;-119,333333333333;-411,833333333334
"34";"bottom";"Caitlyn";"Lucian";1;2;0;3;150;333;5196;14682;3;1;1;123;292;4723;13824;-1;-1;2;27;41;473;858
"35";"bottom";"Caitlyn";"MissFortune";2;4;0,5;3,5;113,5;332,5;4829,5;14368,5;3;1,5;3;98;338;4492,5;14267,5;1;-1;0,5;15,5;-5,5;337;101
"36";"bottom";"Caitlyn";"Sivir";1;6;4;7;107;422;4215;21385;8;4;9;103;481;4205;23061;-2;0;-2;4;-59;10;-1676
