"";"x"
"(Intercept)";-12,3881549078271
"BlueTeamChampionAshe";12,5624146822632
"BlueTeamChampionBrand";17,5465144180998
"BlueTeamChampionCaitlyn";17,9460291420748
"BlueTeamChampionCorki";11,5205752192779
"BlueTeamChampionDraven";6,84771309722109
"BlueTeamChampionEzreal";12,3503849069159
"BlueTeamChampionGalio";-22,4534855818997
"BlueTeamChampionGnar";-23,0755944978895
"BlueTeamChampionHwei";9,95399537753161
"BlueTeamChampionJhin";10,4832068360123
"BlueTeamChampionJinx";10,82815011403
"BlueTeamChampionKaisa";7,94591627174078
"BlueTeamChampionKalista";17,1500377082545
"BlueTeamChampionKogMaw";12,4616353935314
"BlueTeamChampionLeeSin";-1,86881785422903
"BlueTeamChampionLucian";17,5167579201471
"BlueTeamChampionLux";14,0025284697104
"BlueTeamChampionMel";0,812334974589877
"BlueTeamChampionMissFortune";14,1978952150478
"BlueTeamChampionNilah";15,131182145771
"BlueTeamChampionRumble";-12,9974715302901
"BlueTeamChampionSenna";-67,6122992158982
"BlueTeamChampionSeraphine";-3,95202717013651
"BlueTeamChampionSion";13,5146596072448
"BlueTeamChampionSivir";9,40156692621946
"BlueTeamChampionSmolder";9,15496134299822
"BlueTeamChampionSwain";8,95399537753247
"BlueTeamChampionTaliyah";18,3877007841024
"BlueTeamChampionTristana";3,9176992660529
"BlueTeamChampionTwitch";-11,0701389764094
"BlueTeamChampionVarus";14,3173312847378
"BlueTeamChampionVayne";9,27937470785868
"BlueTeamChampionViktor";4,45399537753243
"BlueTeamChampionXayah";12,9133505458809
"BlueTeamChampionYasuo";13,0425887616516
"BlueTeamChampionZeri";12,801604974807
"BlueTeamChampionZiggs";11,049953325245
"BlueTeamChampionZyra";-11,4534855819001
"RedTeamChampionAshe";3,3386842432003
"RedTeamChampionBrand";19,0708236230891
"RedTeamChampionCaitlyn";-2,33263683143637
"RedTeamChampionCassiopeia";-2,96222999908863
"RedTeamChampionCorki";-1,56584046970531
"RedTeamChampionDraven";-6,7117525092078
"RedTeamChampionEzreal";0,683741399732076
"RedTeamChampionHwei";2,40494807181463
"RedTeamChampionJhin";1,84164048972729
"RedTeamChampionJinx";3,27315526818439
"RedTeamChampionKaisa";2,38562643811729
"RedTeamChampionKalista";-0,999545876275567
"RedTeamChampionKogMaw";2,24671355143834
"RedTeamChampionLucian";-2,01271628202578
"RedTeamChampionMel";-1,59239241356442
"RedTeamChampionMissFortune";-2,86363541022034
"RedTeamChampionNilah";4,4136715137645
"RedTeamChampionOrianna";39,0708236230889
"RedTeamChampionOrnn";0,442238636086387
"RedTeamChampionRumble";13,0377700009114
"RedTeamChampionSenna";99,2141884461761
"RedTeamChampionSeraphine";6,32205049324878
"RedTeamChampionSivir";5,54016819861751
"RedTeamChampionSmolder";3,92311343743953
"RedTeamChampionSwain";1,44626749491305
"RedTeamChampionTahmKench";11,1902596927792
"RedTeamChampionTaliyah";3,34831934929465
"RedTeamChampionTristana";6,0125350754977
"RedTeamChampionTwitch";15,6965294543093
"RedTeamChampionVarus";-0,536250594283425
"RedTeamChampionVayne";15,0076230862762
"RedTeamChampionVeigar";-12,9291763769108
"RedTeamChampionVelkoz";-2,96222999908866
"RedTeamChampionXayah";-0,743027237944009
"RedTeamChampionXerath";-28,5295443582259
"RedTeamChampionYasuo";-31,4399952062033
"RedTeamChampionZeri";3,94272523589724
"RedTeamChampionZiggs";0,347740469925533
