"";"x"
"(Intercept)";-12,4752510982242
"BlueTeamChampionAmumu";11,9155319169067
"BlueTeamChampionBelveth";18,4626285033341
"BlueTeamChampionBrand";13,6417122418672
"BlueTeamChampionDarius";29,1524530067497
"BlueTeamChampionDiana";18,9502168854442
"BlueTeamChampionDrMundo";9,9420913755344
"BlueTeamChampionElise";11,466728541048
"BlueTeamChampionGragas";16,4293912258157
"BlueTeamChampionGwen";16,0345595809601
"BlueTeamChampionHecarim";27,7785251058155
"BlueTeamChampionIvern";3,47191525994873
"BlueTeamChampionJarvanIV";12,011786363648
"BlueTeamChampionJax";1,92187578095405
"BlueTeamChampionKarthus";32,8081759308205
"BlueTeamChampionKayn";12,5761216354491
"BlueTeamChampionKhazix";31,2678905913094
"BlueTeamChampionKindred";10,5668526675337
"BlueTeamChampionLeeSin";9,3471037218666
"BlueTeamChampionLillia";17,5117275700657
"BlueTeamChampionMaokai";4,9105884928437
"BlueTeamChampionMasterYi";20,8285851405499
"BlueTeamChampionMonkeyKing";6,35800118131061
"BlueTeamChampionMorgana";10,9157998349148
"BlueTeamChampionNaafiri";14,8666532302165
"BlueTeamChampionNautilus";-10,4803251446558
"BlueTeamChampionNeeko";8,49491847051789
"BlueTeamChampionNidalee";22,1461239050847
"BlueTeamChampionNocturne";15,5245878774158
"BlueTeamChampionNunu";23,9887552056304
"BlueTeamChampionOlaf";17,0149947695079
"BlueTeamChampionPantheon";11,4262018173418
"BlueTeamChampionPoppy";7,05310081502867
"BlueTeamChampionRekSai";-10,4304056762645
"BlueTeamChampionRengar";15,4666114774568
"BlueTeamChampionRumble";19,2469123672046
"BlueTeamChampionSejuani";6,61793105179155
"BlueTeamChampionSion";-12,7292031824222
"BlueTeamChampionSkarner";4,69097838159086
"BlueTeamChampionTaliyah";8,29341683944428
"BlueTeamChampionTrundle";18,9800045719959
"BlueTeamChampionVi";10,834508118238
"BlueTeamChampionViego";16,1060345369865
"BlueTeamChampionVolibear";8,90302653069789
"BlueTeamChampionXinZhao";9,61405710462451
"BlueTeamChampionZac";3,9309108455797
"BlueTeamChampionZed";19,9126729541478
"BlueTeamChampionZyra";21,4377808627499
"RedTeamChampionAmumu";0,567056128712625
"RedTeamChampionBelveth";-14,9428892884645
"RedTeamChampionBrand";-6,73387234860543
"RedTeamChampionDarius";-25,9280906413642
"RedTeamChampionDiana";1,03632027307503
"RedTeamChampionDrMundo";-9,08531027029302
"RedTeamChampionFiddleSticks";7,03747023547478
"RedTeamChampionGraves";-11,79086707894
"RedTeamChampionGwen";-10,353334042322
"RedTeamChampionHecarim";-30,0272140093622
"RedTeamChampionIvern";12,3242092382428
"RedTeamChampionJarvanIV";1,98033262770585
"RedTeamChampionJax";-1,03880600640042
"RedTeamChampionKarthus";-11,7955457193539
"RedTeamChampionKayn";3,62976190742864
"RedTeamChampionKhazix";-12,9625297645259
"RedTeamChampionKindred";-7,9541401275891
"RedTeamChampionLeeSin";3,16332628373747
"RedTeamChampionLillia";-7,67272373456145
"RedTeamChampionMaokai";6,9555762428814
"RedTeamChampionMonkeyKing";4,28191712235405
"RedTeamChampionMordekaiser";-14,215727283367
"RedTeamChampionMorgana";-6,85925702001396
"RedTeamChampionNaafiri";-3,47060357337712
"RedTeamChampionNidalee";-5,73387360519926
"RedTeamChampionNocturne";-2,99136037923302
"RedTeamChampionNunu";5,28799724099468
"RedTeamChampionOlaf";-2,94078177224304
"RedTeamChampionPantheon";3,41637428373444
"RedTeamChampionPoppy";5,15434322276805
"RedTeamChampionRekSai";-3,7567667609244
"RedTeamChampionSejuani";6,03644849027454
"RedTeamChampionShaco";8,86119399359958
"RedTeamChampionShyvana";-2,48717582619817
"RedTeamChampionSkarner";7,38333588985427
"RedTeamChampionTaliyah";4,8556548274723
"RedTeamChampionTrundle";-3,89339403663046
"RedTeamChampionUdyr";-4,04933677919088
"RedTeamChampionVi";1,38217592167204
"RedTeamChampionViego";-4,36140446492098
"RedTeamChampionVolibear";0,693301168513963
"RedTeamChampionXinZhao";2,03138512397713
"RedTeamChampionYorick";-4,39140213199194
"RedTeamChampionZac";9,26816713127781
"RedTeamChampionZed";-38,0364764718421
"RedTeamChampionZyra";-12,7645268500603
