"";"x"
"(Intercept)";24,624788812298
"BlueTeamChampionAkali";-1,04628495266584
"BlueTeamChampionAmbessa";-6,9539329991661
"BlueTeamChampionAnivia";2,26307349279819
"BlueTeamChampionAnnie";-6,71386533034691
"BlueTeamChampionAurelionSol";-10,700643754563
"BlueTeamChampionAurora";-0,0699624215874827
"BlueTeamChampionAzir";-0,695573180149995
"BlueTeamChampionCaitlyn";8,3676188610209
"BlueTeamChampionCassiopeia";-2,50312971859661
"BlueTeamChampionChogath";-5,5228473895796
"BlueTeamChampionCorki";4,76439960714978
"BlueTeamChampionEkko";-26,0437253548951
"BlueTeamChampionEzreal";-27,0437253548937
"BlueTeamChampionFiora";-2,34617748580491
"BlueTeamChampionGalio";-10,649540010686
"BlueTeamChampionGragas";-7,79198579651731
"BlueTeamChampionHwei";2,09199815039119
"BlueTeamChampionIrelia";-4,46263574844125
"BlueTeamChampionJayce";1,37374233669832
"BlueTeamChampionKaisa";27,367618861023
"BlueTeamChampionKarma";4,62037757963352
"BlueTeamChampionKassadin";-10,1672748031162
"BlueTeamChampionKatarina";-35,0437253548966
"BlueTeamChampionKayle";-2,43817726728516
"BlueTeamChampionKogMaw";13,3587036260387
"BlueTeamChampionKSante";-30,3043468894554
"BlueTeamChampionLeblanc";11,9115255822765
"BlueTeamChampionLeeSin";9,1381315763616
"BlueTeamChampionLissandra";-4,81956496156467
"BlueTeamChampionLucian";6,80327152760695
"BlueTeamChampionLux";8,46930457773455
"BlueTeamChampionMel";4,15856566670136
"BlueTeamChampionMissFortune";8,0676989820966
"BlueTeamChampionNaafiri";-3,70097830428934
"BlueTeamChampionNeeko";-2,96382609217875
"BlueTeamChampionOrianna";5,70817911592915
"BlueTeamChampionOrnn";-5,55327879868561
"BlueTeamChampionPantheon";-16,8220294081734
"BlueTeamChampionRenekton";-5,49717765307723
"BlueTeamChampionRumble";-2,62478881229944
"BlueTeamChampionRyze";1,19211249740749
"BlueTeamChampionSett";-23,5649684240176
"BlueTeamChampionSion";7,70700349373759
"BlueTeamChampionSmolder";-3,3713167101438
"BlueTeamChampionSwain";-9,69515932558766
"BlueTeamChampionSylas";-8,71476775840378
"BlueTeamChampionSyndra";4,44035241944316
"BlueTeamChampionTaliyah";-2,62478881229736
"BlueTeamChampionTristana";-1,27833352253879
"BlueTeamChampionTryndamere";4,34444974137168
"BlueTeamChampionTwistedFate";-1,82572290861783
"BlueTeamChampionVarus";5,67386046151328
"BlueTeamChampionVeigar";1,41352260678169
"BlueTeamChampionVelkoz";7,77773513296091
"BlueTeamChampionVex";-8,85776842503845
"BlueTeamChampionViktor";3,9019241643589
"BlueTeamChampionVladimir";-7,3213640550655
"BlueTeamChampionXerath";-6,98170307634532
"BlueTeamChampionYasuo";6,66089959560564
"BlueTeamChampionYone";-2,04261206620392
"BlueTeamChampionZed";-5,53693161863372
"BlueTeamChampionZiggs";1,57392777107669
"BlueTeamChampionZilean";-6,04606587399484
"BlueTeamChampionZoe";-5,95886167815372
"RedTeamChampionAhri";-24,1866115450111
"RedTeamChampionAkali";-24,0555549737662
"RedTeamChampionAkshan";-27,9752488016118
"RedTeamChampionAmbessa";-24,7075004456168
"RedTeamChampionAnivia";-26,1668038679068
"RedTeamChampionAnnie";-25,6598657808453
"RedTeamChampionAurelionSol";-2,87428803791964
"RedTeamChampionAurora";-24,9238105080071
"RedTeamChampionAzir";-26,6217018789376
"RedTeamChampionCassiopeia";-32,4877059760564
"RedTeamChampionChogath";-20,8529874501939
"RedTeamChampionCorki";-27,9924076733191
"RedTeamChampionDiana";-13,8169013097055
"RedTeamChampionEkko";-20,9292156321479
"RedTeamChampionEzreal";-25,3736262228698
"RedTeamChampionGalio";-18,2786113264935
"RedTeamChampionGragas";-4,35374976836742
"RedTeamChampionHwei";-28,0977504030854
"RedTeamChampionIrelia";-47,6247888122982
"RedTeamChampionJayce";-27,386994705066
"RedTeamChampionKarma";-22,5936843191049
"RedTeamChampionKatarina";-21,582176746094
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";-21,4021566383661
"RedTeamChampionLeeSin";-14,4856220510281
"RedTeamChampionLissandra";-17,9993033025431
"RedTeamChampionLucian";-26,8169013097055
"RedTeamChampionLux";-20,0127084094269
"RedTeamChampionMel";-25,2257655266193
"RedTeamChampionNaafiri";-30,6207092915402
"RedTeamChampionNasus";-5,58217674609402
"RedTeamChampionOrianna";-29,0715100136112
"RedTeamChampionPantheon";-10,4955470599516
"RedTeamChampionRyze";-24,6924877943943
"RedTeamChampionSett";-21,3891884194479
"RedTeamChampionSion";-7,7420210114287
"RedTeamChampionSmolder";-19,668335602858
"RedTeamChampionSwain";-26,8000215844307
"RedTeamChampionSylas";-17,2886374358135
"RedTeamChampionSyndra";-29,5810634574022
"RedTeamChampionTaliyah";-22,0383114190796
"RedTeamChampionTristana";-24,9187540799451
"RedTeamChampionTryndamere";-21,6304804556153
"RedTeamChampionVeigar";-22,386159028231
"RedTeamChampionVelkoz";-19,3076985122294
"RedTeamChampionVex";-24,7324237223022
"RedTeamChampionViego";-36,8466877664465
"RedTeamChampionViktor";-26,2986492738117
"RedTeamChampionVladimir";-21,9114805312395
"RedTeamChampionXerath";-23,4192460693352
"RedTeamChampionYasuo";-28,469258735197
"RedTeamChampionYone";-23,0598203882803
"RedTeamChampionZed";-27,0000000000006
"RedTeamChampionZeri";-15,3891884194482
"RedTeamChampionZiggs";-17,9376048046145
"RedTeamChampionZilean";4,40121560510533
"RedTeamChampionZoe";-36,104234730904
