"";"x"
"(Intercept)";0,755394391244341
"BlueTeamChampionAmumu";-1,91048276458042
"BlueTeamChampionAnnie";4,09593838035377
"BlueTeamChampionAshe";-2,3654086221675
"BlueTeamChampionBard";-4,24383433483376
"BlueTeamChampionBlitzcrank";-2,93014989506601
"BlueTeamChampionBraum";-0,358651329448113
"BlueTeamChampionCamille";3,03833292082024
"BlueTeamChampionChogath";84,6345913778255
"BlueTeamChampionElise";-1,54724451992579
"BlueTeamChampionFiddleSticks";-3,88242605949026
"BlueTeamChampionGalio";4,19065357140747
"BlueTeamChampionGragas";-1,96762355474791
"BlueTeamChampionHwei";0,858811716790094
"BlueTeamChampionJanna";-3,19705210001661
"BlueTeamChampionKarma";-1,73392472592826
"BlueTeamChampionLeblanc";1,52451674377469
"BlueTeamChampionLeeSin";4,62859934605356
"BlueTeamChampionLeona";1,33112164119265
"BlueTeamChampionLulu";-2,32298589847646
"BlueTeamChampionLux";-11,0962745708605
"BlueTeamChampionMaokai";-1,4834783282683
"BlueTeamChampionMilio";2,96003512115232
"BlueTeamChampionMonkeyKing";5,16465538537278
"BlueTeamChampionMorgana";-3,84952768113087
"BlueTeamChampionNami";-2,23682609848129
"BlueTeamChampionNautilus";1,37662626483808
"BlueTeamChampionNeeko";-0,550432617115107
"BlueTeamChampionPantheon";-1,51663033821736
"BlueTeamChampionPoppy";0,604073497601354
"BlueTeamChampionPyke";-1,42431812100615
"BlueTeamChampionRakan";1,19693697845228
"BlueTeamChampionRell";1,19670569423409
"BlueTeamChampionRenata";-0,0100557051976197
"BlueTeamChampionSejuani";-3,39208188175504
"BlueTeamChampionSenna";-1,57371525865285
"BlueTeamChampionSeraphine";0,37390617297035
"BlueTeamChampionSett";11,8588117167894
"BlueTeamChampionShen";3,27947850685474
"BlueTeamChampionSona";-6,97143784803018
"BlueTeamChampionSoraka";-2,69741362048072
"BlueTeamChampionTahmKench";0,725875253024985
"BlueTeamChampionTaric";5,12385549732797
"BlueTeamChampionThresh";1,3820199926213
"BlueTeamChampionVeigar";1,37136769628311
"BlueTeamChampionYuumi";-0,916230539886605
"BlueTeamChampionZac";-2,95446371726692
"BlueTeamChampionZilean";5,13892419752349
"BlueTeamChampionZyra";-1,36540862216774
"RedTeamChampionAmumu";-2,37907578855751
"RedTeamChampionAnnie";-0,208149871318465
"RedTeamChampionAshe";7,25466131395317
"RedTeamChampionBard";2,42409654433165
"RedTeamChampionBlitzcrank";2,12467319655521
"RedTeamChampionBraum";0,705118559754517
"RedTeamChampionCamille";5,81702541583123
"RedTeamChampionElise";0,391034303354991
"RedTeamChampionFiddleSticks";3,98530594824688
"RedTeamChampionGalio";-4,16757881109347
"RedTeamChampionGragas";-1,17851387624061
"RedTeamChampionJanna";-2,41091720390965
"RedTeamChampionKarma";0,616006262702311
"RedTeamChampionKennen";6,25466131395322
"RedTeamChampionLeblanc";9,04766863030341
"RedTeamChampionLeona";-1,90586671011367
"RedTeamChampionLulu";-0,707446370902429
"RedTeamChampionLux";-11,7553943912441
"RedTeamChampionMaokai";-1,92004977661731
"RedTeamChampionMel";3,0476686303033
"RedTeamChampionMilio";-0,411671016539802
"RedTeamChampionNami";-2,65911982038411
"RedTeamChampionNautilus";-2,12676208752751
"RedTeamChampionNeeko";0,63668749051084
"RedTeamChampionNidalee";21,5675915072321
"RedTeamChampionOrnn";-85,0420603707803
"RedTeamChampionPantheon";-1,27991113501911
"RedTeamChampionPoppy";-1,20327395460953
"RedTeamChampionPyke";-0,575840361335523
"RedTeamChampionRakan";-1,78395654321421
"RedTeamChampionRell";-1,61420610803441
"RedTeamChampionRenata";0,610014230923307
"RedTeamChampionSenna";-0,0816447644668419
"RedTeamChampionSeraphine";-1,4331663748527
"RedTeamChampionShen";-3,79372731206424
"RedTeamChampionSoraka";4,24827531665535
"RedTeamChampionTahmKench";2,5518260457183
"RedTeamChampionTaric";-7,69570200303553
"RedTeamChampionThresh";-1,49370447365242
"RedTeamChampionYuumi";4,06736985851755
"RedTeamChampionZac";-4,32529447442277
"RedTeamChampionZilean";-2,59158229512888
"RedTeamChampionZyra";0,0476686303034108
