"";"x"
"(Intercept)";-22,5406438067998
"BlueTeamChampionAshe";2,00779687638567
"BlueTeamChampionBrand";22,8939739825951
"BlueTeamChampionCaitlyn";9,43745737270896
"BlueTeamChampionCorki";7,38916139642665
"BlueTeamChampionDraven";-4,59639912674416
"BlueTeamChampionEzreal";3,22602389648801
"BlueTeamChampionGalio";-115,106026017408
"BlueTeamChampionGnar";-19,5360682926159
"BlueTeamChampionHwei";10,6489705655403
"BlueTeamChampionJhin";2,65744584511031
"BlueTeamChampionJinx";14,7314457465641
"BlueTeamChampionKaisa";6,94905000069339
"BlueTeamChampionKalista";5,99724260927127
"BlueTeamChampionKogMaw";-52,5325484016529
"BlueTeamChampionLeeSin";-11,9567278821453
"BlueTeamChampionLucian";16,9311140615404
"BlueTeamChampionLux";18,940430740871
"BlueTeamChampionMel";-28,8697008791472
"BlueTeamChampionMissFortune";13,1098128043943
"BlueTeamChampionNilah";47,0432721178545
"BlueTeamChampionRumble";-49,0595692591301
"BlueTeamChampionSenna";-156,861190109375
"BlueTeamChampionSeraphine";-25,2627430458906
"BlueTeamChampionSion";-9,73619280843943
"BlueTeamChampionSivir";13,91541556888
"BlueTeamChampionSmolder";20,9979285189786
"BlueTeamChampionSwain";7,64897056554272
"BlueTeamChampionTaliyah";22,1388098906285
"BlueTeamChampionTristana";4,31481208036672
"BlueTeamChampionTwitch";-21,4382329604918
"BlueTeamChampionVarus";-0,100545018274893
"BlueTeamChampionVayne";-4,38822094869532
"BlueTeamChampionViktor";-26,8510294344575
"BlueTeamChampionXayah";15,1811144683073
"BlueTeamChampionYasuo";18,8461213416969
"BlueTeamChampionZeri";29,8071537816325
"BlueTeamChampionZiggs";-3,15451580656583
"BlueTeamChampionZyra";-59,106026017407
"RedTeamChampionAshe";27,3452137467377
"RedTeamChampionBrand";59,6411888250736
"RedTeamChampionCaitlyn";7,97153351585018
"RedTeamChampionCassiopeia";38,3146199103112
"RedTeamChampionCorki";11,8916732412574
"RedTeamChampionDraven";11,869889627264
"RedTeamChampionEzreal";21,689009511611
"RedTeamChampionHwei";31,3831979616893
"RedTeamChampionJhin";24,6466698242067
"RedTeamChampionJinx";9,3805928698122
"RedTeamChampionKaisa";15,6002130659285
"RedTeamChampionKalista";18,4018339161715
"RedTeamChampionKogMaw";35,1638371010035
"RedTeamChampionLucian";3,88917637597669
"RedTeamChampionMel";25,5828895397365
"RedTeamChampionMissFortune";7,34736829417413
"RedTeamChampionNilah";106,966298689829
"RedTeamChampionOrianna";88,6411888250742
"RedTeamChampionOrnn";33,5915938061062
"RedTeamChampionRumble";57,3146199103117
"RedTeamChampionSenna";237,487116099967
"RedTeamChampionSeraphine";42,7062664338873
"RedTeamChampionSivir";5,77533568880602
"RedTeamChampionSmolder";19,6364273726625
"RedTeamChampionSwain";62,5885431871982
"RedTeamChampionTahmKench";89,4308310024058
"RedTeamChampionTaliyah";29,259481384914
"RedTeamChampionTristana";16,7247017004642
"RedTeamChampionTwitch";27,2878286112383
"RedTeamChampionVarus";27,0767120994149
"RedTeamChampionVayne";48,7482861360179
"RedTeamChampionVeigar";47,6411888250743
"RedTeamChampionVelkoz";38,3146199103122
"RedTeamChampionXayah";4,49737168894631
"RedTeamChampionXerath";-35,7741682735672
"RedTeamChampionYasuo";-6,69080193976529
"RedTeamChampionZeri";7,71127225068196
"RedTeamChampionZiggs";26,513878205258
