"";"x"
"(Intercept)";58,7593041101439
"BlueTeamChampionAkali";-4,97235665358967
"BlueTeamChampionAmbessa";-9,65979863241102
"BlueTeamChampionAnivia";-2,63017328127703
"BlueTeamChampionAnnie";-12,8299820202896
"BlueTeamChampionAurelionSol";-2,59686607895348
"BlueTeamChampionAurora";-3,18897470202347
"BlueTeamChampionAzir";11,544041450999
"BlueTeamChampionCaitlyn";18,655603124513
"BlueTeamChampionCassiopeia";8,9353298628277
"BlueTeamChampionChogath";-11,878985827921
"BlueTeamChampionCorki";19,3489744210572
"BlueTeamChampionEkko";-10,5888269264659
"BlueTeamChampionEzreal";-19,5888269264573
"BlueTeamChampionFiora";43,0563387860565
"BlueTeamChampionGalio";-20,0906882592129
"BlueTeamChampionGragas";-17,9748568094896
"BlueTeamChampionHwei";-6,44089384193498
"BlueTeamChampionIrelia";10,1600467900721
"BlueTeamChampionJayce";9,83931713274556
"BlueTeamChampionKaisa";75,6556031245211
"BlueTeamChampionKarma";-4,01270537482252
"BlueTeamChampionKassadin";2,94894601713849
"BlueTeamChampionKatarina";-95,5888269264685
"BlueTeamChampionKayle";-5,81839637097735
"BlueTeamChampionKogMaw";14,889397955082
"BlueTeamChampionKSante";-27,006094191462
"BlueTeamChampionLeblanc";17,1048196268141
"BlueTeamChampionLeeSin";2,18399684254717
"BlueTeamChampionLissandra";-6,14293436460412
"BlueTeamChampionLucian";14,1626107581173
"BlueTeamChampionLux";-21,0478226778111
"BlueTeamChampionMel";0,49794986768367
"BlueTeamChampionMissFortune";25,0265706850493
"BlueTeamChampionNaafiri";13,963647636336
"BlueTeamChampionNeeko";-3,70158871829876
"BlueTeamChampionOrianna";6,11830185693959
"BlueTeamChampionOrnn";-5,67739416976236
"BlueTeamChampionPantheon";-30,2154786036971
"BlueTeamChampionRenekton";-2,47446463709685
"BlueTeamChampionRumble";-99,7593041101484
"BlueTeamChampionRyze";9,0312566278728
"BlueTeamChampionSett";-36,4233614564609
"BlueTeamChampionSion";2,87045911015999
"BlueTeamChampionSmolder";13,4484830753875
"BlueTeamChampionSwain";-20,8314619619552
"BlueTeamChampionSylas";-13,0109645774806
"BlueTeamChampionSyndra";5,64406750393354
"BlueTeamChampionTaliyah";1,24069588986302
"BlueTeamChampionTristana";9,24221420917637
"BlueTeamChampionTryndamere";22,5925597267953
"BlueTeamChampionTwistedFate";-4,51282865088578
"BlueTeamChampionVarus";9,31624578669878
"BlueTeamChampionVeigar";-29,1022958453119
"BlueTeamChampionVelkoz";-16,1326803637748
"BlueTeamChampionVex";-5,42524606872207
"BlueTeamChampionViktor";3,48327993552446
"BlueTeamChampionVladimir";-1,63886520197293
"BlueTeamChampionXerath";-17,6718998978789
"BlueTeamChampionYasuo";22,2138790787003
"BlueTeamChampionYone";17,2388497086848
"BlueTeamChampionZed";-16,4206027917154
"BlueTeamChampionZiggs";-5,35343347859675
"BlueTeamChampionZilean";-32,4569708495518
"BlueTeamChampionZoe";0,362940422438108
"RedTeamChampionAhri";-59,9409077391617
"RedTeamChampionAkali";-54,4043345876432
"RedTeamChampionAkshan";-115,668615850929
"RedTeamChampionAmbessa";-67,2944530669037
"RedTeamChampionAnivia";-67,2728523413353
"RedTeamChampionAnnie";-42,8880847776735
"RedTeamChampionAurelionSol";-40,0074665866561
"RedTeamChampionAurora";-53,722951746476
"RedTeamChampionAzir";-71,2798013198645
"RedTeamChampionCassiopeia";-69,7181833788779
"RedTeamChampionChogath";-43,1628512495553
"RedTeamChampionCorki";-78,414907234657
"RedTeamChampionDiana";-36,7905607380165
"RedTeamChampionEkko";-108,303345561142
"RedTeamChampionEzreal";-45,5889678270113
"RedTeamChampionGalio";-40,8156428962034
"RedTeamChampionGragas";-14,2098460045099
"RedTeamChampionHwei";-56,1409530338969
"RedTeamChampionIrelia";-97,7593041101444
"RedTeamChampionJayce";-62,7532517051011
"RedTeamChampionKarma";-33,6375652654655
"RedTeamChampionKatarina";-84,9981538188287
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";-57,7410341673884
"RedTeamChampionLeeSin";-8,8804112147316
"RedTeamChampionLissandra";-44,8240388512591
"RedTeamChampionLucian";-29,7905607380166
"RedTeamChampionLux";-61,6115346758418
"RedTeamChampionMel";-59,2886122917138
"RedTeamChampionNaafiri";-39,6364431680477
"RedTeamChampionNasus";-32,9981538188286
"RedTeamChampionOrianna";-60,0819099403796
"RedTeamChampionPantheon";-18,656705076968
"RedTeamChampionRyze";-73,785874795192
"RedTeamChampionSett";-67,1082785312015
"RedTeamChampionSion";-18,4368374846307
"RedTeamChampionSmolder";-82,2218542335928
"RedTeamChampionSwain";-67,0340543301418
"RedTeamChampionSylas";-50,9595912119722
"RedTeamChampionSyndra";-66,1704771836773
"RedTeamChampionTaliyah";-58,6570082648316
"RedTeamChampionTristana";-74,5752731312427
"RedTeamChampionTryndamere";-98,1752879828824
"RedTeamChampionVeigar";-39,9560917054569
"RedTeamChampionVelkoz";-37,9319603297007
"RedTeamChampionVex";-41,1593344703918
"RedTeamChampionViego";-75,0027967552443
"RedTeamChampionViktor";-60,0755498968436
"RedTeamChampionVladimir";-36,9666543087946
"RedTeamChampionXerath";-44,434348620738
"RedTeamChampionYasuo";-71,9510680867988
"RedTeamChampionYone";-73,335942653683
"RedTeamChampionZed";-81,0000000000068
"RedTeamChampionZeri";-60,1082785312022
"RedTeamChampionZiggs";-27,2607742842874
"RedTeamChampionZilean";-0,171044761701345
"RedTeamChampionZoe";-69,3046201747747
