"";"x"
"(Intercept)";2,90108530232697
"BlueTeamChampionAkali";6,09309086071199
"BlueTeamChampionAmbessa";0,942384819646367
"BlueTeamChampionAnivia";21,3136539077061
"BlueTeamChampionAurora";9,11507552733093
"BlueTeamChampionAzir";66,0673764871849
"BlueTeamChampionCamille";4,01882418243057
"BlueTeamChampionCassiopeia";7,14237727119019
"BlueTeamChampionChogath";-13,0589444255316
"BlueTeamChampionCorki";9,92019523859129
"BlueTeamChampionDarius";-2,86927691877848
"BlueTeamChampionDiana";-27,9326235128124
"BlueTeamChampionDraven";1,10028200332059
"BlueTeamChampionDrMundo";16,5196272777273
"BlueTeamChampionFiora";17,2171219756378
"BlueTeamChampionGalio";-14,7833852383428
"BlueTeamChampionGangplank";13,9403990755785
"BlueTeamChampionGaren";17,0733581223192
"BlueTeamChampionGnar";12,1030166146184
"BlueTeamChampionGragas";-9,54485975070225
"BlueTeamChampionGwen";9,18741120395605
"BlueTeamChampionIrelia";39,888690081454
"BlueTeamChampionJax";-3,61086694814227
"BlueTeamChampionJayce";17,1359377016937
"BlueTeamChampionKaisa";60,922856338035
"BlueTeamChampionKalista";0,0777630620394694
"BlueTeamChampionKarma";-11,2576530378405
"BlueTeamChampionKayle";-0,413784840995674
"BlueTeamChampionKayn";-36,4189781284234
"BlueTeamChampionKennen";17,8930358817394
"BlueTeamChampionKled";-28,7188255338198
"BlueTeamChampionKSante";-12,3235780952445
"BlueTeamChampionLeblanc";58,0673764871872
"BlueTeamChampionMalphite";-35,2571976295973
"BlueTeamChampionMaokai";-34,5940582229105
"BlueTeamChampionMissFortune";18,346133349229
"BlueTeamChampionMonkeyKing";-1,82369552432644
"BlueTeamChampionMordekaiser";0,0228639392829875
"BlueTeamChampionNaafiri";61,1531296015212
"BlueTeamChampionNasus";-19,7188255338197
"BlueTeamChampionNautilus";-53,7664849494129
"BlueTeamChampionNeeko";-45,077143661968
"BlueTeamChampionNidalee";19,7915820587055
"BlueTeamChampionOlaf";9,82065053997755
"BlueTeamChampionOrnn";-26,519897738402
"BlueTeamChampionPantheon";18,3179929897017
"BlueTeamChampionPoppy";-21,7342607578371
"BlueTeamChampionQuinn";52,1371891175767
"BlueTeamChampionRenekton";9,5215088457984
"BlueTeamChampionRiven";-35,9326235128137
"BlueTeamChampionRumble";-2,97273784464625
"BlueTeamChampionRyze";31,7825777672373
"BlueTeamChampionSejuani";-25,3979845978933
"BlueTeamChampionSett";12,7946281462855
"BlueTeamChampionShen";-9,37947604874734
"BlueTeamChampionSinged";0,587036946079066
"BlueTeamChampionSion";-9,99401545887613
"BlueTeamChampionSmolder";46,0862151590043
"BlueTeamChampionSwain";-0,922236937960557
"BlueTeamChampionSylas";-10,329804761408
"BlueTeamChampionTrundle";33,8215798962407
"BlueTeamChampionTryndamere";51,9370582930424
"BlueTeamChampionUdyr";-18,002210938318
"BlueTeamChampionUrgot";4,93743236298346
"BlueTeamChampionVarus";33,4085070188422
"BlueTeamChampionVayne";-17,5054127481344
"BlueTeamChampionVex";27,5870369460798
"BlueTeamChampionVi";-23,0771436619661
"BlueTeamChampionVladimir";19,5518249701612
"BlueTeamChampionVolibear";13,9261272902994
"BlueTeamChampionWarwick";-3,89014884560236
"BlueTeamChampionXerath";-31,9222369379615
"BlueTeamChampionYasuo";15,0859422275757
"BlueTeamChampionYone";33,1693345553231
"BlueTeamChampionYorick";19,0286513521759
"BlueTeamChampionZac";-44,5412308215939
"RedTeamChampionAkali";-24,5775072070825
