"";"x"
"(Intercept)";-514,281600042135
"BlueTeamChampionAshe";268,328160049156
"BlueTeamChampionBrand";1197,92779556582
"BlueTeamChampionCaitlyn";481,042352511004
"BlueTeamChampionCorki";310,741381884712
"BlueTeamChampionDraven";208,776732675728
"BlueTeamChampionEzreal";230,22535328433
"BlueTeamChampionGalio";-937,072204434189
"BlueTeamChampionGnar";-471,785925979488
"BlueTeamChampionHwei";389,135241843451
"BlueTeamChampionJhin";261,522897131572
"BlueTeamChampionJinx";146,484581862741
"BlueTeamChampionKaisa";191,070365896668
"BlueTeamChampionKalista";470,077304773227
"BlueTeamChampionKogMaw";563,622547418164
"BlueTeamChampionLeeSin";-422,124791349284
"BlueTeamChampionLucian";495,949307062788
"BlueTeamChampionLux";996,966934005179
"BlueTeamChampionMel";-160,688563956686
"BlueTeamChampionMissFortune";400,433767354836
"BlueTeamChampionNilah";-92,1247913492908
"BlueTeamChampionRumble";-0,0330659948469535
"BlueTeamChampionSenna";-2979,67328006453
"BlueTeamChampionSeraphine";-270,336559446345
"BlueTeamChampionSion";571,866827723122
"BlueTeamChampionSivir";260,139429370175
"BlueTeamChampionSmolder";74,1536346510792
"BlueTeamChampionSwain";-72,8647581565092
"BlueTeamChampionTaliyah";711,326719935522
"BlueTeamChampionTristana";257,672442244475
"BlueTeamChampionTwitch";-1010,79309318193
"BlueTeamChampionVarus";327,159608499663
"BlueTeamChampionVayne";204,237456720732
"BlueTeamChampionViktor";-998,864758156513
"BlueTeamChampionXayah";435,079882021875
"BlueTeamChampionYasuo";402,005225247088
"BlueTeamChampionZeri";332,98219786725
"BlueTeamChampionZiggs";123,175019775822
"BlueTeamChampionZyra";-243,072204434192
"RedTeamChampionAshe";382,206190583134
"RedTeamChampionBrand";911,121991542453
"RedTeamChampionCaitlyn";64,9416827233103
"RedTeamChampionCassiopeia";-680,943753242194
"RedTeamChampionCorki";129,146358198647
"RedTeamChampionDraven";-310,707685021557
"RedTeamChampionEzreal";223,411372535824
"RedTeamChampionHwei";321,758702910558
"RedTeamChampionJhin";281,353804476318
"RedTeamChampionJinx";318,414430399513
"RedTeamChampionKaisa";194,314666036969
"RedTeamChampionKalista";-19,045119893398
"RedTeamChampionKogMaw";199,124168870953
"RedTeamChampionLucian";135,885212937766
"RedTeamChampionMel";108,807604416032
"RedTeamChampionMissFortune";64,7137708157282
"RedTeamChampionNilah";563,120950063225
"RedTeamChampionOrianna";661,121991542463
"RedTeamChampionOrnn";247,211234145465
"RedTeamChampionRumble";563,056246757803
"RedTeamChampionSenna";1857,5260639781
"RedTeamChampionSeraphine";356,335100859795
"RedTeamChampionSivir";535,392614495745
"RedTeamChampionSmolder";259,19447463983
"RedTeamChampionSwain";52,7622218936322
"RedTeamChampionTahmKench";1055,8478326873
"RedTeamChampionTaliyah";461,705385675889
"RedTeamChampionTristana";235,468180717469
"RedTeamChampionTwitch";821,965198331369
"RedTeamChampionVarus";126,06752602161
"RedTeamChampionVayne";1914,85329269334
"RedTeamChampionVeigar";252,121991542462
"RedTeamChampionVelkoz";240,056246757806
"RedTeamChampionXayah";175,406391391418
"RedTeamChampionXerath";-1344,39084220235
"RedTeamChampionYasuo";-1029,70298182061
"RedTeamChampionZeri";269,270888716542
"RedTeamChampionZiggs";214,845401513083
