"";"x"
"(Intercept)";174,459066029366
"BlueTeamChampionAmumu";-127,759097877223
"BlueTeamChampionBelveth";43,6075182067593
"BlueTeamChampionBrand";128,903037262447
"BlueTeamChampionDarius";544,850470257493
"BlueTeamChampionDiana";-51,6239379002445
"BlueTeamChampionDrMundo";-181,794422711869
"BlueTeamChampionElise";-26,0605069717777
"BlueTeamChampionGragas";185,195960988604
"BlueTeamChampionGwen";-162,566641348144
"BlueTeamChampionHecarim";874,734172474252
"BlueTeamChampionIvern";-106,093636683657
"BlueTeamChampionJarvanIV";-80,2349545808345
"BlueTeamChampionJax";-7,07240955423664
"BlueTeamChampionKarthus";583,243435551753
"BlueTeamChampionKayn";209,263174214685
"BlueTeamChampionKhazix";563,123112507992
"BlueTeamChampionKindred";0,605507762854878
"BlueTeamChampionLeeSin";-2,05596214655011
"BlueTeamChampionLillia";153,41560790201
"BlueTeamChampionMaokai";-268,08934498878
"BlueTeamChampionMasterYi";339,678149220432
"BlueTeamChampionMonkeyKing";-197,190286920364
"BlueTeamChampionMorgana";134,637894010736
"BlueTeamChampionNaafiri";74,7425953620732
"BlueTeamChampionNautilus";-982,782240688919
"BlueTeamChampionNeeko";-213,393494414787
"BlueTeamChampionNidalee";314,865036430657
"BlueTeamChampionNocturne";-29,6233281834679
"BlueTeamChampionNunu";240,206218279319
"BlueTeamChampionOlaf";226,933383380779
"BlueTeamChampionPantheon";69,3030999512737
"BlueTeamChampionPoppy";-145,63731973701
"BlueTeamChampionRekSai";-684,085616968748
"BlueTeamChampionRengar";-1971,2224864532
"BlueTeamChampionRumble";365,568926051091
"BlueTeamChampionSejuani";-268,902835280961
"BlueTeamChampionSion";-1238,34760002762
"BlueTeamChampionSkarner";-301,461274954712
"BlueTeamChampionTaliyah";381,575613904178
"BlueTeamChampionTrundle";231,000226823274
"BlueTeamChampionVi";-62,0510122372514
"BlueTeamChampionViego";135,460975272293
"BlueTeamChampionVolibear";36,9401355246549
"BlueTeamChampionXinZhao";-90,8314043614249
"BlueTeamChampionZac";-474,458366591916
"BlueTeamChampionZed";-78,2199686883166
"BlueTeamChampionZyra";156,874985018293
"RedTeamChampionAmumu";-112,578315120939
"RedTeamChampionBelveth";-745,409547519361
"RedTeamChampionBrand";-365,274228247202
"RedTeamChampionDarius";-1070,65691901171
"RedTeamChampionDiana";-276,166809605458
"RedTeamChampionDrMundo";-585,251475704222
"RedTeamChampionFiddleSticks";-503,334051047648
"RedTeamChampionGraves";-1121,84110364116
"RedTeamChampionGwen";-456,137215249744
"RedTeamChampionHecarim";-936,797556295328
"RedTeamChampionIvern";56,6172419897261
"RedTeamChampionJarvanIV";-66,0655716145624
"RedTeamChampionJax";-164,827661667942
"RedTeamChampionKarthus";-502,11146600176
"RedTeamChampionKayn";-294,228428552008
"RedTeamChampionKhazix";-687,334051047676
"RedTeamChampionKindred";-279,655027017855
"RedTeamChampionLeeSin";-267,517094739828
"RedTeamChampionLillia";-291,359866000901
"RedTeamChampionMaokai";117,323174659618
"RedTeamChampionMonkeyKing";-144,037324776854
"RedTeamChampionMordekaiser";-171,997791074651
"RedTeamChampionMorgana";-525,908053792114
"RedTeamChampionNaafiri";-347,709573344356
"RedTeamChampionNidalee";-343,683606495309
"RedTeamChampionNocturne";-333,236579576124
"RedTeamChampionNunu";241,570970186725
"RedTeamChampionOlaf";4,78268890485204
"RedTeamChampionPantheon";-322,798486395008
"RedTeamChampionPoppy";35,8590434082118
"RedTeamChampionRekSai";-548,094410205331
"RedTeamChampionSejuani";-12,3302918527976
"RedTeamChampionShaco";-954,627661667938
"RedTeamChampionShyvana";-260,666676450602
"RedTeamChampionSkarner";103,996211747482
"RedTeamChampionTaliyah";-151,46528247532
"RedTeamChampionTrundle";-205,808413787991
"RedTeamChampionUdyr";-423,835737845901
"RedTeamChampionVi";-162,85780741333
"RedTeamChampionViego";-340,747574043441
"RedTeamChampionVolibear";-155,881685167395
"RedTeamChampionXinZhao";-114,160568822209
"RedTeamChampionYorick";251,798338608553
"RedTeamChampionZac";-12,8373354546739
"RedTeamChampionZed";-1845,87467393139
"RedTeamChampionZyra";-529,651105095895
