"";"x"
"(Intercept)";836,643926870369
"BlueTeamChampionAkali";18,6702435473264
"BlueTeamChampionAmbessa";-433,836243514443
"BlueTeamChampionAnivia";-304,329274821369
"BlueTeamChampionAnnie";-310,92747588616
"BlueTeamChampionAurelionSol";-434,217967090976
"BlueTeamChampionAurora";21,4424206846112
"BlueTeamChampionAzir";-146,754474658145
"BlueTeamChampionCaitlyn";-48,564426520559
"BlueTeamChampionCassiopeia";-121,655851687942
"BlueTeamChampionChogath";-230,868088625632
"BlueTeamChampionCorki";254,2755579637
"BlueTeamChampionEkko";-927,087414824501
"BlueTeamChampionEzreal";-1448,0874148245
"BlueTeamChampionFiora";-113,370344564134
"BlueTeamChampionGalio";-393,252361702293
"BlueTeamChampionGragas";-64,3779097787849
"BlueTeamChampionHwei";-61,2568382119763
"BlueTeamChampionIrelia";-93,2043494364932
"BlueTeamChampionJayce";-116,328439420671
"BlueTeamChampionKaisa";1455,43557347957
"BlueTeamChampionKarma";-27,4946809923655
"BlueTeamChampionKassadin";-766,786507264503
"BlueTeamChampionKatarina";-403,087414824588
"BlueTeamChampionKayle";-993,382422716943
"BlueTeamChampionKogMaw";-218,918547353868
"BlueTeamChampionKSante";-1138,35083961365
"BlueTeamChampionLeblanc";431,173223540238
"BlueTeamChampionLeeSin";819,561598476929
"BlueTeamChampionLissandra";-298,277372720832
"BlueTeamChampionLucian";189,631429805313
"BlueTeamChampionLux";486,796814735082
"BlueTeamChampionMel";-182,746186580618
"BlueTeamChampionMissFortune";177,69126004991
"BlueTeamChampionNaafiri";171,840447136027
"BlueTeamChampionNeeko";-189,56398861511
"BlueTeamChampionOrianna";95,170602280586
"BlueTeamChampionOrnn";-321,206824216817
"BlueTeamChampionPantheon";-155,901028876908
"BlueTeamChampionRenekton";-169,884155580855
"BlueTeamChampionRumble";701,356073129597
"BlueTeamChampionRyze";-44,7286890221832
"BlueTeamChampionSett";-942,614264402851
"BlueTeamChampionSion";171,210305634415
"BlueTeamChampionSmolder";-371,358131752274
"BlueTeamChampionSwain";-118,428193789371
"BlueTeamChampionSylas";-155,505616099739
"BlueTeamChampionSyndra";-59,0891680119492
"BlueTeamChampionTaliyah";-119,643926870483
"BlueTeamChampionTristana";52,554484416105
"BlueTeamChampionTryndamere";769,583852119892
"BlueTeamChampionTwistedFate";601,593462343215
"BlueTeamChampionVarus";-531,835738527822
"BlueTeamChampionVeigar";347,801189089288
"BlueTeamChampionVelkoz";-105,148880413514
"BlueTeamChampionVex";-78,9356904044012
"BlueTeamChampionViktor";-37,2424360282399
"BlueTeamChampionVladimir";-309,395286183061
"BlueTeamChampionXerath";-469,294560095271
"BlueTeamChampionYasuo";267,576837925894
"BlueTeamChampionYone";-176,666717818261
"BlueTeamChampionZed";-59,0095278631876
"BlueTeamChampionZiggs";71,7478362918272
"BlueTeamChampionZilean";-965,31971812357
"BlueTeamChampionZoe";96,1299190560831
"RedTeamChampionAhri";-865,261504153354
"RedTeamChampionAkali";-968,55770920655
"RedTeamChampionAkshan";-425,391565168074
"RedTeamChampionAmbessa";-849,947475780927
"RedTeamChampionAnivia";-1079,56800664911
"RedTeamChampionAnnie";-1093,18197567425
"RedTeamChampionAurelionSol";28,7153090998685
"RedTeamChampionAurora";-882,48437400634
"RedTeamChampionAzir";-830,547147925656
"RedTeamChampionCassiopeia";-1048,33388990052
"RedTeamChampionChogath";-482,980822568699
"RedTeamChampionCorki";-895,079500349816
"RedTeamChampionDiana";-1358,91523784818
"RedTeamChampionEkko";-1669,88945221223
"RedTeamChampionEzreal";-908,149200557924
"RedTeamChampionGalio";-589,273582306249
"RedTeamChampionGragas";109,338149965419
"RedTeamChampionHwei";-920,602920757411
"RedTeamChampionIrelia";-1274,64392687037
"RedTeamChampionJayce";-962,258451876849
"RedTeamChampionKarma";-658,738910779424
"RedTeamChampionKatarina";-417,977209052105
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";-968,062907325306
"RedTeamChampionLeeSin";-510,421169078407
"RedTeamChampionLissandra";-645,529102454663
"RedTeamChampionLucian";-295,915237848183
"RedTeamChampionLux";-556,013040208329
"RedTeamChampionMel";-1028,68899813939
"RedTeamChampionNaafiri";-1047,3860740375
"RedTeamChampionNasus";-146,977209052107
"RedTeamChampionOrianna";-836,437102653513
"RedTeamChampionPantheon";-1116,08607547747
"RedTeamChampionRyze";-813,335186920267
"RedTeamChampionSett";-658,919484834073
"RedTeamChampionSion";-556,987899883586
"RedTeamChampionSmolder";-796,642570690295
"RedTeamChampionSwain";-1097,25268127158
"RedTeamChampionSylas";-719,169369045351
"RedTeamChampionSyndra";-989,556512045843
"RedTeamChampionTaliyah";-616,445115959644
"RedTeamChampionTristana";-972,672465594968
"RedTeamChampionTryndamere";-967,691889371987
"RedTeamChampionVeigar";-925,648751125654
"RedTeamChampionVelkoz";-570,649295789766
"RedTeamChampionVex";-1875,11232916279
"RedTeamChampionViego";-1541,51802553019
"RedTeamChampionViktor";-767,808188342544
"RedTeamChampionVladimir";-1120,27220732678
"RedTeamChampionXerath";-1079,25392797439
"RedTeamChampionYasuo";-790,687571277677
"RedTeamChampionYone";-756,029662467506
"RedTeamChampionZed";-1776,33333333322
"RedTeamChampionZeri";-915,419484834081
"RedTeamChampionZiggs";-317,58393079832
"RedTeamChampionZilean";141,395412900966
"RedTeamChampionZoe";-1525,98768247163
