"";"x"
"(Intercept)";-71,8224240220829
"BlueTeamChampionAmumu";40,8241081381346
"BlueTeamChampionAnnie";87,0537231963038
"BlueTeamChampionAshe";286,695003996271
"BlueTeamChampionBard";267,37568417547
"BlueTeamChampionBlitzcrank";58,5416921438866
"BlueTeamChampionBraum";94,7649255675723
"BlueTeamChampionCamille";-674,872835974851
"BlueTeamChampionChogath";807,695003996217
"BlueTeamChampionElise";459,294108994601
"BlueTeamChampionFiddleSticks";120,332746174766
"BlueTeamChampionGalio";219,111297067652
"BlueTeamChampionGragas";369,062388276206
"BlueTeamChampionHwei";1141,97340982906
"BlueTeamChampionJanna";-42,7147186413796
"BlueTeamChampionKarma";356,032808945549
"BlueTeamChampionLeblanc";129,799793797445
"BlueTeamChampionLeeSin";36,7937017630722
"BlueTeamChampionLeona";63,0436915404573
"BlueTeamChampionLulu";114,401147414255
"BlueTeamChampionLux";-165,189769121965
"BlueTeamChampionMaokai";123,211636334084
"BlueTeamChampionMilio";-84,3608795535819
"BlueTeamChampionMonkeyKing";652,067673716275
"BlueTeamChampionMorgana";385,219800670864
"BlueTeamChampionNami";190,911099412787
"BlueTeamChampionNautilus";74,0053650421172
"BlueTeamChampionNeeko";231,860579765536
"BlueTeamChampionPantheon";246,091727333039
"BlueTeamChampionPoppy";175,110651611346
"BlueTeamChampionPyke";426,978920897824
"BlueTeamChampionRakan";101,505507517341
"BlueTeamChampionRell";78,6910283383635
"BlueTeamChampionRenata";57,8309256483881
"BlueTeamChampionSejuani";-381,457683215548
"BlueTeamChampionSenna";304,683926906754
"BlueTeamChampionSeraphine";192,29399491367
"BlueTeamChampionSett";213,97340982909
"BlueTeamChampionShen";317,437078196604
"BlueTeamChampionSona";-795,57158439463
"BlueTeamChampionSoraka";219,648614541241
"BlueTeamChampionTahmKench";-130,697442861925
"BlueTeamChampionTaric";12,0605945868307
"BlueTeamChampionThresh";48,8185376774261
"BlueTeamChampionVeigar";224,066745608333
"BlueTeamChampionYuumi";51,3861631826572
"BlueTeamChampionZac";95,5307191419462
"BlueTeamChampionZilean";343,419261092285
"BlueTeamChampionZyra";188,695003996281
"RedTeamChampionAmumu";27,5350713717084
"RedTeamChampionAnnie";-256,47168497249
"RedTeamChampionAshe";119,991498373688
"RedTeamChampionBard";-101,218276762197
"RedTeamChampionBlitzcrank";74,8356499005992
"RedTeamChampionBraum";-34,0764878808241
"RedTeamChampionCamille";-312,885575525127
"RedTeamChampionElise";-353,933933723084
"RedTeamChampionFiddleSticks";-136,989212165376
"RedTeamChampionGalio";-86,1501502868712
"RedTeamChampionGragas";-285,076506932764
"RedTeamChampionJanna";-447,745834260231
"RedTeamChampionKarma";-115,971277740972
"RedTeamChampionKennen";-129,008501626306
"RedTeamChampionLeblanc";-686,683083495259
"RedTeamChampionLeona";28,6026233512215
"RedTeamChampionLulu";-113,968661645012
"RedTeamChampionLux";-86,1775759779156
"RedTeamChampionMaokai";-31,2452496942136
"RedTeamChampionMel";123,316916504735
"RedTeamChampionMilio";-126,167052570304
"RedTeamChampionNami";126,012193144086
"RedTeamChampionNautilus";-5,24432158625195
"RedTeamChampionNeeko";-100,719892762367
"RedTeamChampionNidalee";-486,578723392173
"RedTeamChampionOrnn";-852,525772668157
"RedTeamChampionPantheon";-333,977369775335
"RedTeamChampionPoppy";-39,7545922575894
"RedTeamChampionPyke";-518,634236040326
"RedTeamChampionRakan";-76,6059915832933
"RedTeamChampionRell";-17,1509858070222
"RedTeamChampionRenata";-116,872579974182
"RedTeamChampionSenna";-381,836995870374
"RedTeamChampionSeraphine";-306,933249452922
"RedTeamChampionShen";-527,304740003086
"RedTeamChampionSoraka";22,4728875109642
"RedTeamChampionTahmKench";124,457378527982
"RedTeamChampionTaric";763,470566699306
"RedTeamChampionThresh";-156,897411671744
"RedTeamChampionYuumi";304,848841478164
"RedTeamChampionZac";-147,13580820536
"RedTeamChampionZilean";-41,0058247447637
"RedTeamChampionZyra";183,316916504741
