"";"x"
"(Intercept)";-41,7677723646009
"BlueTeamChampionAkali";452,720898884809
"BlueTeamChampionAmbessa";-20,8726447201844
"BlueTeamChampionAnivia";508,0885958941
"BlueTeamChampionAurora";253,375765080208
"BlueTeamChampionAzir";-328,303650424171
"BlueTeamChampionCamille";-80,9035526576798
"BlueTeamChampionCassiopeia";363,264726435799
"BlueTeamChampionChogath";-27,2016335176787
"BlueTeamChampionCorki";-178,133599841909
"BlueTeamChampionDarius";243,837107982328
"BlueTeamChampionDiana";-1157,30365042421
"BlueTeamChampionDraven";-150,246045755402
"BlueTeamChampionDrMundo";-21,0608744731624
"BlueTeamChampionFiora";554,038507826256
"BlueTeamChampionGalio";-153,098812667556
"BlueTeamChampionGangplank";728,650810399641
"BlueTeamChampionGaren";4,62698061656942
"BlueTeamChampionGnar";183,726318004589
"BlueTeamChampionGragas";-89,0777199214146
"BlueTeamChampionGwen";219,882652474253
"BlueTeamChampionIrelia";644,451942679223
"BlueTeamChampionJax";-41,6875021746572
"BlueTeamChampionJayce";295,158490418171
"BlueTeamChampionKaisa";-402,394872594431
"BlueTeamChampionKalista";333,881676909344
"BlueTeamChampionKarma";-384,738977666699
"BlueTeamChampionKayle";434,975836411551
"BlueTeamChampionKayn";-1034,61682725523
"BlueTeamChampionKennen";419,126594362978
"BlueTeamChampionKled";-8,22834021215213
"BlueTeamChampionKSante";73,0317621537297
"BlueTeamChampionLeblanc";38,6963495758428
"BlueTeamChampionMalphite";-307,199229569785
"BlueTeamChampionMaokai";25,3700956261434
"BlueTeamChampionMissFortune";-498,594467999724
"BlueTeamChampionMonkeyKing";-277,279590836458
"BlueTeamChampionMordekaiser";71,361396175728
"BlueTeamChampionNaafiri";-38,4172632563365
"BlueTeamChampionNasus";-386,228340212154
"BlueTeamChampionNautilus";-1309,66868946951
"BlueTeamChampionNeeko";716,605127405608
"BlueTeamChampionNidalee";864,811094901251
"BlueTeamChampionOlaf";-59,8592506016267
"BlueTeamChampionOrnn";-287,247610477284
"BlueTeamChampionPantheon";503,854748786828
"BlueTeamChampionPoppy";-107,417018254505
"BlueTeamChampionQuinn";-123,861221834964
"BlueTeamChampionRenekton";273,345561100023
"BlueTeamChampionRiven";-219,303650424159
"BlueTeamChampionRumble";-55,823440426286
"BlueTeamChampionRyze";166,066204284259
"BlueTeamChampionSejuani";-312,31160640329
"BlueTeamChampionSett";563,280957721656
"BlueTeamChampionShen";-92,7896186006331
"BlueTeamChampionSinged";49,2184725151646
"BlueTeamChampionSion";-28,8111333973059
"BlueTeamChampionSmolder";209,975836411549
"BlueTeamChampionSwain";-126,118323090662
"BlueTeamChampionSylas";730,866400158077
"BlueTeamChampionTrundle";412,574509941482
"BlueTeamChampionTryndamere";1138,47482043513
"BlueTeamChampionUdyr";200,433107734588
"BlueTeamChampionUrgot";507,368627961497
"BlueTeamChampionVarus";625,578295171854
"BlueTeamChampionVayne";-489,598085643588
"BlueTeamChampionVex";-167,781527484835
"BlueTeamChampionVi";859,605127405565
"BlueTeamChampionVladimir";391,057769674638
"BlueTeamChampionVolibear";146,813117494757
"BlueTeamChampionWarwick";172,453077596563
"BlueTeamChampionXerath";463,881676909345
"BlueTeamChampionYasuo";-314,883027842089
"BlueTeamChampionYone";215,271469926658
"BlueTeamChampionYorick";210,05498933609
"BlueTeamChampionZac";-764,813143907816
"RedTeamChampionAkali";-115,763989789125
"RedTeamChampionAmbessa";-7,4507001505643
"RedTeamChampionAnivia";100,167253956469
"RedTeamChampionAurora";-343,188545005418
"RedTeamChampionCamille";16,7560189986145
"RedTeamChampionCassiopeia";-434,296304936867
"RedTeamChampionChogath";141,320682599508
"RedTeamChampionDarius";-826,585308381535
"RedTeamChampionDraven";-2108,39071805356
"RedTeamChampionDrMundo";339,332128058142
"RedTeamChampionFiora";371,930817726577
"RedTeamChampionGalio";163,307627046415
"RedTeamChampionGangplank";235,812710451712
"RedTeamChampionGaren";95,4222580503375
"RedTeamChampionGnar";-373,098627793484
"RedTeamChampionGragas";185,362240364323
"RedTeamChampionGwen";-82,9285772112368
"RedTeamChampionIrelia";-521,225117613543
"RedTeamChampionJax";38,0729527782169
"RedTeamChampionJayce";-245,837355040977
"RedTeamChampionKarma";183,951250201348
"RedTeamChampionKennen";-344,594189358248
"RedTeamChampionKled";71,8433539320804
"RedTeamChampionKSante";-46,1139045447404
"RedTeamChampionLeeSin";-764,287216971489
"RedTeamChampionMalphite";76,6063063103042
"RedTeamChampionMaokai";405,174723437619
"RedTeamChampionMel";-1057,32082352951
"RedTeamChampionMonkeyKing";72,8709576233126
"RedTeamChampionMordekaiser";-495,220776375297
"RedTeamChampionNaafiri";-354,114880109651
"RedTeamChampionNautilus";221,719548693439
"RedTeamChampionNidalee";-406,220727744699
"RedTeamChampionOlaf";-477,007837822406
"RedTeamChampionOrnn";309,364284166897
"RedTeamChampionPantheon";-231,305301610341
"RedTeamChampionPoppy";145,973794014479
"RedTeamChampionRenekton";-267,814964379067
"RedTeamChampionRengar";-1954,26398978914
"RedTeamChampionRiven";-1882,40878720911
"RedTeamChampionRumble";-71,0038874232431
"RedTeamChampionRyze";66,7099298143178
"RedTeamChampionSejuani";282,203466324304
"RedTeamChampionSett";-252,934157753264
"RedTeamChampionShen";138,142782072899
"RedTeamChampionSion";87,6977764508487
"RedTeamChampionSivir";334,736010210871
"RedTeamChampionSwain";-631,485518929836
"RedTeamChampionSylas";-307,958545639981
"RedTeamChampionUdyr";-36,7242629104255
"RedTeamChampionUrgot";112,588287103006
"RedTeamChampionVarus";286,73601021087
"RedTeamChampionVex";-721,359582915221
"RedTeamChampionVi";-441,811786352173
"RedTeamChampionVladimir";-215,738175424207
"RedTeamChampionVolibear";-427,74310677584
"RedTeamChampionWarwick";-847,237231512437
"RedTeamChampionYasuo";564,027636240011
"RedTeamChampionYone";-267,704352033395
"RedTeamChampionYorick";154,323623818819
"RedTeamChampionZac";70,5789057619061
