"";"x"
"(Intercept)";-2364,47779354154
"BlueTeamChampionAshe";1045,54698761695
"BlueTeamChampionBrand";3865,51986611076
"BlueTeamChampionCaitlyn";1141,64206375853
"BlueTeamChampionCorki";1075,77909837903
"BlueTeamChampionDraven";859,969815585166
"BlueTeamChampionEzreal";1020,40304355147
"BlueTeamChampionGalio";-1586,4801338893
"BlueTeamChampionGnar";302,68062464834
"BlueTeamChampionHwei";2197,61111830602
"BlueTeamChampionJhin";1169,04038528472
"BlueTeamChampionJinx";1324,7944911411
"BlueTeamChampionKaisa";1614,13186814792
"BlueTeamChampionKalista";1445,53680513826
"BlueTeamChampionKogMaw";-329,01819637137
"BlueTeamChampionLeeSin";-438,290995471496
"BlueTeamChampionLucian";2025,76905637432
"BlueTeamChampionLux";2334,92565622178
"BlueTeamChampionMel";-703,273425298207
"BlueTeamChampionMissFortune";1333,81620574169
"BlueTeamChampionNilah";2883,70900452849
"BlueTeamChampionRumble";78,9256562216755
"BlueTeamChampionSenna";-5041,7593170868
"BlueTeamChampionSeraphine";-38,8545855879296
"BlueTeamChampionSion";781,27493378638
"BlueTeamChampionSivir";1690,54369881767
"BlueTeamChampionSmolder";1849,33652645334
"BlueTeamChampionSwain";136,611118306205
"BlueTeamChampionTaliyah";2169,24068291337
"BlueTeamChampionTristana";1635,25041403015
"BlueTeamChampionTwitch";290,233320366587
"BlueTeamChampionVarus";951,193112565098
"BlueTeamChampionVayne";1309,41704033532
"BlueTeamChampionViktor";-1025,88888169375
"BlueTeamChampionXayah";1403,10077537861
"BlueTeamChampionYasuo";1242,66006141727
"BlueTeamChampionZeri";2017,37178963528
"BlueTeamChampionZiggs";-39,5505149531564
"BlueTeamChampionZyra";-1857,48013388935
"RedTeamChampionAshe";1757,90293277844
"RedTeamChampionBrand";3469,28468097639
"RedTeamChampionCaitlyn";837,11493090569
"RedTeamChampionCassiopeia";1278,07474999004
"RedTeamChampionCorki";972,866675235326
"RedTeamChampionDraven";-123,103164573118
"RedTeamChampionEzreal";1377,86133328582
"RedTeamChampionHwei";1644,43740825681
"RedTeamChampionJhin";1343,95792743087
"RedTeamChampionJinx";1068,53284251959
"RedTeamChampionKaisa";505,55213731977
"RedTeamChampionKalista";891,23711062816
"RedTeamChampionKogMaw";2227,36088794373
"RedTeamChampionLucian";364,840603396901
"RedTeamChampionMel";799,356566341473
"RedTeamChampionMissFortune";566,652124211469
"RedTeamChampionNilah";2232,63234302759
"RedTeamChampionOrianna";4769,2846809764
"RedTeamChampionOrnn";2505,34592539361
"RedTeamChampionRumble";524,074749990061
"RedTeamChampionSenna";5621,30128810154
"RedTeamChampionSeraphine";2395,33966706483
"RedTeamChampionSivir";1173,57894839231
"RedTeamChampionSmolder";1382,4792203729
"RedTeamChampionSwain";2222,52047076486
"RedTeamChampionTahmKench";5558,66158779989
"RedTeamChampionTaliyah";2384,15123009079
"RedTeamChampionTristana";793,252046098339
"RedTeamChampionTwitch";979,905961679672
"RedTeamChampionVarus";1164,79716889312
"RedTeamChampionVayne";3176,94249805964
"RedTeamChampionVeigar";3684,28468097641
"RedTeamChampionVelkoz";3320,0747499901
"RedTeamChampionXayah";894,768789013085
"RedTeamChampionXerath";-2217,77262048864
"RedTeamChampionYasuo";-1242,81669759963
"RedTeamChampionZeri";657,456579164148
"RedTeamChampionZiggs";1928,88321952075
