"";"x"
"(Intercept)";-310,18769178854
"BlueTeamChampionAmumu";-71,2632629379369
"BlueTeamChampionBelveth";1753,02102887775
"BlueTeamChampionBrand";407,512014431565
"BlueTeamChampionDarius";2353,10714328861
"BlueTeamChampionDiana";799,294040401749
"BlueTeamChampionDrMundo";741,420958359294
"BlueTeamChampionElise";-21,5557754356966
"BlueTeamChampionGragas";1910,29424204518
"BlueTeamChampionGwen";1011,6431724236
"BlueTeamChampionHecarim";4520,99398998157
"BlueTeamChampionIvern";-148,960279780131
"BlueTeamChampionJarvanIV";-94,7398342372449
"BlueTeamChampionJax";814,806630995157
"BlueTeamChampionKarthus";1700,23925015938
"BlueTeamChampionKayn";-198,157184190833
"BlueTeamChampionKhazix";2665,61426672629
"BlueTeamChampionKindred";819,34356647394
"BlueTeamChampionLeeSin";623,124841109719
"BlueTeamChampionLillia";1077,46631304497
"BlueTeamChampionMaokai";-456,256524918324
"BlueTeamChampionMasterYi";4069,34135720396
"BlueTeamChampionMonkeyKing";265,765889324171
"BlueTeamChampionMorgana";459,930256534544
"BlueTeamChampionNaafiri";1062,95149590066
"BlueTeamChampionNautilus";-2522,69714229294
"BlueTeamChampionNeeko";-726,190903617626
"BlueTeamChampionNidalee";1239,42511268071
"BlueTeamChampionNocturne";209,955099432816
"BlueTeamChampionNunu";508,705982476364
"BlueTeamChampionOlaf";1636,30783482582
"BlueTeamChampionPantheon";798,214548013313
"BlueTeamChampionPoppy";202,574747453256
"BlueTeamChampionRekSai";-1971,81223102035
"BlueTeamChampionRengar";-3817,53575650394
"BlueTeamChampionRumble";119,803463674491
"BlueTeamChampionSejuani";-402,972959602775
"BlueTeamChampionSion";-3061,84725595751
"BlueTeamChampionSkarner";-445,833539942379
"BlueTeamChampionTaliyah";933,790601856542
"BlueTeamChampionTrundle";880,72714379136
"BlueTeamChampionVi";408,395606148021
"BlueTeamChampionViego";1506,25621984753
"BlueTeamChampionVolibear";-617,28636706621
"BlueTeamChampionXinZhao";170,93251446191
"BlueTeamChampionZac";-801,572473096458
"BlueTeamChampionZed";977,103802691483
"BlueTeamChampionZyra";706,210436222185
"RedTeamChampionAmumu";381,071060876652
"RedTeamChampionBelveth";-1800,1495047977
"RedTeamChampionBrand";-298,70931824444
"RedTeamChampionDarius";-3207,54516875228
"RedTeamChampionDiana";-38,9713111895216
"RedTeamChampionDrMundo";-1386,58023964716
"RedTeamChampionFiddleSticks";-1305,02274443362
"RedTeamChampionGraves";-2276,04769214187
"RedTeamChampionGwen";-2409,15366541498
"RedTeamChampionHecarim";-1970,14410570128
"RedTeamChampionIvern";453,999083471591
"RedTeamChampionJarvanIV";-28,6214045938254
"RedTeamChampionJax";-839,344822673376
"RedTeamChampionKarthus";-1542,96505225401
"RedTeamChampionKayn";-1925,89553824027
"RedTeamChampionKhazix";-1750,02274443368
"RedTeamChampionKindred";-1096,10655025637
"RedTeamChampionLeeSin";-272,369963573704
"RedTeamChampionLillia";-799,877481701931
"RedTeamChampionMaokai";811,88483408167
"RedTeamChampionMonkeyKing";-227,425074259018
"RedTeamChampionMordekaiser";1918,02123173093
"RedTeamChampionMorgana";181,792085640525
"RedTeamChampionNaafiri";-1125,57508012316
"RedTeamChampionNidalee";-1120,6453352128
"RedTeamChampionNocturne";-201,276551707428
"RedTeamChampionNunu";11,818864842889
"RedTeamChampionOlaf";-1200,42472823655
"RedTeamChampionPantheon";-325,467042366394
"RedTeamChampionPoppy";318,905169765245
"RedTeamChampionRekSai";-1487,3233627973
"RedTeamChampionSejuani";409,076841301945
"RedTeamChampionShaco";-2153,74482267337
"RedTeamChampionShyvana";-2484,36703611051
"RedTeamChampionSkarner";653,415584457845
"RedTeamChampionTaliyah";70,5237561855161
"RedTeamChampionTrundle";-2345,50797172722
"RedTeamChampionUdyr";-2027,76740764429
"RedTeamChampionVi";-257,963162548166
"RedTeamChampionViego";-674,815211815578
"RedTeamChampionVolibear";553,157709592738
"RedTeamChampionXinZhao";-216,268734333235
"RedTeamChampionYorick";502,23619588789
"RedTeamChampionZac";-494,61781464846
"RedTeamChampionZed";-4803,27862125648
"RedTeamChampionZyra";-1072,02706832798
