"";"x"
"(Intercept)";2907,47077625178
"BlueTeamChampionAkali";242,141538177549
"BlueTeamChampionAmbessa";-984,714118399105
"BlueTeamChampionAnivia";813,745884896684
"BlueTeamChampionAnnie";-861,28774921817
"BlueTeamChampionAurelionSol";512,723429909516
"BlueTeamChampionAurora";-233,429469845531
"BlueTeamChampionAzir";275,742205561742
"BlueTeamChampionCaitlyn";1945,17983539199
"BlueTeamChampionCassiopeia";118,796019516917
"BlueTeamChampionChogath";-1150,63591000888
"BlueTeamChampionCorki";837,333810365119
"BlueTeamChampionEkko";-909,441470195558
"BlueTeamChampionEzreal";-1794,44147019521
"BlueTeamChampionFiora";4094,1254425108
"BlueTeamChampionGalio";-1059,25214273508
"BlueTeamChampionGragas";111,119415037163
"BlueTeamChampionHwei";-324,779869522646
"BlueTeamChampionIrelia";-503,888797066096
"BlueTeamChampionJayce";128,10452547139
"BlueTeamChampionKaisa";5199,17983539244
"BlueTeamChampionKarma";362,000918880224
"BlueTeamChampionKassadin";-25,9330867841216
"BlueTeamChampionKatarina";-3911,44147019577
"BlueTeamChampionKayle";-1391,17958568164
"BlueTeamChampionKogMaw";-1444,60301616218
"BlueTeamChampionKSante";-2406,4744351092
"BlueTeamChampionLeblanc";1174,79047656141
"BlueTeamChampionLeeSin";702,39816985495
"BlueTeamChampionLissandra";-999,132292555277
"BlueTeamChampionLucian";544,520708719664
"BlueTeamChampionLux";-209,793694077458
"BlueTeamChampionMel";-296,494970992544
"BlueTeamChampionMissFortune";-300,943893910772
"BlueTeamChampionNaafiri";1928,62471387333
"BlueTeamChampionNeeko";-172,235353955282
"BlueTeamChampionOrianna";-26,1113426564629
"BlueTeamChampionOrnn";-1875,92774111471
"BlueTeamChampionPantheon";-117,457193958273
"BlueTeamChampionRenekton";-627,703106264573
"BlueTeamChampionRumble";-4240,470776252
"BlueTeamChampionRyze";-4,12178692341285
"BlueTeamChampionSett";-2539,50740002301
"BlueTeamChampionSion";-701,328579426539
"BlueTeamChampionSmolder";-151,430755008435
"BlueTeamChampionSwain";-189,801300166936
"BlueTeamChampionSylas";-172,221817990207
"BlueTeamChampionSyndra";70,3981599472885
"BlueTeamChampionTaliyah";222,529223748934
"BlueTeamChampionTristana";761,860366324822
"BlueTeamChampionTryndamere";481,213767579885
"BlueTeamChampionTwistedFate";1083,18839142304
"BlueTeamChampionVarus";-1382,49839608229
"BlueTeamChampionVeigar";-605,115817130904
"BlueTeamChampionVelkoz";-125,302419950926
"BlueTeamChampionVex";-502,66181767674
"BlueTeamChampionViktor";-103,685591985915
"BlueTeamChampionVladimir";-813,941475415405
"BlueTeamChampionXerath";-188,459135154943
"BlueTeamChampionYasuo";1495,27205672084
"BlueTeamChampionYone";215,210564791476
"BlueTeamChampionZed";529,313102903907
"BlueTeamChampionZiggs";-106,316446346421
"BlueTeamChampionZilean";-1837,2263463096
"BlueTeamChampionZoe";834,765266797931
"RedTeamChampionAhri";-3236,2911905699
"RedTeamChampionAkali";-3094,84362326494
"RedTeamChampionAkshan";-7378,21863351659
"RedTeamChampionAmbessa";-3745,37781398976
"RedTeamChampionAnivia";-3086,3546558785
"RedTeamChampionAnnie";-2993,77286890044
"RedTeamChampionAurelionSol";-1408,79906156914
"RedTeamChampionAurora";-2718,0954901249
"RedTeamChampionAzir";-3315,99699289204
"RedTeamChampionCassiopeia";-3116,19420526219
"RedTeamChampionChogath";-2699,91622428331
"RedTeamChampionCorki";-3436,65061164375
"RedTeamChampionDiana";-2632,34898932837
"RedTeamChampionEkko";-7172,21298181351
"RedTeamChampionEzreal";-2387,267737369
"RedTeamChampionGalio";-2237,59621876279
"RedTeamChampionGragas";-912,585005710303
"RedTeamChampionHwei";-2817,60707464474
"RedTeamChampionIrelia";-3205,47077625181
"RedTeamChampionJayce";-3487,58416381486
"RedTeamChampionKarma";-2726,99579278341
"RedTeamChampionKatarina";-3021,68134104325
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";-2816,2472321311
"RedTeamChampionLeeSin";-2833,90095941414
"RedTeamChampionLissandra";-1969,57221439757
"RedTeamChampionLucian";-220,348989328366
"RedTeamChampionLux";-2656,39480150377
"RedTeamChampionMel";-3083,61685868314
"RedTeamChampionNaafiri";-2017,26696412993
"RedTeamChampionNasus";-607,681341043255
"RedTeamChampionOrianna";-2834,54303513697
"RedTeamChampionPantheon";-3214,37098545784
"RedTeamChampionRyze";-3470,52688234098
"RedTeamChampionSett";-3458,80458661691
"RedTeamChampionSion";-1511,12714410981
"RedTeamChampionSmolder";-3538,76314000894
"RedTeamChampionSwain";-4197,66629427322
"RedTeamChampionSylas";-3061,11399442292
"RedTeamChampionSyndra";-3395,02930605619
"RedTeamChampionTaliyah";-2706,35495912084
"RedTeamChampionTristana";-3867,71667223381
"RedTeamChampionTryndamere";-4473,96479323581
"RedTeamChampionVeigar";-3021,83689076978
"RedTeamChampionVelkoz";-2525,40550324344
"RedTeamChampionVex";-3238,64513233388
"RedTeamChampionViego";-4520,11238176037
"RedTeamChampionViktor";-2977,97238016949
"RedTeamChampionVladimir";-1281,85112968806
"RedTeamChampionXerath";-3166,78211194266
"RedTeamChampionYasuo";-1918,80803389791
"RedTeamChampionYone";-3391,96337622875
"RedTeamChampionZed";-6482,33333333405
"RedTeamChampionZeri";-2655,30458661695
"RedTeamChampionZiggs";-786,701296249732
"RedTeamChampionZilean";-2157,77092105928
"RedTeamChampionZoe";-5129,7595997744
