"";"x"
"(Intercept)";-177,390474844975
"BlueTeamChampionAmumu";-419,807877381438
"BlueTeamChampionAnnie";210,245769932944
"BlueTeamChampionAshe";2107,12731062276
"BlueTeamChampionBard";432,076284834902
"BlueTeamChampionBlitzcrank";299,524333052812
"BlueTeamChampionBraum";113,078519935227
"BlueTeamChampionCamille";-1303,18155629487
"BlueTeamChampionChogath";1321,12731062268
"BlueTeamChampionElise";751,654136827893
"BlueTeamChampionFiddleSticks";859,501818350761
"BlueTeamChampionGalio";750,276206927547
"BlueTeamChampionGragas";265,912749139826
"BlueTeamChampionHwei";-267,842533669557
"BlueTeamChampionJanna";309,971726235313
"BlueTeamChampionKarma";676,450485228163
"BlueTeamChampionLeblanc";-426,74345845039
"BlueTeamChampionLeeSin";-1587,07797630852
"BlueTeamChampionLeona";27,9005971439789
"BlueTeamChampionLulu";161,830231789675
"BlueTeamChampionLux";723,197731330557
"BlueTeamChampionMaokai";129,154804173974
"BlueTeamChampionMilio";-364,628909753503
"BlueTeamChampionMonkeyKing";1196,14413717933
"BlueTeamChampionMorgana";237,461191115866
"BlueTeamChampionNami";712,814541422559
"BlueTeamChampionNautilus";135,256482395975
"BlueTeamChampionNeeko";541,457274445917
"BlueTeamChampionPantheon";45,5639114009162
"BlueTeamChampionPoppy";473,384203676499
"BlueTeamChampionPyke";1200,41326307865
"BlueTeamChampionRakan";175,972482079413
"BlueTeamChampionRell";247,082170185859
"BlueTeamChampionRenata";74,5799200705376
"BlueTeamChampionSejuani";-983,042702270462
"BlueTeamChampionSenna";747,027250243651
"BlueTeamChampionSeraphine";317,964335305457
"BlueTeamChampionSett";827,157466330396
"BlueTeamChampionShen";1212,57943182007
"BlueTeamChampionSona";-224,076945878872
"BlueTeamChampionSoraka";1389,8136131963
"BlueTeamChampionTahmKench";-516,360292889284
"BlueTeamChampionTaric";93,1569760581824
"BlueTeamChampionThresh";-30,0072047559357
"BlueTeamChampionVeigar";287,256775909856
"BlueTeamChampionYuumi";0,198628249513638
"BlueTeamChampionZac";279,070365270143
"BlueTeamChampionZilean";1275,68177134369
"BlueTeamChampionZyra";3021,12731062293
"RedTeamChampionAmumu";292,988494510075
"RedTeamChampionAnnie";-1795,26366198284
"RedTeamChampionAshe";-714,189445225547
"RedTeamChampionBard";-191,844289111064
"RedTeamChampionBlitzcrank";-146,051485018503
"RedTeamChampionBraum";-99,8882823583981
"RedTeamChampionCamille";-1416,60587260437
"RedTeamChampionElise";-983,504319277163
"RedTeamChampionFiddleSticks";-191,361491716375
"RedTeamChampionGalio";-367,300883388205
"RedTeamChampionGragas";-635,307432683226
"RedTeamChampionJanna";-353,372079919158
"RedTeamChampionKarma";-211,531548846523
"RedTeamChampionKennen";1689,81055477441
"RedTeamChampionLeblanc";-2263,58200723444
"RedTeamChampionLeona";-1,07071627089715
"RedTeamChampionLulu";-213,436353937336
"RedTeamChampionLux";243,39047484497
"RedTeamChampionMaokai";-131,753662334389
"RedTeamChampionMel";-203,582007234441
"RedTeamChampionMilio";342,262223831991
"RedTeamChampionNami";375,192743514524
"RedTeamChampionNautilus";99,133698935118
"RedTeamChampionNeeko";-413,566822884555
"RedTeamChampionNidalee";867,560243055283
"RedTeamChampionOrnn";-2555,27885144594
"RedTeamChampionPantheon";-715,866066704619
"RedTeamChampionPoppy";-113,797411671689
"RedTeamChampionPyke";-1047,03823551139
"RedTeamChampionRakan";-174,532579276164
"RedTeamChampionRell";-148,766991485481
"RedTeamChampionRenata";-247,736835777772
"RedTeamChampionSenna";-1721,31790500714
"RedTeamChampionSeraphine";-968,809220922998
"RedTeamChampionShen";-321,427968860287
"RedTeamChampionSoraka";247,06074894869
"RedTeamChampionTahmKench";351,749752706791
"RedTeamChampionTaric";654,954898656138
"RedTeamChampionThresh";-486,384397431606
"RedTeamChampionYuumi";-97,7218119621561
"RedTeamChampionZac";-321,645037064286
"RedTeamChampionZilean";733,194043280185
"RedTeamChampionZyra";240,417992765562
