"";"x"
"(Intercept)";83,400295263156
"BlueTeamChampionAkali";439,540669891334
"BlueTeamChampionAmbessa";227,267688321248
"BlueTeamChampionAnivia";1678,04698018132
"BlueTeamChampionAurora";341,84455721225
"BlueTeamChampionAzir";4597,42715450665
"BlueTeamChampionCamille";813,352076854616
"BlueTeamChampionCassiopeia";319,078699965406
"BlueTeamChampionChogath";-291,267951236747
"BlueTeamChampionCorki";-334,266481176903
"BlueTeamChampionDarius";349,610382066928
"BlueTeamChampionDiana";-2046,57284549322
"BlueTeamChampionDraven";-1458,49600210519
"BlueTeamChampionDrMundo";134,502479535137
"BlueTeamChampionFiora";1655,64091722036
"BlueTeamChampionGalio";-809,398177690713
"BlueTeamChampionGangplank";2108,40711726323
"BlueTeamChampionGaren";981,751458279711
"BlueTeamChampionGnar";617,312584210916
"BlueTeamChampionGragas";-268,377319857631
"BlueTeamChampionGwen";913,172731026664
"BlueTeamChampionIrelia";1968,18213072599
"BlueTeamChampionJax";389,813337749168
"BlueTeamChampionJayce";743,965210162195
"BlueTeamChampionKaisa";4571,041261434
"BlueTeamChampionKalista";-99,8230115073289
"BlueTeamChampionKarma";-1466,0104056356
"BlueTeamChampionKayle";1871,72167732205
"BlueTeamChampionKayn";-1540,65323967097
"BlueTeamChampionKennen";823,62886330315
"BlueTeamChampionKled";-2054,69878297041
"BlueTeamChampionKSante";-275,098714650518
"BlueTeamChampionLeblanc";2291,42715450677
"BlueTeamChampionMalphite";-1661,07519814822
"BlueTeamChampionMaokai";-1172,01106281418
"BlueTeamChampionMissFortune";-48,207256667173
"BlueTeamChampionMonkeyKing";-540,942029379763
"BlueTeamChampionMordekaiser";723,570964531959
"BlueTeamChampionNaafiri";6459,80832390213
"BlueTeamChampionNasus";-666,698782970385
"BlueTeamChampionNautilus";-1752,58835047171
"BlueTeamChampionNeeko";-2013,95873856618
"BlueTeamChampionNidalee";2100,70461711447
"BlueTeamChampionOlaf";490,187537418775
"BlueTeamChampionOrnn";-1128,82698597125
"BlueTeamChampionPantheon";-1,73232587729001
"BlueTeamChampionPoppy";-348,894814839439
"BlueTeamChampionQuinn";1805,32834452342
"BlueTeamChampionRenekton";205,708204960496
"BlueTeamChampionRiven";209,42715450675
"BlueTeamChampionRumble";-236,650874411757
"BlueTeamChampionRyze";1265,88377700599
"BlueTeamChampionSejuani";-1138,32876076824
"BlueTeamChampionSett";648,480844146354
"BlueTeamChampionShen";169,237136178956
"BlueTeamChampionSinged";-1503,25689629623
"BlueTeamChampionSion";-502,891372102063
"BlueTeamChampionSmolder";1445,72167732205
"BlueTeamChampionSwain";-983,323011507354
"BlueTeamChampionSylas";334,733518823076
"BlueTeamChampionTrundle";3286,08256144679
"BlueTeamChampionTryndamere";2847,58519812097
"BlueTeamChampionUdyr";-805,460851177641
"BlueTeamChampionUrgot";97,2933382040429
"BlueTeamChampionVarus";1551,98580094522
"BlueTeamChampionVayne";-1104,31493000729
"BlueTeamChampionVex";-260,256896296226
"BlueTeamChampionVi";1851,04126143393
"BlueTeamChampionVladimir";1515,88175033246
"BlueTeamChampionVolibear";715,511619414267
"BlueTeamChampionWarwick";222,384669004954
"BlueTeamChampionXerath";-406,823011507379
"BlueTeamChampionYasuo";50,5551205774258
"BlueTeamChampionYone";1034,2515115704
"BlueTeamChampionYorick";863,763443500132
"BlueTeamChampionZac";-3061,41905629342
"RedTeamChampionAkali";-1223,30158061264
"RedTeamChampionAmbessa";-413,143398966915
"RedTeamChampionAnivia";-145,725562292051
"RedTeamChampionAurora";-16,9444261355384
"RedTeamChampionCamille";-820,053934629382
"RedTeamChampionCassiopeia";-1019,90908088365
"RedTeamChampionChogath";431,016078428498
"RedTeamChampionDarius";-1151,32262057061
"RedTeamChampionDraven";-3494,36550542534
"RedTeamChampionDrMundo";-556,165339841194
"RedTeamChampionFiora";-1335,86500623048
"RedTeamChampionGalio";1052,64468562654
"RedTeamChampionGangplank";-1340,86416585224
"RedTeamChampionGaren";-951,304755651534
"RedTeamChampionGnar";-1012,13381408624
"RedTeamChampionGragas";435,806961403993
"RedTeamChampionGwen";-848,827449769881
"RedTeamChampionIrelia";-1194,88592606884
"RedTeamChampionJax";-516,248660407868
"RedTeamChampionJayce";-846,441556697108
"RedTeamChampionKarma";2458,24959539314
"RedTeamChampionKennen";-599,153507592764
"RedTeamChampionKled";1053,83715929516
"RedTeamChampionKSante";183,422716244199
"RedTeamChampionLeeSin";-979,163738763286
"RedTeamChampionMalphite";73,0908868131013
"RedTeamChampionMaokai";1056,50389418246
"RedTeamChampionMel";-2629,44727544448
"RedTeamChampionMonkeyKing";-673,978934735011
"RedTeamChampionMordekaiser";229,197927610209
"RedTeamChampionNaafiri";-2209,57302628982
"RedTeamChampionNautilus";1065,42366630953
"RedTeamChampionNidalee";-1907,78707878039
"RedTeamChampionOlaf";179,57881156093
"RedTeamChampionOrnn";1217,5142159865
"RedTeamChampionPantheon";-1586,97285295185
"RedTeamChampionPoppy";386,685132166503
"RedTeamChampionRenekton";-793,208619165295
"RedTeamChampionRengar";-2663,30158061266
"RedTeamChampionRiven";-3270,74942085142
"RedTeamChampionRumble";-348,701512292738
"RedTeamChampionRyze";-175,826097824861
"RedTeamChampionSejuani";1171,6723570633
"RedTeamChampionSett";-1171,98179184834
"RedTeamChampionShen";638,392738237333
"RedTeamChampionSion";359,333338585383
"RedTeamChampionSivir";-1244,30158061264
"RedTeamChampionSwain";-1410,1435369984
"RedTeamChampionSylas";-184,212879474039
"RedTeamChampionUdyr";251,614805816345
"RedTeamChampionUrgot";-205,871081486394
"RedTeamChampionVarus";-3387,30158061264
"RedTeamChampionVex";-2049,66798358441
"RedTeamChampionVi";-2033,98478209852
"RedTeamChampionVladimir";237,273372175553
"RedTeamChampionVolibear";-2596,19849082031
"RedTeamChampionWarwick";-3047,62050493712
"RedTeamChampionYasuo";1592,19141368399
"RedTeamChampionYone";-1177,76490509089
