"";"x"
"(Intercept)";0,863183089192694
"BlueTeamChampionAmumu";-0,740297184131296
"BlueTeamChampionBelveth";0,603807494656156
"BlueTeamChampionBrand";-0,836240340346745
"BlueTeamChampionDarius";2,04581561956991
"BlueTeamChampionDiana";-1,16930351061502
"BlueTeamChampionDrMundo";-1,68685501253694
"BlueTeamChampionElise";1,31413089636124
"BlueTeamChampionGragas";0,503096192835568
"BlueTeamChampionGwen";-0,632455982645036
"BlueTeamChampionHecarim";4,11228193679743
"BlueTeamChampionIvern";-2,14468837793668
"BlueTeamChampionJarvanIV";-1,77853439092021
"BlueTeamChampionJax";0,27866350219526
"BlueTeamChampionKarthus";-0,934272115934529
"BlueTeamChampionKayn";-1,26869095360191
"BlueTeamChampionKhazix";1,49163686282261
"BlueTeamChampionKindred";0,744602438288002
"BlueTeamChampionLeeSin";0,37279422541383
"BlueTeamChampionLillia";0,457174316066153
"BlueTeamChampionMaokai";-1,2698309233929
"BlueTeamChampionMasterYi";5,44925954412057
"BlueTeamChampionMonkeyKing";-0,703072132332788
"BlueTeamChampionMorgana";-2,54404731788415
"BlueTeamChampionNaafiri";0,0235495215802152
"BlueTeamChampionNautilus";-2,76437693431733
"BlueTeamChampionNeeko";0,809761034981378
"BlueTeamChampionNidalee";0,133169611116514
"BlueTeamChampionNocturne";-1,10152071220538
"BlueTeamChampionNunu";-0,479485230744765
"BlueTeamChampionOlaf";-0,929732549299694
"BlueTeamChampionPantheon";0,362346508425154
"BlueTeamChampionPoppy";-0,481942459296489
"BlueTeamChampionRekSai";-3,07341656829572
"BlueTeamChampionRengar";-6,49454553870139
"BlueTeamChampionRumble";-1,85537163211859
"BlueTeamChampionSejuani";-1,5879437157467
"BlueTeamChampionSion";-5,17207399631819
"BlueTeamChampionSkarner";-1,43869930988229
"BlueTeamChampionTaliyah";0,196947508850971
"BlueTeamChampionTrundle";-1,21696031964661
"BlueTeamChampionVi";-0,491358281931992
"BlueTeamChampionViego";1,06505863702122
"BlueTeamChampionVolibear";-0,833137898958698
"BlueTeamChampionXinZhao";-0,882072077158295
"BlueTeamChampionZac";-2,62021849072288
"BlueTeamChampionZed";0,228925141755566
"BlueTeamChampionZyra";-0,911137613935969
"RedTeamChampionAmumu";0,260671230246208
"RedTeamChampionBelveth";-2,04443975119332
"RedTeamChampionBrand";-0,376701100432503
"RedTeamChampionDarius";-3,22613904497184
"RedTeamChampionDiana";-0,487577548398621
"RedTeamChampionDrMundo";-1,40523493457215
"RedTeamChampionFiddleSticks";-1,9520454752567
"RedTeamChampionGraves";-4,07688566191588
"RedTeamChampionGwen";-2,31244263331287
"RedTeamChampionHecarim";-0,969284020318338
"RedTeamChampionIvern";1,47895663554832
"RedTeamChampionJarvanIV";0,327055875826027
"RedTeamChampionJax";-0,181111012034398
"RedTeamChampionKarthus";-0,691109092874498
"RedTeamChampionKayn";-4,64383343425152
"RedTeamChampionKhazix";-1,95204547525677
"RedTeamChampionKindred";-1,36627928202815
"RedTeamChampionLeeSin";-0,539465387741695
"RedTeamChampionLillia";-0,442035725553566
"RedTeamChampionMaokai";0,901193845124792
"RedTeamChampionMonkeyKing";-0,747496918867173
"RedTeamChampionMordekaiser";2,57551622068965
"RedTeamChampionMorgana";1,62817519273933
"RedTeamChampionNaafiri";-1,83203612292672
"RedTeamChampionNidalee";-0,676514068988546
"RedTeamChampionNocturne";-0,368637550491261
"RedTeamChampionNunu";1,0959237346806
"RedTeamChampionOlaf";-1,63477049389819
"RedTeamChampionPantheon";-1,34240931224067
"RedTeamChampionPoppy";0,202856279170886
"RedTeamChampionRekSai";-1,5441763415369
"RedTeamChampionSejuani";0,236212225751328
"RedTeamChampionShaco";-6,98111101203441
"RedTeamChampionShyvana";-4,3839482421703
"RedTeamChampionSkarner";0,552682928086657
"RedTeamChampionTaliyah";-0,540719770991028
"RedTeamChampionTrundle";-1,01123707845869
"RedTeamChampionUdyr";1,23833762301266
"RedTeamChampionVi";-0,113055408583369
"RedTeamChampionViego";-1,11940416091893
"RedTeamChampionVolibear";1,13305716076807
"RedTeamChampionXinZhao";-0,262322832117292
"RedTeamChampionYorick";2,11326738922709
"RedTeamChampionZac";0,278397618614594
"RedTeamChampionZed";-6,32035740525886
"RedTeamChampionZyra";-0,48913556604152
