"";"x"
"(Intercept)";3,22657795973489
"BlueTeamChampionAkali";1,02503248644973
"BlueTeamChampionAmbessa";-2,26247691661117
"BlueTeamChampionAnivia";-0,331345716020256
"BlueTeamChampionAnnie";-1,71824411313931
"BlueTeamChampionAurelionSol";1,41557290035751
"BlueTeamChampionAurora";0,0637578989036904
"BlueTeamChampionAzir";-0,800131756895404
"BlueTeamChampionCaitlyn";3,54161491083319
"BlueTeamChampionCassiopeia";-0,626916908341931
"BlueTeamChampionChogath";-1,47676660764371
"BlueTeamChampionCorki";0,547028107270131
"BlueTeamChampionEkko";-1,87500624332128
"BlueTeamChampionEzreal";-1,87500624332106
"BlueTeamChampionFiora";3,24697768698741
"BlueTeamChampionGalio";-1,60018320858645
"BlueTeamChampionGragas";0,354832996844265
"BlueTeamChampionHwei";-0,572806781034652
"BlueTeamChampionIrelia";-0,585945085943275
"BlueTeamChampionJayce";-0,778514710556898
"BlueTeamChampionKaisa";7,54161491083371
"BlueTeamChampionKarma";0,379512676259021
"BlueTeamChampionKassadin";-0,962467460771818
"BlueTeamChampionKatarina";0,124993756678375
"BlueTeamChampionKayle";-2,71804241314996
"BlueTeamChampionKogMaw";-4,65266230885465
"BlueTeamChampionKSante";-3,76493972398434
"BlueTeamChampionLeblanc";1,23570628866665
"BlueTeamChampionLeeSin";0,016052308030382
"BlueTeamChampionLissandra";-2,2749478786738
"BlueTeamChampionLucian";-0,631592314221386
"BlueTeamChampionLux";0,976410275667571
"BlueTeamChampionMel";-0,378781723685253
"BlueTeamChampionMissFortune";-1,12050741752457
"BlueTeamChampionNaafiri";2,8625589788358
"BlueTeamChampionNeeko";0,0438137322679198
"BlueTeamChampionOrianna";-0,414460904837422
"BlueTeamChampionOrnn";-0,642342089486359
"BlueTeamChampionPantheon";0,591527261096276
"BlueTeamChampionRenekton";-1,25706584212302
"BlueTeamChampionRumble";-6,22657795973509
"BlueTeamChampionRyze";-0,949961298098699
"BlueTeamChampionSett";-3,65487320464749
"BlueTeamChampionSion";-1,61743420921877
"BlueTeamChampionSmolder";-0,649070110261855
"BlueTeamChampionSwain";0,151212565407087
"BlueTeamChampionSylas";-0,191584759191954
"BlueTeamChampionSyndra";-0,430212733071257
"BlueTeamChampionTaliyah";-0,226577959734183
"BlueTeamChampionTristana";-0,0858830248917195
"BlueTeamChampionTryndamere";-0,544383663549388
"BlueTeamChampionTwistedFate";-0,103931820580066
"BlueTeamChampionVarus";-2,27845494718533
"BlueTeamChampionVeigar";0,947009563487343
"BlueTeamChampionVelkoz";1,29114556216659
"BlueTeamChampionVex";0,843581720546536
"BlueTeamChampionViktor";-0,442325530853707
"BlueTeamChampionVladimir";-0,479077553755684
"BlueTeamChampionXerath";-0,429508138424019
"BlueTeamChampionYasuo";1,29541607802481
"BlueTeamChampionYone";-0,859176727309234
"BlueTeamChampionZed";1,82813290364426
"BlueTeamChampionZiggs";-1,0139867477309
"BlueTeamChampionZilean";-3,63858644558853
"BlueTeamChampionZoe";1,44757166528838
"RedTeamChampionAhri";-3,5085355465847
"RedTeamChampionAkali";-4,20499348842105
"RedTeamChampionAkshan";-5,62639475114835
"RedTeamChampionAmbessa";-4,06797870692502
"RedTeamChampionAnivia";-2,0140340855653
"RedTeamChampionAnnie";-3,89083294564844
"RedTeamChampionAurelionSol";-0,508631920465053
"RedTeamChampionAurora";-3,08913693857054
"RedTeamChampionAzir";-2,86645743317615
"RedTeamChampionCassiopeia";-3,88088491314419
"RedTeamChampionChogath";-4,20637106812694
"RedTeamChampionCorki";-2,76819287056796
"RedTeamChampionDiana";-3,27661666163618
"RedTeamChampionEkko";-8,42644620283951
"RedTeamChampionEzreal";-3,17347503824415
"RedTeamChampionGalio";-2,47355564672246
"RedTeamChampionGragas";-2,74497354807101
"RedTeamChampionHwei";-2,79534717223379
"RedTeamChampionIrelia";-0,22657795973488
"RedTeamChampionJayce";-3,68926626643552
"RedTeamChampionKarma";-3,4040239566689
"RedTeamChampionKatarina";-1,36740123242564
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";-2,6260750006019
"RedTeamChampionLeeSin";-3,68363644728895
"RedTeamChampionLissandra";-0,358706096002219
"RedTeamChampionLucian";-2,27661666163619
"RedTeamChampionLux";-1,10160200173358
"RedTeamChampionMel";-4,65491132783736
"RedTeamChampionNaafiri";-4,47521269285795
"RedTeamChampionNasus";-0,367401232425634
"RedTeamChampionOrianna";-2,58423587024841
"RedTeamChampionPantheon";-5,14008072880454
"RedTeamChampionRyze";-3,10607054221031
"RedTeamChampionSett";-4,77360606700502
"RedTeamChampionSion";-3,35839103073898
"RedTeamChampionSmolder";-2,19970828921015
"RedTeamChampionSwain";-5,1647788181849
"RedTeamChampionSylas";-3,31090615231862
"RedTeamChampionSyndra";-3,35157171641352
"RedTeamChampionTaliyah";-2,17358752322221
"RedTeamChampionTristana";-3,48025620510352
"RedTeamChampionTryndamere";-2,73580485496099
"RedTeamChampionVeigar";-4,71898860002379
"RedTeamChampionVelkoz";-2,57341882706367
"RedTeamChampionVex";-4,66266452959073
"RedTeamChampionViego";-4,94139471829626
"RedTeamChampionViktor";-2,94812301254953
"RedTeamChampionVladimir";-2,93574989233732
"RedTeamChampionXerath";-4,11683137249397
"RedTeamChampionYasuo";-0,596240529129094
"RedTeamChampionYone";-2,57170475508736
"RedTeamChampionZed";-9,00000000000071
"RedTeamChampionZeri";-2,77360606700507
"RedTeamChampionZiggs";-0,0640216533940562
"RedTeamChampionZilean";-4,87417673600243
"RedTeamChampionZoe";-6,28239734313007
