"";"x"
"(Intercept)";-0,137208047412769
"BlueTeamChampionAmumu";-0,551643319240145
"BlueTeamChampionAnnie";0,152589096036302
"BlueTeamChampionAshe";0,115458409671717
"BlueTeamChampionBard";0,410701192092006
"BlueTeamChampionBlitzcrank";0,319806670694239
"BlueTeamChampionBraum";-0,243546998173386
"BlueTeamChampionCamille";-1,95273705285788
"BlueTeamChampionChogath";2,11545840967154
"BlueTeamChampionElise";0,922102450476002
"BlueTeamChampionFiddleSticks";0,32617533131358
"BlueTeamChampionGalio";1,00376361432317
"BlueTeamChampionGragas";0,31306930362415
"BlueTeamChampionHwei";-0,837002733672279
"BlueTeamChampionJanna";0,274267204455647
"BlueTeamChampionKarma";0,376992121831193
"BlueTeamChampionLeblanc";0,884472383606461
"BlueTeamChampionLeeSin";-1,18068037988326
"BlueTeamChampionLeona";0,109843195475324
"BlueTeamChampionLulu";-0,0968073353407268
"BlueTeamChampionLux";-0,685586567264245
"BlueTeamChampionMaokai";0,602174703647487
"BlueTeamChampionMilio";-0,243549196293595
"BlueTeamChampionMonkeyKing";1,23802004852434
"BlueTeamChampionMorgana";1,05536081163054
"BlueTeamChampionNami";0,805946042399139
"BlueTeamChampionNautilus";0,10694920718701
"BlueTeamChampionNeeko";0,468648360289379
"BlueTeamChampionPantheon";1,08058110804498
"BlueTeamChampionPoppy";0,604778976378147
"BlueTeamChampionPyke";2,0681410020221
"BlueTeamChampionRakan";-0,110035582693551
"BlueTeamChampionRell";0,351636594434618
"BlueTeamChampionRenata";-0,221350341164097
"BlueTeamChampionSejuani";1,664791816047
"BlueTeamChampionSenna";-0,434201386994298
"BlueTeamChampionSeraphine";0,185232087707033
"BlueTeamChampionSett";-1,83700273367213
"BlueTeamChampionShen";1,36785285799523
"BlueTeamChampionSona";1,84135254988904
"BlueTeamChampionSoraka";0,364673002324524
"BlueTeamChampionTahmKench";-0,629398877132562
"BlueTeamChampionTaric";-0,473299074840416
"BlueTeamChampionThresh";0,0152235282863884
"BlueTeamChampionVeigar";1,09997928303266
"BlueTeamChampionYuumi";0,0576743131370075
"BlueTeamChampionZac";1,07900149078288
"BlueTeamChampionZilean";0,682743495210367
"BlueTeamChampionZyra";5,11545840967196
"RedTeamChampionAmumu";0,418599003621276
"RedTeamChampionAnnie";-3,78489440306318
"RedTeamChampionAshe";-0,641441611423101
"RedTeamChampionBard";-0,067990861627237
"RedTeamChampionBlitzcrank";-0,256541169852376
"RedTeamChampionBraum";0,209051562520282
"RedTeamChampionCamille";-1,08078888259587
"RedTeamChampionElise";-1,12098682053619
"RedTeamChampionFiddleSticks";0,491466732300655
"RedTeamChampionGalio";-0,432233220787996
"RedTeamChampionGragas";0,192450083359374
"RedTeamChampionJanna";0,148172197695906
"RedTeamChampionKarma";0,317888427295928
"RedTeamChampionKennen";-0,641441611423123
"RedTeamChampionLeblanc";-4,75275636989372
"RedTeamChampionLeona";0,0818472357822716
"RedTeamChampionLulu";-0,140016579260901
"RedTeamChampionLux";0,137208047412814
"RedTeamChampionMaokai";-0,100812001111595
"RedTeamChampionMel";-1,7527563698937
"RedTeamChampionMilio";0,684967078253368
"RedTeamChampionNami";0,82279461467715
"RedTeamChampionNautilus";0,0372287643800757
"RedTeamChampionNeeko";-0,527583768634222
"RedTeamChampionNidalee";2,23401538275348
"RedTeamChampionOrnn";-0,592084853398049
"RedTeamChampionPantheon";-1,74726433619348
"RedTeamChampionPoppy";-0,299993074656846
"RedTeamChampionPyke";-1,77723164880257
"RedTeamChampionRakan";0,295855497523706
"RedTeamChampionRell";-0,0257892189149884
"RedTeamChampionRenata";0,0217496377410709
"RedTeamChampionSenna";-0,682092152013208
"RedTeamChampionSeraphine";-0,523275573528542
"RedTeamChampionShen";0,0899451002705615
"RedTeamChampionSoraka";0,301836049917499
"RedTeamChampionTahmKench";0,991771018172313
"RedTeamChampionTaric";1,091318242923
"RedTeamChampionThresh";-1,00864267371557
"RedTeamChampionYuumi";0,425134132816581
"RedTeamChampionZac";0,180760422619753
"RedTeamChampionZilean";0,130397602008655
"RedTeamChampionZyra";0,247243630106302
