"";"x"
"(Intercept)";0,164501464609153
"BlueTeamChampionAkali";0,975161433622627
"BlueTeamChampionAmbessa";0,274833285433927
"BlueTeamChampionAnivia";0,92197754127132
"BlueTeamChampionAurora";0,592507038584971
"BlueTeamChampionAzir";4,60934834636131
"BlueTeamChampionCamille";0,49866161048138
"BlueTeamChampionCassiopeia";0,595602090490994
"BlueTeamChampionChogath";-0,224966136924064
"BlueTeamChampionCorki";-1,67573701436805
"BlueTeamChampionDarius";1,11247987189586
"BlueTeamChampionDiana";-1,39065165363904
"BlueTeamChampionDraven";-2,85320410798118
"BlueTeamChampionDrMundo";-1,06624757339101
"BlueTeamChampionFiora";1,00781192308088
"BlueTeamChampionGalio";-0,880661024673523
"BlueTeamChampionGangplank";0,885347291777415
"BlueTeamChampionGaren";-0,116535046130798
"BlueTeamChampionGnar";-0,230609394725126
"BlueTeamChampionGragas";-0,520836763368939
"BlueTeamChampionGwen";0,639768134407981
"BlueTeamChampionIrelia";1,04110679744696
"BlueTeamChampionJax";0,0861616911794283
"BlueTeamChampionJayce";0,266737823277008
"BlueTeamChampionKaisa";3,85519217136988
"BlueTeamChampionKalista";-0,161536492163785
"BlueTeamChampionKarma";-2,09723385664609
"BlueTeamChampionKayle";1,07218067537106
"BlueTeamChampionKayn";-1,54237690536652
"BlueTeamChampionKennen";0,972150562339282
"BlueTeamChampionKled";-5,67519361844153
"BlueTeamChampionKSante";-0,0396321520824012
"BlueTeamChampionLeblanc";3,60934834636104
"BlueTeamChampionMalphite";-0,784229030215165
"BlueTeamChampionMaokai";-1,06830095602862
"BlueTeamChampionMissFortune";-0,480851299016268
"BlueTeamChampionMonkeyKing";-0,685977857587439
"BlueTeamChampionMordekaiser";1,27160733235525
"BlueTeamChampionNaafiri";11,3906114330333
"BlueTeamChampionNasus";0,324806381558615
"BlueTeamChampionNautilus";-1,49167135828269
"BlueTeamChampionNeeko";-1,14480782863013
"BlueTeamChampionNidalee";1,15209506676883
"BlueTeamChampionOlaf";0,478971485618152
