"";"x"
"(Intercept)";-1,5689476617716
"BlueTeamChampionAshe";2,34757441513977
"BlueTeamChampionBrand";5,21930943464207
"BlueTeamChampionCaitlyn";0,903600617661503
"BlueTeamChampionCorki";1,3176235516594
"BlueTeamChampionDraven";-1,47988822646184
"BlueTeamChampionEzreal";0,862691050422924
"BlueTeamChampionGalio";7,21930943464206
"BlueTeamChampionGnar";-0,107447076520947
"BlueTeamChampionHwei";0,93302771192381
"BlueTeamChampionJhin";1,38851643789664
"BlueTeamChampionJinx";1,2643173560413
"BlueTeamChampionKaisa";0,442298143374524
"BlueTeamChampionKalista";0,328569143275049
"BlueTeamChampionKogMaw";-0,883178086609009
"BlueTeamChampionLeeSin";-2,9680924557593
"BlueTeamChampionLucian";1,67160831107283
"BlueTeamChampionLux";5,02862519900261
"BlueTeamChampionMel";-0,091791707510135
"BlueTeamChampionMissFortune";0,934716157965135
"BlueTeamChampionNilah";5,0319075442409
"BlueTeamChampionRumble";1,02862519900263
"BlueTeamChampionSenna";3,1769266569366
"BlueTeamChampionSeraphine";5,74225680305496
"BlueTeamChampionSion";2,40643831755609
"BlueTeamChampionSivir";2,12771572043374
"BlueTeamChampionSmolder";-0,0737397309246369
"BlueTeamChampionSwain";-1,066972288076
"BlueTeamChampionTaliyah";9,17692665693639
"BlueTeamChampionTristana";0,63124065050032
"BlueTeamChampionTwitch";0,360818464843903
"BlueTeamChampionVarus";1,10881911601117
"BlueTeamChampionVayne";1,30274371434386
"BlueTeamChampionViktor";-1,06697228807598
"BlueTeamChampionXayah";1,28716611903534
"BlueTeamChampionYasuo";1,48246762808235
"BlueTeamChampionZeri";0,963106523922072
"BlueTeamChampionZiggs";0,67601286753904
"BlueTeamChampionZyra";-0,780690565357964
"RedTeamChampionAshe";-0,308218460906521
"RedTeamChampionBrand";2,46012854576038
"RedTeamChampionCaitlyn";0,911446023157783
"RedTeamChampionCassiopeia";1,70625661134866
"RedTeamChampionCorki";0,635919949847659
"RedTeamChampionDraven";0,763668545862503
"RedTeamChampionEzreal";0,721249261983336
"RedTeamChampionHwei";-0,819568776125025
"RedTeamChampionJhin";0,349638227129547
"RedTeamChampionJinx";0,530051440124343
"RedTeamChampionKaisa";0,540322462769066
"RedTeamChampionKalista";1,39202100483509
"RedTeamChampionKogMaw";1,62377703122395
"RedTeamChampionLucian";-0,17342540373757
"RedTeamChampionMel";1,44444903863207
"RedTeamChampionMissFortune";-0,275573912849748
"RedTeamChampionNilah";-0,501983803775497
"RedTeamChampionOrianna";-0,539871454239587
"RedTeamChampionOrnn";-0,873350481602888
"RedTeamChampionRumble";-0,293743388651313
"RedTeamChampionSenna";-2,56269498884848
"RedTeamChampionSeraphine";0,707682133775153
"RedTeamChampionSivir";-0,530932919102611
"RedTeamChampionSmolder";2,0864506009774
"RedTeamChampionSwain";-1,06394956307024
"RedTeamChampionTahmKench";5,63423150380654
"RedTeamChampionTaliyah";1,72229702453162
"RedTeamChampionTristana";2,05545084500277
"RedTeamChampionTwitch";1,39052683543562
"RedTeamChampionVarus";-0,323605261707533
"RedTeamChampionVayne";2,16530871548483
"RedTeamChampionVeigar";5,46012854576041
"RedTeamChampionVelkoz";-1,29374338865132
"RedTeamChampionXayah";0,537040117530828
"RedTeamChampionXerath";-4,06229298872876
"RedTeamChampionYasuo";-3,19536969426972
"RedTeamChampionZeri";0,612366827004054
"RedTeamChampionZiggs";0,587618670763134
