"";"x"
"(Intercept)";-1,32330397993476
"BlueTeamChampionAmumu";1,46538074578986
"BlueTeamChampionBelveth";2,40968412043316
"BlueTeamChampionBrand";1,69374875670004
"BlueTeamChampionDarius";3,17832352500693
"BlueTeamChampionDiana";2,98247591634665
"BlueTeamChampionDrMundo";4,12189386752022
"BlueTeamChampionElise";-3,35473978649138
"BlueTeamChampionGragas";7,35534051812942
"BlueTeamChampionGwen";-1,82805524647308
"BlueTeamChampionHecarim";5,4506307061908
"BlueTeamChampionIvern";6,02461730689484
"BlueTeamChampionJarvanIV";4,97244811984817
"BlueTeamChampionJax";1,30041860790137
"BlueTeamChampionKarthus";4,01718907214349
"BlueTeamChampionKayn";-3,09666887688317
"BlueTeamChampionKhazix";7,17936732958475
"BlueTeamChampionKindred";2,67190952863791
"BlueTeamChampionLeeSin";1,22689740003742
"BlueTeamChampionLillia";1,63636526333382
"BlueTeamChampionMaokai";3,40152485926051
"BlueTeamChampionMasterYi";-1,22552995560275
"BlueTeamChampionMonkeyKing";1,80373344703148
"BlueTeamChampionMorgana";4,65647715406234
"BlueTeamChampionNaafiri";1,53075892523813
"BlueTeamChampionNautilus";0,0679474024730143
"BlueTeamChampionNeeko";1,60620838183502
"BlueTeamChampionNidalee";3,25741323923308
"BlueTeamChampionNocturne";1,85812358576336
"BlueTeamChampionNunu";1,61271781891777
"BlueTeamChampionOlaf";2,40218695129814
"BlueTeamChampionPantheon";2,13702607215194
"BlueTeamChampionPoppy";2,71015948737432
"BlueTeamChampionRekSai";-0,922516355710515
"BlueTeamChampionRengar";-1,04379716033763
"BlueTeamChampionRumble";0,936262261479518
"BlueTeamChampionSejuani";3,48298778290574
"BlueTeamChampionSion";6,15528049071151
"BlueTeamChampionSkarner";2,95713500035079
"BlueTeamChampionTaliyah";1,32672104632622
"BlueTeamChampionTrundle";3,51677157560527
"BlueTeamChampionVi";2,34308035473713
"BlueTeamChampionViego";1,60139102134792
"BlueTeamChampionVolibear";-0,703593545125157
"BlueTeamChampionXinZhao";2,12406742735833
"BlueTeamChampionZac";2,57033862462773
"BlueTeamChampionZed";0,11764002944027
"BlueTeamChampionZyra";2,63201165739937
"RedTeamChampionAmumu";-0,949277127315383
"RedTeamChampionBelveth";0,344518758771681
"RedTeamChampionBrand";1,52167995077254
"RedTeamChampionDarius";-2,09384258382247
"RedTeamChampionDiana";1,19913390439884
"RedTeamChampionDrMundo";-1,22457659349834
"RedTeamChampionFiddleSticks";3,69129232253544
"RedTeamChampionGraves";2,4540954331848
"RedTeamChampionGwen";-0,451166064462228
"RedTeamChampionHecarim";-4,21548965497297
"RedTeamChampionIvern";-3,05031556038951
"RedTeamChampionJarvanIV";-3,2829044019001
"RedTeamChampionJax";-3,20076344742357
"RedTeamChampionKarthus";-3,83197651077673
"RedTeamChampionKayn";-1,6552635202407
"RedTeamChampionKhazix";-4,30870767746474
"RedTeamChampionKindred";-0,0320365381939102
"RedTeamChampionLeeSin";0,0782970742833825
"RedTeamChampionLillia";-1,00716834663275
"RedTeamChampionMaokai";-2,74464342253834
"RedTeamChampionMonkeyKing";-0,811467723533023
"RedTeamChampionMordekaiser";5,36616897958391
"RedTeamChampionMorgana";-0,519776374802363
"RedTeamChampionNaafiri";-0,696891605176226
"RedTeamChampionNidalee";-1,62957998349982
"RedTeamChampionNocturne";-0,632898859727437
"RedTeamChampionNunu";-3,18743681896353
"RedTeamChampionOlaf";-2,74729761211765
"RedTeamChampionPantheon";-0,14723263055641
"RedTeamChampionPoppy";-1,25655164593057
"RedTeamChampionRekSai";1,62074174574505
"RedTeamChampionSejuani";-2,54363247842067
"RedTeamChampionShaco";-2,80076344742362
"RedTeamChampionShyvana";3,08548249209999
"RedTeamChampionSkarner";-1,72392973088294
"RedTeamChampionTaliyah";-1,20655985216479
"RedTeamChampionTrundle";-5,24565565053871
"RedTeamChampionUdyr";-7,53481960582862
"RedTeamChampionVi";-1,86978818154631
"RedTeamChampionViego";0,653701780806338
"RedTeamChampionVolibear";1,63276153613656
"RedTeamChampionXinZhao";-0,988196968416433
"RedTeamChampionYorick";6,7925450546966
"RedTeamChampionZac";-4,06688936362555
"RedTeamChampionZed";-0,313061283399151
"RedTeamChampionZyra";-2,37930758024025
